,user1,similarity,group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
121,CristianLozano,0.016260162601626018,0,5,,,,,,0.0
122,jdsuarezj,0.12195121951219512,0,5,jdsuarezj,1.0,3.0,3.0,2.0,0.0
123,pipemax85,0.12307692307692308,0,5,pipemax85,1.0,3.0,5.0,2.0,0.0
124,juandavidro,0.047244094488188976,0,5,juandavidro,1.0,2.0,2.0,2.0,1.0
125,UNhcrodriguezl,0.18285714285714286,0,5,UNhcrodriguezl,3.0,3.0,5.0,3.0,0.0
126,camilo13152,0.16477272727272727,0,5,camilo13152,3.0,5.0,5.0,2.0,2.0
127,leavendanoro,0.044585987261146494,0,5,leavendanoro,0.0,1.0,4.0,1.0,1.0
128,cdcordobaa,0.04895104895104895,0,5,cdcordobaa,2.0,4.0,5.0,2.0,0.0
129,capinillab,0.10135135135135136,0,5,capinillab,0.0,0.0,0.0,0.0,1.0
130,lfvalderrama,0.058823529411764705,0,5,lfvalderrama,0.0,3.0,5.0,2.0,1.0
131,bsgarciac,0.08733624454148471,0,5,bsgarciac,0.0,3.0,4.0,2.0,4.0
132,gabi04,0.05913978494623656,0,5,gabi04,0.0,0.0,5.0,2.0,1.0
133,gasierram,0.08,1,1,gasierram,3.0,4.0,5.0,4.0,3.0
134,adamantwharf,0.01680672268907563,1,1,,,,,,3.0
135,bdcajicam,0.01680672268907563,1,1,bdcajicam,0.0,2.0,5.0,2.0,0.0
136,helmeraac,0.01639344262295082,1,1,helmeraac,5.0,4.0,6.0,4.0,2.0
137,dasalgadob,0.06722689075630252,1,1,dasalgadob,1.0,2.0,4.0,3.0,2.0
138,falperezgo,0.045112781954887216,1,1,falperezgo,4.0,4.0,5.0,3.0,1.0
139,djguzmanc,0.11764705882352941,1,1,djguzmanc,0.0,5.0,6.0,3.0,2.0
140,oeroaq,0.0684931506849315,1,1,oeroaq,4.0,4.0,5.0,3.0,3.0
141,gcantem,0.40853658536585363,1,1,gcantem,0.0,2.0,5.0,2.0,0.0
142,Semoralesga,0.01652892561983471,1,1,Semoralesga,4.0,3.0,4.0,2.0,2.0
143,jonatan360,0.08139534883720931,1,1,jonatan360,4.0,4.0,6.0,4.0,0.0
144,jesusfchavarro,0.02531645569620253,1,1,jesusfchavarro,4.0,3.0,6.0,3.0,0.0
145,jesusfchavarro,0.02531645569620253,1,1,jesusfchavarro,5.0,3.0,6.0,3.0,0.0
146,jufcontrerasco,0.023622047244094488,1,1,jufcontrerasco,0.0,0.0,5.0,2.0,10.0
147,dsbarrerag,0.03125,1,1,dsbarrerag,0.0,4.0,5.0,2.0,1.0
148,wolfstain,0.08208955223880597,1,1,wolfstain,3.0,3.0,6.0,0.0,6.0
149,miaborjaac,0.04,1,1,miaborjaac,0.0,0.0,4.0,1.0,6.0
150,ivdgonzalezco,0.02535211267605634,1,1,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
151,Christian7sr,0.0,1,1,Christian7sr,3.0,3.0,3.0,2.0,2.0
152,jsnarvaezb,0.08461538461538462,1,1,jsnarvaezb,0.0,1.0,3.0,2.0,7.0
153,gfalbarracinr,0.008064516129032258,1,1,gfalbarracinr,1.0,1.0,5.0,2.0,2.0
154,aldiazve,0.05263157894736842,1,1,aldiazve,0.0,3.0,6.0,3.0,2.0
155,diegoaguevarar,0.4431818181818182,1,1,diegoaguevarar,0.0,1.0,5.0,2.0,4.0
156,fevargasmo,0.024193548387096774,1,1,fevargasmo,2.0,3.0,4.0,4.0,3.0
157,jmhurtadoc,0.4105263157894737,1,1,jmhurtadoc,6.0,6.0,6.0,2.0,4.0
158,nabautistal,0.01680672268907563,1,1,nabautistal,0.0,0.0,3.0,1.0,1.0
159,crigar,0.016666666666666666,1,1,crigar,1.0,0.0,2.0,4.0,1.0
160,jiapulidoar,0.02857142857142857,1,1,jiapulidoar,4.0,4.0,5.0,2.0,2.0
161,jsviveroj,0.032,1,1,jsviveroj,1.0,3.0,4.0,2.0,3.0
162,daandradec,0.032679738562091505,1,1,daandradec,2.0,2.0,6.0,2.0,0.0
163,jcrubioa,0.20105820105820105,1,1,jcrubioa,0.0,0.0,5.0,2.0,3.0
164,joahernandezca,0.01680672268907563,1,1,joahernandezca,1.0,1.0,0.0,0.0,2.0
165,JairVillalba,0.016666666666666666,1,1,JairVillalba,1.0,1.0,3.0,2.0,3.0
166,gasierram,0.08,1,2,gasierram,3.0,4.0,5.0,4.0,1.0
167,adamantwharf,0.01680672268907563,1,2,,,,,,0.0
168,bdcajicam,0.01680672268907563,1,2,bdcajicam,0.0,2.0,5.0,2.0,0.0
169,dfhincapiem,0.016666666666666666,1,2,dfhincapiem,4.0,1.0,5.0,1.0,1.0
170,helmeraac,0.031007751937984496,1,2,helmeraac,5.0,4.0,6.0,4.0,2.0
171,dasalgadob,0.06722689075630252,1,2,dasalgadob,1.0,2.0,4.0,3.0,0.0
172,falperezgo,0.0073277967757694185,1,2,falperezgo,4.0,4.0,5.0,3.0,2.0
173,djguzmanc,0.08666666666666667,1,2,djguzmanc,0.0,5.0,6.0,3.0,3.0
174,gsuarezc04,0.032467532467532464,1,2,gsuarezc04,1.0,1.0,3.0,2.0,1.0
175,oeroaq,0.06746031746031746,1,2,oeroaq,4.0,4.0,5.0,3.0,5.0
176,gcantem,0.40853658536585363,1,2,gcantem,0.0,2.0,5.0,2.0,0.0
177,Semoralesga,0.0050782903089293275,1,2,Semoralesga,4.0,3.0,4.0,2.0,1.0
178,jonatan360,0.06217616580310881,1,2,jonatan360,4.0,4.0,6.0,4.0,0.0
179,jesusfchavarro,0.007725898555592879,1,2,jesusfchavarro,4.0,3.0,6.0,3.0,7.0
180,jesusfchavarro,0.007725898555592879,1,2,jesusfchavarro,5.0,3.0,6.0,3.0,7.0
181,stevenbustos,0.01639344262295082,1,2,stevenbustos,0.0,1.0,0.0,1.0,1.0
182,jufcontrerasco,0.0234375,1,2,jufcontrerasco,0.0,0.0,5.0,2.0,1.0
183,dsbarrerag,0.04827586206896552,1,2,dsbarrerag,0.0,4.0,5.0,2.0,1.0
184,wolfstain,0.1056338028169014,1,2,wolfstain,3.0,3.0,6.0,0.0,3.0
185,miaborjaac,0.045,1,2,miaborjaac,0.0,0.0,4.0,1.0,2.0
186,ivdgonzalezco,0.02535211267605634,1,2,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
187,Christian7sr,0.0,1,2,Christian7sr,3.0,3.0,3.0,2.0,2.0
188,jsnarvaezb,0.14,1,2,jsnarvaezb,0.0,1.0,3.0,2.0,8.0
189,gfalbarracinr,0.016,1,2,gfalbarracinr,1.0,1.0,5.0,2.0,2.0
190,aldiazve,0.009603072983354673,1,2,aldiazve,0.0,3.0,6.0,3.0,4.0
191,diegoaguevarar,0.4406779661016949,1,2,diegoaguevarar,0.0,1.0,5.0,2.0,1.0
192,fevargasmo,0.08333333333333333,1,2,fevargasmo,2.0,3.0,4.0,4.0,4.0
193,jmhurtadoc,0.4105263157894737,1,2,jmhurtadoc,6.0,6.0,6.0,2.0,0.0
194,anfmorenoso,0.05426356589147287,1,2,anfmorenoso,0.0,2.0,5.0,2.0,2.0
195,nabautistal,0.01680672268907563,1,2,nabautistal,0.0,0.0,3.0,1.0,1.0
196,crigar,0.016666666666666666,1,2,crigar,1.0,0.0,2.0,4.0,0.0
197,jiapulidoar,0.035398230088495575,1,2,jiapulidoar,4.0,4.0,5.0,2.0,4.0
198,jsviveroj,0.0896551724137931,1,2,jsviveroj,1.0,3.0,4.0,2.0,3.0
199,daandradec,0.06074766355140187,1,2,daandradec,2.0,2.0,6.0,2.0,0.0
200,jcrubioa,0.19638242894056848,1,2,jcrubioa,0.0,0.0,5.0,2.0,1.0
201,joahernandezca,0.4785276073619632,1,2,joahernandezca,1.0,1.0,0.0,0.0,1.0
202,JairVillalba,0.08461538461538462,1,2,JairVillalba,1.0,1.0,3.0,2.0,7.0
203,gasierram,0.2517482517482518,1,3,gasierram,3.0,4.0,5.0,4.0,1.0
204,adamantwharf,0.01680672268907563,1,3,,,,,,0.0
205,bdcajicam,0.17557251908396945,1,3,bdcajicam,0.0,2.0,5.0,2.0,1.0
206,dfhincapiem,0.016666666666666666,1,3,dfhincapiem,4.0,1.0,5.0,1.0,0.0
207,helmeraac,0.031007751937984496,1,3,helmeraac,5.0,4.0,6.0,4.0,2.0
208,dasalgadob,0.06722689075630252,1,3,dasalgadob,1.0,2.0,4.0,3.0,0.0
209,falperezgo,0.0073277967757694185,1,3,falperezgo,4.0,4.0,5.0,3.0,2.0
210,djguzmanc,0.08387096774193549,1,3,djguzmanc,0.0,5.0,6.0,3.0,3.0
211,gsuarezc04,0.032467532467532464,1,3,gsuarezc04,1.0,1.0,3.0,2.0,0.0
212,oeroaq,0.031017369727047148,1,3,oeroaq,4.0,4.0,5.0,3.0,7.0
213,gcantem,0.40853658536585363,1,3,gcantem,0.0,2.0,5.0,2.0,0.0
214,Semoralesga,0.0050782903089293275,1,3,Semoralesga,4.0,3.0,4.0,2.0,2.0
215,jonatan360,0.06565656565656566,1,3,jonatan360,4.0,4.0,6.0,4.0,5.0
216,jesusfchavarro,0.00760079312623926,1,3,jesusfchavarro,4.0,3.0,6.0,3.0,10.0
217,jesusfchavarro,0.00760079312623926,1,3,jesusfchavarro,5.0,3.0,6.0,3.0,10.0
218,stevenbustos,0.01639344262295082,1,3,stevenbustos,0.0,1.0,0.0,1.0,1.0
219,jufcontrerasco,0.0234375,1,3,jufcontrerasco,0.0,0.0,5.0,2.0,3.0
220,dsbarrerag,0.04938271604938271,1,3,dsbarrerag,0.0,4.0,5.0,2.0,1.0
221,wolfstain,0.05572755417956656,1,3,wolfstain,3.0,3.0,6.0,0.0,3.0
222,miaborjaac,0.05263157894736842,1,3,miaborjaac,0.0,0.0,4.0,1.0,3.0
223,ivdgonzalezco,0.02535211267605634,1,3,ivdgonzalezco,1.0,4.0,4.0,2.0,1.0
224,Christian7sr,0.01639344262295082,1,3,Christian7sr,3.0,3.0,3.0,2.0,1.0
225,jsnarvaezb,0.1390728476821192,1,3,jsnarvaezb,0.0,1.0,3.0,2.0,3.0
