,Student,group,abs_perform_diff_best,phase
556,jmhurtadoc,1,233.32999999999998,4
557,anfmorenoso,1,171.67,4
558,nabautistal,1,259.17,4
559,crigar,1,242.5,4
560,jiapulidoar,1,72.5,4
561,jsviveroj,1,69.17000000000002,4
562,daandradec,1,31.25,4
563,jcrubioa,1,134.17,4
564,joahernandezca,1,217.5,4
565,ItsNavi,1,350.0,4
566,Zeugmax,1,350.0,4
567,kastellanos,1,350.0,4
568,JairVillalba,1,287.5,4
569,jusherrerama,2,250.82999999999998,4
570,bdvegat,2,263.33,4
571,Phoenixest,2,263.33,4
572,HashNick,2,226.66,4
573,ccvacad,2,358.33,4
574,joaortizro,2,78.32999999999998,4
575,juasmartinezbel,2,37.5,4
576,mdbelloc,2,229.16,4
577,diegocruz10,2,251.65999999999997,4
578,crarojasca,2,313.33,4
579,sagilm,2,208.32999999999998,4
580,idrojasf,2,204.99999999999997,4
581,raulramirezp,2,209.99999999999997,4
582,fabianr23,2,0.0,4
583,jhriverasa,2,25.0,4
584,jhonsd1996,2,200.82999999999998,4
585,JuanitoAli,2,33.329999999999984,4
586,Davsatu313,2,57.5,4
587,cesarochoa2006,2,74.37,4
588,jjmuesesq,2,250.82999999999998,4
589,jucjimenezmo,2,154.99999999999997,4
590,kancas,2,151.66,4
591,Gantiva,2,120.82999999999998,4
592,Dandarprox,2,144.99999999999997,4
593,debeltranc,2,258.33,4
594,ykchautai,2,159.16,4
595,ligibrial,2,250.0,4
596,davidrh195,2,250.82999999999998,4
597,JulianaNino,2,234.15999999999997,4
598,luegilca,2,241.65999999999997,4
599,Yelis3,2,124.16,4
600,begarzonf,2,143.32999999999998,4
601,kmendezp96,2,151.66,4
602,leguzman,2,68.32999999999998,4
603,luealfonsoru,2,220.82999999999998,4
604,oserasoa,2,242.5,4
605,lsfinite,2,358.33,4
606,xdanielsb,2,283.33,4
607,CSebasGomez,2,358.33,4
608,jhcardenasa,2,358.33,4
609,tres-iqus,2,358.33,4
610,jscontrerasp,2,358.33,4
611,lemartinp,3,57.5,4
612,juligarji,3,0.0,4
613,nfmorenog,3,237.5,4
614,AFelipeGA,3,205.82999999999998,4
615,mballeng91,3,245.82999999999998,4
616,dduartec,3,270.83,4
617,srmedinac,3,242.5,4
618,wilson911013,3,275.83,4
619,wapiravaguens,3,140.82999999999998,4
620,davidh17,3,283.33,4
621,DianaNavarrete,3,242.5,4
622,jdmonroyg,3,358.33,4
623,jorge52an,3,114.99999999999997,4
624,jscastelblancoh,3,41.65999999999997,4
625,juclopezso,3,206.66,4
626,afforeroc,3,259.15999999999997,4
627,dagofonseca,3,93.32999999999998,4
628,lacardenasv,3,98.32999999999998,4
629,oacastillol,3,237.5,4
630,ncampuzano,3,213.32999999999998,4
631,adriel62,3,147.49999999999997,4
632,capinzor,3,163.32999999999998,4
633,ofnanezn,3,229.99999999999997,4
634,macuestap,3,209.16,4
635,spenas,3,242.5,4
636,kgbayala528,3,114.99999999999997,4
637,lgmoralesa,3,20.829999999999984,4
638,ronaldsg20,3,192.49999999999997,4
639,cccristanchoc,3,242.5,4
640,jmalvarezd,3,139.99999999999997,4
641,smarquezo,3,246.65999999999997,4
642,sarizag,3,167.49999999999997,4
643,Chranium,3,263.33,4
644,DavidQP,3,86.65999999999997,4
645,afceballosr,3,93.32999999999998,4
646,lizzyt10h,3,212.49999999999997,4
647,NicolasPrr,3,237.5,4
648,jumcorredorro,3,53.329999999999984,4
649,feartheGru,3,358.33,4
650,Danielsv9207,3,358.33,4
651,JhonEmmanuelTorres,3,358.33,4
652,fffeelipe,0,153.75000000000003,5
653,mnguzmanc,0,62.920000000000016,5
654,jmcuestasb,0,98.75000000000003,5
655,katherinsb,0,216.25000000000003,5
656,jjrodriguezn,0,97.09,5
657,DglyP,0,157.92000000000002,5
658,cap182,0,303.75,5
659,annumumozme,0,115.42000000000002,5
660,Judgarciani,0,27.920000000000016,5
661,sacastroc,0,126.67000000000002,5
662,pcberriop,0,157.92000000000002,5
663,hsmartineza,0,172.09,5
664,Moimolcp,0,48.75,5
665,CamiloRueda,0,298.75,5
666,juanescai,0,302.92,5
667,JoseMolano,0,76.25,5
668,maikellPardoA,0,265.42,5
669,NicolasZon,0,265.42,5
670,camilo654,0,153.75000000000003,5
671,CristianLozano,0,262.09000000000003,5
672,jdsuarezj,0,80.42000000000002,5
673,pipemax85,0,237.09000000000003,5
674,juandavidro,0,199.59,5
675,UNhcrodriguezl,0,89.59000000000003,5
676,camilo13152,0,130.42000000000002,5
677,leavendanoro,0,146.25000000000003,5
678,cdcordobaa,0,162.09,5
679,capinillab,0,88.75,5
680,janoguerab,0,241.25,5
681,lfvalderrama,0,0.0,5
682,bsgarciac,0,32.09000000000003,5
683,gabi04,0,195.42000000000002,5
684,annipi,0,352.92,5
685,jdsolanos,0,352.92,5
686,jcneivaa,0,352.92,5
687,fmbernalb,0,352.92,5
688,MogGy94,0,352.92,5
689,yocuervoc,0,352.92,5
690,odprietoh,0,352.92,5
691,gasierram,1,167.5,5
692,adamantwharf,1,250.0,5
693,bdcajicam,1,150.83,5
694,andfsanchezlem,1,312.5,5
695,dfhincapiem,1,250.0,5
696,helmeraac,1,270.0,5
697,dasalgadob,1,257.5,5
698,falperezgo,1,129.17,5
699,djguzmanc,1,23.329999999999984,5
700,gsuarezc04,1,307.5,5
701,oeroaq,1,0.0,5
702,gcantem,1,74.17000000000002,5
703,Semoralesga,1,191.67,5
704,jonatan360,1,5.0,5
705,jesusfchavarro,1,12.5,5
706,stevenbustos,1,159.17,5
707,jufcontrerasco,1,93.32999999999998,5
708,dsbarrerag,1,27.5,5
709,wolfstain,1,160.42,5
710,miaborjaac,1,34.170000000000016,5
711,ivdgonzalezco,1,45.0,5
712,maikellPardo,1,295.0,5
713,Christian7sr,1,233.32999999999998,5
714,jsnarvaezb,1,145.83,5
715,gfalbarracinr,1,257.5,5
716,aldiazve,1,120.83000000000001,5
717,diegoaguevarar,1,40.0,5
718,fevargasmo,1,117.5,5
719,jmhurtadoc,1,236.67000000000002,5
720,anfmorenoso,1,140.0,5
721,nabautistal,1,162.5,5
722,crigar,1,275.0,5
723,jiapulidoar,1,47.5,5
724,jsviveroj,1,25.829999999999984,5
725,daandradec,1,20.829999999999984,5
726,jcrubioa,1,111.25,5
727,joahernandezca,1,195.83,5
728,ItsNavi,1,357.5,5
729,Zeugmax,1,357.5,5
730,kastellanos,1,357.5,5
731,JairVillalba,1,282.5,5
732,jusherrerama,2,237.5,5
733,bdvegat,2,250.0,5
734,Phoenixest,2,282.5,5
735,HashNick,2,205.0,5
736,ccvacad,2,43.329999999999984,5
737,joaortizro,2,32.5,5
738,juasmartinezbel,2,20.0,5
739,mdbelloc,2,220.0,5
740,diegocruz10,2,229.17,5
741,crarojasca,2,312.5,5
742,sagilm,2,179.17,5
743,idrojasf,2,187.5,5
744,raulramirezp,2,85.0,5
745,fabianr23,2,31.670000000000016,5
746,jhriverasa,2,39.170000000000016,5
747,jhonsd1996,2,183.33,5
748,JuanitoAli,2,91.67000000000002,5
