,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
96,hsmartineza,lfvalderrama,3,4,0.7741935483870968,3,0,0.0,3.0,5.0,2.0,1.0
97,fffeelipe,camilo654,3,4,0.8,3,0,0.0,1.0,4.0,2.0,1.0
98,DglyP,cdcordobaa,3,4,0.8085106382978724,3,0,2.0,4.0,5.0,2.0,0.0
99,hsmartineza,bsgarciac,3,4,0.8553459119496856,3,0,0.0,3.0,4.0,2.0,5.0
100,camilo13152,Judgarciani,3,4,0.8571428571428572,3,0,3.0,3.0,4.0,2.0,4.0
101,sacastroc,fffeelipe,3,4,0.858974358974359,3,0,1.0,0.0,5.0,3.0,3.0
102,capinillab,katherinsb,3,4,0.8611111111111112,3,0,1.0,2.0,4.0,2.0,0.0
103,Judgarciani,sacastroc,3,4,0.8677248677248677,3,0,1.0,2.0,4.0,2.0,3.0
104,NicolasZon,gabi04,3,4,0.8709677419354839,3,0,0.0,0.0,5.0,2.0,0.0
105,Judgarciani,Moimolcp,3,4,0.873015873015873,3,0,1.0,1.0,5.0,1.0,3.0
106,sacastroc,leavendanoro,3,4,0.8761904761904762,3,0,0.0,1.0,4.0,1.0,1.0
107,pipemax85,janoguerab,3,4,0.8771929824561404,3,0,3.0,3.0,4.0,2.0,0.0
108,fffeelipe,jmcuestasb,3,4,0.8977272727272727,3,0,1.0,3.0,4.0,2.0,1.0
109,maikellPardoA,CamiloRueda,3,4,0.9375,3,0,3.0,3.0,6.0,1.0,0.0
110,Judgarciani,mnguzmanc,3,4,0.9857681038091252,3,0,2.0,1.0,3.0,2.0,7.0
111,odprietoh,yocuervoc,4,5,0.0,4,0,0.0,1.0,5.0,2.0,0.0
112,jcneivaa,MogGy94,4,5,0.0,4,0,3.0,3.0,4.0,0.0,0.0
113,jdsolanos,odprietoh,4,5,0.0,4,0,4.0,4.0,5.0,2.0,0.0
114,jcneivaa,cap182,4,5,0.0,4,0,0.0,1.0,4.0,2.0,0.0
115,jcneivaa,juanescai,4,5,0.0,4,0,1.0,2.0,5.0,2.0,1.0
116,jcneivaa,annipi,4,5,0.0,4,0,1.0,0.0,4.0,2.0,0.0
117,jcneivaa,jdsolanos,4,5,0.0,4,0,1.0,1.0,5.0,2.0,0.0
118,jcneivaa,fmbernalb,4,5,0.0,4,0,1.0,2.0,2.0,1.0,0.0
119,fmbernalb,jcneivaa,4,5,0.0,4,0,0.0,0.0,4.0,2.0,0.0
120,mnguzmanc,DglyP,4,5,0.04585987261146496,4,0,1.0,3.0,4.0,3.0,11.0
121,DglyP,mnguzmanc,4,5,0.2217225873400207,4,0,2.0,1.0,3.0,2.0,8.0
122,jjrodriguezn,JoseMolano,4,5,0.5471698113207547,4,0,1.0,5.0,4.0,4.0,1.0
123,JoseMolano,jjrodriguezn,4,5,0.5714285714285714,4,0,2.0,2.0,3.0,1.0,1.0
124,JoseMolano,UNhcrodriguezl,4,5,0.5918367346938775,4,0,3.0,3.0,5.0,3.0,0.0
125,JoseMolano,camilo13152,4,5,0.5979381443298969,4,0,3.0,5.0,5.0,2.0,2.0
126,CristianLozano,maikellPardoA,4,5,0.625,4,0,3.0,3.0,3.0,2.0,0.0
127,jjrodriguezn,hsmartineza,4,5,0.6571428571428571,4,0,0.0,1.0,3.0,2.0,2.0
128,capinillab,juandavidro,4,5,0.6842105263157895,4,0,1.0,2.0,2.0,2.0,1.0
129,capinillab,jdsuarezj,4,5,0.6883116883116883,4,0,1.0,3.0,3.0,2.0,0.0
130,JoseMolano,pipemax85,4,5,0.6949152542372881,4,0,1.0,3.0,5.0,2.0,0.0
131,UNhcrodriguezl,pcberriop,4,5,0.7394366197183099,4,0,0.0,1.0,3.0,2.0,2.0
132,maikellPardoA,NicolasZon,4,5,0.7692307692307692,4,0,3.0,3.0,3.0,1.0,0.0
133,UNhcrodriguezl,capinillab,4,5,0.7706422018348624,4,0,0.0,0.0,0.0,0.0,1.0
134,hsmartineza,lfvalderrama,4,5,0.7864077669902912,4,0,0.0,3.0,5.0,2.0,1.0
135,pipemax85,cdcordobaa,4,5,0.8461538461538461,4,0,2.0,4.0,5.0,2.0,0.0
136,capinillab,camilo654,4,5,0.8596491228070176,4,0,0.0,1.0,4.0,2.0,1.0
137,UNhcrodriguezl,bsgarciac,4,5,0.8601036269430051,4,0,0.0,3.0,4.0,2.0,4.0
