,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,improve-ur,improve-vis,improve-total,improve-novel,improve-tech
49,JoseMolano,hsmartineza,2,3,0.5,2,0,0.0,1.0,3.0,2.0,4.0,40.0,16.659999999999997,144.16000000000003,75.0,12.5
50,JoseMolano,camilo13152,2,3,0.5189873417721519,2,0,3.0,5.0,5.0,2.0,4.0,40.0,0.0,115.00000000000001,75.0,0.0
51,JoseMolano,jjrodriguezn,2,3,0.52,2,0,2.0,2.0,3.0,1.0,3.0,0.0,16.659999999999997,-8.340000000000003,0.0,-25.0
52,Judgarciani,pcberriop,2,3,0.5517241379310345,2,0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
53,UNhcrodriguezl,JoseMolano,2,3,0.5568181818181819,2,0,1.0,5.0,4.0,4.0,1.0,60.0,8.340000000000003,143.34,75.0,0.0
54,JoseMolano,UNhcrodriguezl,2,3,0.5833333333333333,2,0,3.0,3.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
55,capinillab,pipemax85,2,3,0.6285714285714286,2,0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
56,hsmartineza,capinillab,2,3,0.6585365853658536,2,0,0.0,0.0,0.0,0.0,0.0,0.0,4.170000000000002,-20.830000000000013,-25.0,0.0
57,jjrodriguezn,camilo654,2,3,0.6785714285714286,2,0,0.0,1.0,4.0,2.0,1.0,0.0,4.170000000000002,-33.33000000000001,-25.0,-12.5
58,camilo654,DglyP,2,3,0.6875,2,0,1.0,3.0,4.0,3.0,3.0,0.0,4.170000000000002,16.67,0.0,12.5
59,hsmartineza,jdsuarezj,2,3,0.6883116883116883,2,0,1.0,3.0,3.0,2.0,8.0,60.0,33.33,168.32999999999998,75.0,0.0
60,pcberriop,Judgarciani,2,3,0.6901408450704225,2,0,3.0,3.0,4.0,2.0,8.0,60.0,50.0,135.0,0.0,25.0
61,hsmartineza,lfvalderrama,2,3,0.7297297297297297,2,0,0.0,3.0,5.0,2.0,1.0,40.0,12.5,108.75,43.75,12.5
62,DglyP,cdcordobaa,2,3,0.8085106382978724,2,0,2.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
63,CristianLozano,NicolasZon,2,3,0.8125,2,0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-12.5,0.0,-12.5
64,mnguzmanc,sacastroc,2,3,0.8141025641025641,2,0,1.0,2.0,4.0,2.0,9.0,0.0,0.0,12.5,0.0,12.5
65,hsmartineza,bsgarciac,2,3,0.8157894736842105,2,0,0.0,3.0,4.0,2.0,3.0,20.0,8.329999999999998,40.83000000000001,0.0,12.5
66,hsmartineza,mnguzmanc,2,3,0.8333333333333334,2,0,2.0,1.0,3.0,2.0,12.0,0.0,4.170000000000002,16.669999999999987,0.0,12.5
67,bsgarciac,odprietoh,2,3,0.8431372549019608,2,0,4.0,4.0,5.0,2.0,0.0,0.0,-25.0,-62.5,-25.0,-12.5
68,NicolasZon,gabi04,2,3,0.8709677419354839,2,0,0.0,0.0,5.0,2.0,1.0,20.0,4.170000000000002,11.670000000000002,0.0,-12.5
69,NicolasZon,janoguerab,2,3,0.8837209302325582,2,0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,12.5,0.0,12.5
70,janoguerab,leavendanoro,2,3,0.8852459016393442,2,0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
71,DglyP,Moimolcp,2,3,0.8913043478260869,2,0,1.0,1.0,5.0,1.0,3.0,20.0,29.17,49.17,0.0,0.0
72,leavendanoro,jmcuestasb,2,3,0.9012345679012346,2,0,1.0,3.0,4.0,2.0,2.0,0.0,16.67,-8.330000000000013,-25.0,0.0
73,CristianLozano,CamiloRueda,2,3,0.9411764705882353,2,0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,-12.5,0.0,-12.5
74,annipi,juanescai,3,4,0.0,3,0,1.0,2.0,5.0,2.0,1.0,-20.0,-16.67,-11.670000000000002,25.0,0.0
75,annipi,jdsolanos,3,4,0.0,3,0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
76,annipi,maikellPardoA,3,4,0.0,3,0,3.0,3.0,3.0,2.0,0.0,0.0,-33.33,-58.33,-25.0,0.0
77,yocuervoc,cap182,3,4,0.0,3,0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
78,katherinsb,annipi,3,4,0.0,3,0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79,katherinsb,jcneivaa,3,4,0.0,3,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
80,katherinsb,fmbernalb,3,4,0.0,3,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
