,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-patrickherrod,0.0036363636363636364,0.001834862385321101,0.0035087719298245615,0.04553734061930783,0.003616636528028933,0.24329159212880144,0.003656307129798903,0.003590664272890485,0.060498220640569395,0.003663003663003663,0.003629764065335753,0.04371584699453552,0.17235188509874327,1,0.001834862385321101,0.05709342560553633,0.0035650623885918,0.05474452554744526,0.0036036036036036037,0.0,0.5503355704697986,0.016333938294010888,0.0,0.014678899082568808,0.05989110707803993,0.3317788141239174
2016greenironhack-pjt90,0.25,0.3333333333333333,0.07142857142857142,0.03225806451612903,0.18181818181818182,0.006578947368421052,0.4,0.13333333333333333,0.038461538461538464,0.5,0.2222222222222222,0.03333333333333333,0.01834862385321101,0.001834862385321101,1,0.029850746268656716,0.10526315789473684,0.058823529411764705,0.15384615384615385,0.0,0.0032733224222585926,0.125,0.0,0.1,0.05,0.0013745704467353953
2016greenironhack-cgrieger12,0.10294117647058823,0.029850746268656716,0.26666666666666666,0.24358974358974358,0.13043478260869565,0.20441988950276244,0.07462686567164178,0.22388059701492538,0.5866666666666667,0.05970149253731343,0.13432835820895522,0.2631578947368421,0.2571428571428571,0.05709342560553633,0.029850746268656716,1,0.2112676056338028,0.2948717948717949,0.19402985074626866,0.029850746268656716,0.07278481012658228,0.10666666666666667,0.0,0.11764705882352941,0.5970149253731343,0.04103967168262654
2016greenironhack-wluan,0.35,0.10526315789473684,0.5161290322580645,0.06521739130434782,0.2,0.017964071856287425,0.2,0.4782608695652174,0.18333333333333332,0.15,0.3333333333333333,0.09090909090909091,0.06666666666666667,0.0035650623885918,0.10526315789473684,0.2112676056338028,1,0.06,0.28,0.10526315789473684,0.02106969205834684,0.16666666666666666,0.0,0.12,0.1346153846153846,0.01028101439342015
2016greenironhack-MegamindHenry,0.07692307692307693,0.058823529411764705,0.06896551724137931,0.391304347826087,0.0975609756097561,0.12804878048780488,0.11428571428571428,0.08888888888888889,0.34375,0.11764705882352941,0.10256410256410256,0.4,0.1349206349206349,0.05474452554744526,0.058823529411764705,0.2948717948717949,0.06,1,0.11904761904761904,0.0,0.04538087520259319,0.13636363636363635,0.0,0.22857142857142856,0.39622641509433965,0.02336769759450172
2016greenironhack-abelal16,0.4,0.15384615384615385,0.36666666666666664,0.13157894736842105,0.2,0.025,0.2857142857142857,0.47368421052631576,0.14035087719298245,0.3076923076923077,0.375,0.16666666666666666,0.06086956521739131,0.0036036036036036037,0.15384615384615385,0.19402985074626866,0.28,0.11904761904761904,1,0.0,0.016286644951140065,0.20833333333333334,0.0,0.1,0.15217391304347827,0.008934707903780068
2016greenironhack-jeffkeilmann,0.0,0.0,0.07142857142857142,0.0,0.18181818181818182,0.006578947368421052,0.16666666666666666,0.0,0.038461538461538464,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.029850746268656716,0.10526315789473684,0.0,0.0,1,0.0032733224222585926,0.0,0.0,0.0,0.024390243902439025,0.0013745704467353953
2016greenironhack-ishwetasingh,0.0065040650406504065,0.0032733224222585926,0.028985507246376812,0.043973941368078175,0.013029315960912053,0.24306688417618272,0.008183306055646482,0.00967741935483871,0.07980456026058631,0.006546644844517185,0.011419249592169658,0.04234527687296417,0.16693679092382496,0.5503355704697986,0.0032733224222585926,0.07278481012658228,0.02106969205834684,0.04538087520259319,0.016286644951140065,0.0032733224222585926,1,0.01951219512195122,0.0,0.014729950900163666,0.06199021207177814,0.258988421694089
2016greenironhack-huayifang,0.2631578947368421,0.125,0.15789473684210525,0.24324324324324326,0.125,0.056962025316455694,0.16666666666666666,0.19230769230769232,0.11475409836065574,0.17647058823529413,0.19047619047619047,0.3235294117647059,0.11607142857142858,0.016333938294010888,0.125,0.10666666666666667,0.16666666666666666,0.13636363636363635,0.20833333333333334,0.0,0.01951219512195122,1,0.0,0.25,0.16666666666666666,0.00822481151473612
2016greenironhack-ccand93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2016greenironhack-shiboo18,0.13333333333333333,0.1,0.05714285714285714,0.25806451612903225,0.1111111111111111,0.05263157894736842,0.16666666666666666,0.09090909090909091,0.17307692307692307,0.18181818181818182,0.125,0.26666666666666666,0.07272727272727272,0.014678899082568808,0.1,0.11764705882352941,0.12,0.22857142857142856,0.1,0.0,0.014729950900163666,0.25,0.0,1,0.1951219512195122,0.006185567010309278
2016greenironhack-tanmayee123,0.14285714285714285,0.05,0.13333333333333333,0.2962962962962963,0.0851063829787234,0.22435897435897437,0.07142857142857142,0.12244897959183673,0.6727272727272727,0.07317073170731707,0.11363636363636363,0.35294117647058826,0.2956521739130435,0.05989110707803993,0.05,0.5970149253731343,0.1346153846153846,0.39622641509433965,0.15217391304347827,0.024390243902439025,0.06199021207177814,0.16666666666666666,0.0,0.1951219512195122,1,0.027491408934707903
2016greenironhack-sauravn,0.004807692307692308,0.0013745704467353953,0.012978142076502733,0.019917582417582416,0.007560137457044674,0.1,0.003436426116838488,0.009615384615384616,0.033607681755829906,0.0027491408934707906,0.006185567010309278,0.019230769230769232,0.06903622693096377,0.3317788141239174,0.0013745704467353953,0.04103967168262654,0.01028101439342015,0.02336769759450172,0.008934707903780068,0.0013745704467353953,0.258988421694089,0.00822481151473612,0.0,0.006185567010309278,0.027491408934707903,1
