,Unnamed: 0,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
32,32,jiapulidoar,1,60,83.33,66.67,310.0,100.0,100.0,40.0,62.5,75.0,277.5,100.0,40.0,66.67,75.0,281.67,100.0,40.0,41.67,75.0,256.67,87.5,40.0,50.0,41.67,219.17
33,33,jsviveroj,1,80,79.17,72.5,331.67,100.0,87.5,60.0,58.33,75.0,280.83,87.5,60.0,58.33,87.5,293.33,75.0,20.0,33.33,25.0,153.33,50.0,20.0,33.33,0.0,103.33
34,34,daandradec,1,100,66.67,95.0,336.67,75.0,75.0,100.0,75.0,68.75,318.75,100.0,20.0,58.33,62.5,240.83,87.5,80.0,58.33,87.5,313.33,50.0,0.0,25.0,62.5,137.5
35,35,jcrubioa,1,40,50.0,81.25,246.25,75.0,75.0,20.0,45.83,75.0,215.83,75.0,20.0,29.17,81.25,205.42,75.0,0.0,25.0,87.5,187.5,75.0,20.0,41.67,0.0,136.67
36,36,joahernandezca,1,20,54.17,25.0,161.67,62.5,50.0,20.0,37.5,25.0,132.5,50.0,0.0,33.33,25.0,108.33,50.0,0.0,25.0,0.0,75.0,50.0,0.0,37.5,62.5,150.0
37,37,ItsNavi,1,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,,,,0.0
38,38,Zeugmax,1,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
39,39,kastellanos,1,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0
40,40,JairVillalba,1,0,0.0,0.0,75.0,75.0,62.5,,,,62.5,62.5,,,,62.5,62.5,,,,62.5,62.5,,,,62.5
0,0,jusherrerama,2,20,25.0,0.0,120.0,75.0,62.5,20.0,25.0,0.0,107.5,62.5,20.0,37.5,0.0,120.0,62.5,20.0,29.17,50.0,161.67,25.0,20.0,37.5,0.0,82.5
1,1,bdvegat,2,20,25.0,0.0,107.5,62.5,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0
2,2,Phoenixest,2,0,25.0,25.0,75.0,25.0,25.0,20.0,25.0,25.0,95.0,25.0,20.0,25.0,25.0,95.0,37.5,20.0,29.17,25.0,111.67,0.0,20.0,29.17,25.0,74.17
3,3,HashNick,2,40,50.0,25.0,152.5,37.5,37.5,40.0,54.17,0.0,131.67,37.5,20.0,45.83,0.0,103.33,50.0,0.0,33.33,25.0,108.33,0.0,,,,0.0
4,4,ccvacad,2,80,66.67,80.0,314.17,87.5,,,,,0.0,,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
5,5,joaortizro,2,100,50.0,87.5,325.0,87.5,87.5,80.0,50.0,62.5,280.0,87.5,80.0,50.0,87.5,305.0,87.5,60.0,33.33,87.5,268.33,62.5,20.0,25.0,0.0,107.5
6,6,juasmartinezbel,2,100,75.0,75.0,337.5,87.5,75.0,100.0,58.33,87.5,320.83,75.0,60.0,70.83,87.5,293.33,75.0,80.0,54.17,87.5,296.67,75.0,60.0,54.17,62.5,251.67
7,7,mdbelloc,2,0,37.5,25.0,137.5,75.0,75.0,0.0,29.17,25.0,129.17,75.0,0.0,33.33,25.0,133.33,75.0,0.0,25.0,25.0,125.0,37.5,0.0,29.17,25.0,91.67
8,8,diegocruz10,2,20,45.83,25.0,128.33,37.5,37.5,40.0,29.17,0.0,106.67,37.5,20.0,54.17,0.0,111.67,50.0,20.0,58.33,0.0,128.33,25.0,20.0,45.83,0.0,90.83
9,9,crarojasca,2,20,25.0,0.0,45.0,0.0,0.0,20.0,25.0,0.0,45.0,0.0,20.0,25.0,0.0,45.0,12.5,20.0,25.0,0.0,57.5,0.0,20.0,25.0,0.0,45.0
10,10,sagilm,2,20,33.33,62.5,178.33,62.5,50.0,0.0,37.5,62.5,150.0,50.0,0.0,33.33,62.5,145.83,37.5,0.0,33.33,0.0,70.83,25.0,0.0,25.0,0.0,50.0
11,11,idrojasf,2,20,50.0,25.0,170.0,75.0,75.0,20.0,58.33,0.0,153.33,37.5,60.0,58.33,0.0,155.83,37.5,60.0,45.83,25.0,168.33,62.5,20.0,62.5,62.5,207.5
