,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13
140,1.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0
141,4.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,5.0
142,0.0,6.0,3.0,0.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0,4.0,5.0
143,4.0,6.0,6.0,3.0,6.0,4.0,6.0,6.0,4.0,5.0,4.0,5.0,2.0
144,4.0,6.0,6.0,3.0,5.0,6.0,6.0,4.0,3.0,6.0,0.0,4.0,5.0
145,3.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,1.0,3.0,5.0
146,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,6.0
147,0.0,3.0,2.0,2.0,5.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,5.0
148,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0
149,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0
150,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,3.0
151,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,4.0
152,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,6.0
153,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,5.0
154,4.0,5.0,6.0,4.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,4.0,5.0
155,4.0,5.0,3.0,5.0,2.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,6.0
156,4.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0
157,3.0,4.0,0.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,0.0,6.0
158,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,6.0
159,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0
160,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0
161,0.0,3.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,0.0
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
163,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,0.0
164,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,3.0
165,0.0,3.0,4.0,3.0,0.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
166,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,6.0
167,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
