,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Student
62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,bsgarciac
63,4,4,5,1,2,3,6,3,4,3,1,3,5,2,5,5,6,5,2,1,2,2,1,2,0,4,0,3,0,1,0,1,3,4,2,jsnarvaezb
64,2,4,3,3,3,4,5,3,4,4,3,4,1,3,3,4,5,4,2,3,4,5,5,4,2,5,1,5,1,1,1,3,5,4,2,jscontrerasp
65,4,5,6,3,5,5,6,6,6,6,3,5,3,6,5,5,5,6,3,5,4,0,6,5,1,6,3,6,0,3,0,3,6,6,3,nfmorenog
66,4,6,5,4,5,5,6,6,5,5,5,4,4,4,5,5,6,4,5,5,5,4,6,5,4,5,4,6,0,1,0,3,5,6,2,jcneivaa
67,3,6,6,6,6,6,5,4,5,6,5,5,3,6,5,5,5,5,3,3,4,3,4,5,5,6,3,6,2,3,2,4,4,5,4,djguzmanc
68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,jhriverasa
69,3,2,6,2,2,2,6,5,3,6,4,6,6,6,5,5,5,4,4,2,4,3,4,3,2,5,3,6,0,2,1,2,5,5,2,dagofonseca
70,2,2,2,2,2,2,3,4,3,2,2,3,5,2,3,2,3,3,4,4,4,4,4,2,0,0,0,2,0,0,0,0,3,3,1,cdcordobaa
71,3,6,3,1,6,3,6,5,3,5,6,3,5,5,5,5,5,5,6,6,6,4,4,4,5,3,3,5,1,0,1,0,2,4,4,aldiazve
72,3,6,6,6,6,4,6,5,6,5,5,6,3,5,5,6,5,6,5,4,5,5,5,4,5,5,5,5,4,4,3,3,5,5,2,Phoenixest
73,3,3,3,3,3,4,6,4,4,5,3,4,5,5,5,3,5,5,4,4,5,4,3,3,3,5,4,5,1,3,1,3,4,3,2,sarizag
74,0,5,3,1,3,3,6,6,5,6,5,4,4,4,5,4,3,4,5,3,3,3,3,2,3,4,4,6,2,2,2,2,6,5,2,fffeelipe
75,4,3,4,4,2,3,4,4,4,3,4,3,5,3,4,4,5,5,2,3,2,3,4,1,0,5,0,5,0,0,0,0,5,5,2,gsuarezc04
76,1,1,3,2,5,5,6,5,4,5,3,5,5,5,4,6,4,6,3,5,4,4,5,2,2,4,2,4,1,1,2,3,0,1,0,xdanielsb
77,4,4,4,3,3,5,4,4,5,6,1,5,6,2,5,5,3,4,3,4,2,4,3,2,3,2,3,4,1,2,1,3,5,4,2,spenas
78,4,1,2,0,2,3,6,4,5,4,2,5,4,2,5,5,5,5,2,4,5,1,2,6,1,5,0,5,1,3,0,4,5,4,2,yocuervoc
79,0,0,5,4,6,0,6,6,6,6,4,6,0,6,5,5,6,6,5,1,4,3,6,6,6,6,6,6,5,5,5,6,5,5,3,joahernandezca
80,3,4,5,3,5,3,6,4,5,5,3,5,4,4,5,5,5,5,3,4,3,4,4,3,1,2,1,4,1,1,0,1,3,3,2,crarojasca
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juclopezso
82,3,4,3,4,5,3,5,4,5,4,4,3,5,4,5,5,5,5,4,4,3,4,4,3,3,3,3,5,1,2,1,1,4,5,1,mnguzmanc
83,2,3,4,3,3,4,5,5,5,4,3,4,3,5,4,3,4,4,4,5,4,5,3,1,0,4,1,5,0,1,0,3,3,1,1,diegoaguevarar
84,5,6,4,4,5,4,6,5,5,5,6,4,6,6,6,6,6,6,6,4,6,5,6,0,0,6,0,6,1,3,0,2,5,4,3,kmendezp96
85,1,5,5,3,4,5,5,5,5,3,1,4,5,4,5,5,5,5,4,3,3,3,4,2,1,4,2,5,1,0,1,0,4,4,2,jumcorredorro
86,3,5,6,0,5,3,6,5,3,5,3,2,6,3,4,4,3,4,6,5,6,4,6,1,3,1,1,3,0,2,1,1,2,3,1,lfvalderrama
87,5,5,4,4,3,6,5,5,5,5,3,4,6,6,5,6,5,5,4,5,5,4,4,1,1,4,1,5,0,5,0,5,5,5,2,JairVillalba
88,5,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,4,5,3,3,4,4,3,3,3,3,2,3,1,3,2,4,2,2,2,jjmuesesq
89,1,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,adriel62
90,6,6,6,5,4,4,6,6,3,6,3,4,6,5,6,6,6,4,5,4,6,5,5,5,3,6,3,6,1,3,0,4,5,5,2,jdsolanos
91,2,3,1,1,2,3,3,2,1,2,3,1,6,2,0,6,4,5,2,4,2,1,5,2,0,5,0,5,0,0,0,0,3,1,1,gcantem
