,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,tech-phase5,total-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
19,jjmuesesq,2,20,25,0,75,120,62.5,20,25,0,107.5,50,0,29.17,0,79.17,50,20,29.17,87.5,186.67,37.5,20,25,0,82.5
20,jucjimenezmo,2,0,25,62.5,100,187.5,75,20,33.33,75,203.33,47,20,33.33,0,100.33,50,20,29.17,0,99.17,12.5,,,,12.5
21,kancas,2,20,25,62.5,75,182.5,62.5,40,29.17,75,206.67,62.5,60,33.33,75,230.83,62.5,60,33.33,87.5,243.33,37.5,20,29.17,0,37.5
22,Gantiva,2,100,70.83,100,75,345.83,62.5,100,75,0,237.5,62.5,100,66.67,0,229.17,75,0,33.33,25,133.33,50,20,45.83,0,115.83
23,Dandarprox,2,80,58.33,37.5,100,275.83,75,80,58.33,0,213.33,62.5,40,33.33,0,135.83,62.5,40,33.33,0,135.83,12.5,20,29.17,43.75,105.42
24,debeltranc,2,0,25,25,75,125,50,0,25,25,100,50,0,25,25,100,50,0,25,0,75,75,0,25,62.5,162.5
25,ykchautai,2,20,41.67,75,75,211.67,75,20,41.67,62.5,199.17,75,20,37.5,62.5,195,62.5,20,37.5,0,120,50,20,29.17,62.5,161.67
26,ligibrial,2,0,33.33,25,87.5,145.83,62.5,0,33.33,12.5,108.33,62.5,0,33.33,25,120.83,50,0,33.33,25,108.33,37.5,0,33.33,62.5,133.33
27,davidrh195,2,20,25,0,50,95,62.5,20,25,0,107.5,62.5,20,25,0,107.5,75,20,25,0,120,0,,,,0
28,JulianaNino,2,20,41.67,75,87.5,224.17,75,20,29.17,0,124.17,75,20,29.17,0,124.17,62.5,0,29.17,0,91.67,25,0,29.17,0,54.17
29,luegilca,2,0,37.5,0,62.5,100,62.5,0,29.17,25,116.67,62.5,0,33.33,25,120.83,62.5,0,25,25,112.5,37.5,0,29.17,62.5,129.17
30,Yelis3,2,80,66.67,62.5,100,309.17,87.5,80,66.67,0,234.17,87.5,60,45.83,75,268.33,87.5,20,41.67,62.5,211.67,87.5,40,41.67,62.5,231.67
31,begarzonf,2,40,25,75,87.5,227.5,75,40,25,75,215,62.5,20,29.17,62.5,174.17,62.5,20,25,0,107.5,37.5,20,25,75,157.5
32,kmendezp96,2,60,79.17,65.63,100,304.79,62.5,40,45.83,58.33,206.67,75,40,45.83,75,235.83,75,40,33.33,62.5,210.83,50,40,33.33,62.5,185.83
33,leguzman,2,60,79.17,100,100,339.17,100,40,62.5,87.5,290,87.5,0,37.5,25,150,87.5,40,41.67,75,244.17,25,20,45.83,62.5,153.33
34,luealfonsoru,2,0,45.83,25,87.5,158.33,87.5,0,25,25,137.5,87.5,0,33.33,25,145.83,87.5,0,25,25,137.5,62.5,0,29.17,62.5,154.17
35,oserasoa,2,0,33.33,33.33,87.5,154.17,37.5,20,33.33,25,115.83,37.5,20,41.67,25,124.17,37.5,0,33.33,25,95.83,25,0,29.17,0,54.17
36,lsfinite,2,0,25,12.5,87.5,125,,,,,0,50,0,25,25,100,50,0,25,25,100,12.5,0,25,25,62.5
37,xdanielsb,2,100,87.5,70,100,357.5,50,0,25,0,75,50,0,25,0,75,62.5,0,25,0,87.5,87.5,60,37.5,75,260
38,CSebasGomez,2,0,0,0,0,0,,,,,0,,,,,0,12.5,,,,12.5,0,0,0,0,0
39,jhcardenasa,2,0,0,0,0,0,0,,,,0,0,,,,0,12.5,,,,12.5,0,,,,0
40,tres-iqus,2,0,0,0,0,0,0,,,,0,0,,,,0,12.5,,,,12.5,0,0,0,0,0
41,jscontrerasp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
