username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,angular,bootstrap,jquery,",0.059813084,94.01869159,9,90,44.44%,"1,1,1,1,0,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",6,33.33333333,88.89%,"1.0,1.0,2.0,1.0,0.0,1.0,",11,47.82608696,88.89%,8,1.777777778,77.78%,"3.0,0.0,0.0,;3.0,1.0,1.0,;",28,281.4486433,88.89%,8,1.777777778,77.78%,7,1.555555556,81.48%,6,1.333333333,81.48%,0,0,0.00%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"react,d3,jquery,",0.009917355,99.00826446,9,90,66.67%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"3.0,0.0,1.0,0.0,0.0,0.0,",5,21.73913043,59.26%,10,2.222222222,81.48%,"3.0,1.0,1.0,;3.0,1.0,1.0,;",24,234.7087476,66.67%,8,1.777777778,77.78%,8,1.777777778,88.89%,9,2,92.59%,0,0,0.00%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,",0.036666667,96.33333333,7,70,25.93%,"1,1,0,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043,59.26%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,210.4782609,40.74%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,",0.04137931,95.86206897,9,90,48.15%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,212.6156922,44.44%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"New York State Career Centers, NYCHA Development Data Book, Neighborhood Names GIS, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,",0.004731861,99.52681388,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",4,80,85.19%,"1.0,2.0,0.0,1.0,0.0,",11,61.11111111,96.30%,"3.0,1.0,3.0,2.0,1.0,1.0,",15,65.2173913,96.30%,21,4.666666667,96.30%,"3.0,1.0,2.0,;3.0,1.0,1.0,;1.0,0.0,0.0,;1.0,1.0,2.0,;3.0,1.0,1.0,;",46,334.6282632,96.30%,27,6,96.30%,15,3.333333333,96.30%,16,3.555555556,96.30%,3,0.666666667,88.89%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333,97.91666667,7,70,29.63%,"0,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,0,0,0.00%,,10,194.0036232,25.93%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.033027523,96.69724771,10,100,74.07%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"1.0,0.0,2.0,1.0,0.0,0.0,",5,21.73913043,59.26%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",18,240.8421752,77.78%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"ember,animate,font-awesome,",0.007177034,99.28229665,8,80,37.04%,"1,1,1,1,1,0,0,1,1,",3,60,81.48%,"1.0,1.0,0.0,0.0,1.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",6,26.08695652,77.78%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",17,232.1228764,59.26%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,1,1,1,1,"font-awesome,animate,",0.011764706,98.82352941,9,90,62.96%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.39130435,44.44%,4,0.888888889,59.26%,"3.0,0.0,0.0,;1.0,0.0,0.0,;",17,224.495027,51.85%,6,1.333333333,62.96%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,0,,0.040650407,95.93495935,6,60,22.22%,"0,1,1,1,1,0,0,1,0,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.39130435,44.44%,0,0,0.00%,,10,190.717568,22.22%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
