,email_name,additions,group3_additions,commits_count
1111,lacardenasv,76604,77410,15
1112,lacardenasv,3003,80413,16
1113,lacardenasv,1,80414,17
1114,lacardenasv,5,80419,18
1115,lacardenasv,8,80427,19
1116,lacardenasv,40,80467,20
1117,lacardenasv,167125,247592,21
1118,lacardenasv,16,247608,22
1119,lacardenasv,100,247708,23
1120,lacardenasv,2,247710,24
1121,lacardenasv,2,247712,25
1122,lacardenasv,1,247713,26
1123,lacardenasv,51,247764,27
1124,lacardenasv,7,247771,28
1125,lacardenasv,1,247772,29
1167,lemartinp,4,4,1
1168,lemartinp,144,148,2
1169,lemartinp,139,287,3
1170,lemartinp,2,289,4
1171,lemartinp,74,363,5
1172,lemartinp,85,448,6
1180,lgmoralesa,0,0,1
1181,lgmoralesa,16,16,2
1182,lgmoralesa,140,156,3
1183,lgmoralesa,141,297,4
1184,lgmoralesa,21,318,5
1185,lgmoralesa,56,374,6
1186,lgmoralesa,1834,2208,7
1187,lgmoralesa,118,2326,8
1188,lgmoralesa,20,2346,9
1189,lgmoralesa,157,2503,10
1190,lgmoralesa,13,2516,11
1191,lgmoralesa,0,2516,12
1192,lgmoralesa,0,2516,13
1193,lgmoralesa,0,2516,14
1194,lgmoralesa,84,2600,15
1195,lgmoralesa,338,2938,16
1196,lgmoralesa,10205,13143,17
1197,lgmoralesa,86,13229,18
1210,ltenganah,2,2,1
1211,ltenganah,1,3,2
1212,ltenganah,3,6,3
1213,ltenganah,5,11,4
1214,ltenganah,198,209,5
1215,ltenganah,13,222,6
1216,ltenganah,473,695,7
1217,ltenganah,6,701,8
1218,ltenganah,0,701,9
1219,ltenganah,109,810,10
1220,ltenganah,11,821,11
1221,ltenganah,58,879,12
1222,ltenganah,0,879,13
1223,ltenganah,0,879,14
1224,ltenganah,0,879,15
1225,ltenganah,0,879,16
1226,ltenganah,0,879,17
1227,ltenganah,723,1602,18
1265,macuestapa,7,7,1
1266,macuestapa,6,13,2
1267,macuestapa,62,75,3
1268,macuestapa,15,90,4
1269,macuestapa,252,342,5
1270,macuestapa,0,342,6
1275,migaballengal,1,1,1
1276,migaballengal,28,29,2
1277,migaballengal,50,79,3
1278,migaballengal,128,207,4
1279,migaballengal,1967950,1968157,5
1343,ncampuzano,4,4,1
1344,ncampuzanoa,235,235,1
1345,ncampuzanoa,120,355,2
1346,ncampuzanoa,460,815,3
1347,ncampuzanoa,19,834,4
1348,ncampuzanoa,0,834,5
1349,ncampuzanoa,113,947,6
1350,ncampuzanoa,101,1048,7
1351,ncampuzanoa,9,1057,8
1352,ncampuzanoa,29,1086,9
1353,ncampuzanoa,117,1203,10
1354,ncampuzanoa,36,1239,11
1355,ncampuzanoa,0,1239,12
1356,ncampuzanoa,44,1283,13
1357,ncampuzanoa,202,1485,14
1358,ncampuzanoa,70,1555,15
1359,ncampuzanoa,107,1662,16
1360,ncampuzanoa,7,1669,17
1361,ncampuzanoa,56,1725,18
1362,ncampuzanoa,88,1813,19
1363,ncampuzanoa,67,1880,20
1364,ncampuzanoa,24,1904,21
1365,ncampuzanoa,172,2076,22
1366,ncampuzanoa,28,2104,23
1367,ncampuzanoa,55,2159,24
1368,ncampuzanoa,0,2159,25
1369,ncampuzanoa,1,2160,26
1370,ncampuzanoa,47,2207,27
1371,ncampuzanoa,0,2207,28
1372,ncampuzanoa,0,2207,29
1373,ncampuzano,4,8,2
1374,nfmorenog,1,1,1
1375,nfmorenog,43,44,2
1376,nfmorenog,81,125,3
1377,nfmorenog,126,251,4
1378,nfmorenog,42,293,5
1379,nfmorenog,5,298,6
1380,nfmorenog,70,368,7
1381,nfmorenog,62,430,8
1382,oacastillol,13,13,1
1383,oacastillol,1461,1474,2
1384,oacastillol,50,1524,3
1385,oacastillol,86,1610,4
1386,oacastillol,82,1692,5
1387,oacastillol,265,1957,6
1388,oacastillol,744,2701,7
1389,oacastillol,41,2742,8
1419,ofnanezn,52,52,1
1420,ofnanezn,1,53,2
1421,ofnanezn,28579,28632,3
1456,ronaldsg,24,24,1
1457,ronaldsg,55,79,2
1458,ronaldsg,0,79,3
1459,ronaldsg,54,133,4
1460,ronaldsg,3204,3337,5
1461,ronaldsg,24,3361,6
1462,ronaldsg,16,3377,7
1463,ronaldsg,132,3509,8
1464,ronaldsg,16,3525,9
1465,ronaldsg,874805,878330,10
1466,ronaldsg,96,878426,11
1491,naroik,5,5,1
1492,naroik,878,883,2
1493,naroik,0,883,3
1494,naroik,873,1756,4
1495,naroik,57,1813,5
1496,naroik,27,1840,6
1497,naroik,47,1887,7
1498,smarquezo,371,371,1
1499,smarquezo,253,624,2
1500,smarquezo,65,689,3
1501,smarquezo,74,763,4
1502,smarquezo,51,814,5
1503,spenas,17021,17021,1
1504,spenas,43,17064,2
1505,spenas,131,17195,3
1506,srmedinac,1,1,1
1507,srmedinac,2,3,2
1508,srmedinac,35251,35254,3
1509,srmedinac,4,35258,4
1510,srmedinac,4,35262,5
1511,srmedinac,280,35542,6
1517,wapiravaguens,29,29,1
1518,wapiravaguens,177,206,2
1519,wapiravaguens,225,431,3
1520,wapiravaguens,199,630,4
1521,wapiravaguens,2,632,5
1522,wapiravaguens,183,815,6
1523,wetelleza,15,15,1
1524,wetelleza,34,49,2
1525,wetelleza,4760,4809,3
1526,wetelleza,0,4809,4
