,components,username_folder_name,js_loc_in_each_js
20,d3-zoom___.zoom,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
21,d3-color___.lab,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
22,d3-selection_Handling_.touch,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
23,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
24,d3-selection_Selecting_.selector,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
25,d3-format___.format,2017-Purdue-UNAL-IronHack-falperezgo,148390.0
0,d3-dispatch___.dispatch,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
1,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
2,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
3,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
4,d3-color___.color,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
5,d3-fetch___.text,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
6,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
7,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
8,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
9,d3-selection_Handling_.mouse,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
10,d3-transition___.transition,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
11,d3-collection_Objects_.keys,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
12,d3-timer___.interval,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
13,d3-selection_Selecting_.window,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
14,d3-selection_Handling_.touches,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
15,d3-transition___.active,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
16,d3-timer___.now,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
17,d3-drag___.drag,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
18,d3-selection_Modifying_.create,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
19,d3-array_Transformations_.range,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
20,d3-zoom___.zoom,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
21,d3-color___.lab,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
22,d3-selection_Handling_.touch,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
23,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
24,d3-selection_Selecting_.selector,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
25,d3-format___.format,2017-Purdue-UNAL-IronHack-falperezgo,324112.0
