username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1,total_raw4,total_norm4,total_norm_per4,total_raw3,total_norm3,total_norm_per3,total_raw2,total_norm2,total_norm_per2,total_raw1,total_norm1,total_norm_per1
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,",0.100775194,89.92248062,9,90,40.74%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,206.6761038,37.04%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%,15,205.3501144,44.44%,15,205.413417,59.26%,9,165.8488613,29.63%,6,156.567993,25.93%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"d3,jquery,",0.004118993,99.58810069,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043,59.26%,6,1.333333333,66.67%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",21,244.3996949,81.48%,6,1.333333333,62.96%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%,20,235.7040427,85.19%,14,198.42029,48.15%,14,198.8328311,62.96%,9,184.95228,66.67%
shivans,honors0,IH-Project-2017-shivans_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,3.70%,7,162.6294,40.74%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,12,2.666666667,88.89%,6,1.333333333,77.78%,0,0,0.00%,0,0,0.00%,26,234.6479015,81.48%,19,224.589372,77.78%,3,126.6666667,3.70%,4,135.362319,7.41%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"polyfill,bootstrap,jquery,font-awesome,d3,foundation,ember,animate,",0.005158438,99.48415623,9,90,70.37%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"2.0,0.0,1.0,1.0,0.0,0.0,",5,21.73913043,59.26%,1,0.222222222,25.93%,"1.0,0.0,0.0,;",15,233.1846393,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,7,163.966815,25.93%,3,126.6666667,3.70%,8,174.793902,51.85%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,3.70%,5,143.939394,18.52%
hihms,honors0,IH-Project-2017-hihms_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.012729844,98.72701556,5,50,18.52%,"0,0,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,85.19%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652,77.78%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",14,201.5675953,29.63%,6,1.333333333,62.96%,3,0.666666667,44.44%,6,1.333333333,81.48%,7,1.555555556,96.30%,19,222.2085451,62.96%,13,192.598536,33.33%,17,201.9227393,66.67%,17,195.62004,88.89%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Open.ny.gov API Catalog, Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,react,d3,jquery,",0.018181818,98.18181818,9,90,55.56%,"1,1,1,1,0,1,1,1,1,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,6,1.333333333,66.67%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",15,189.5151515,18.52%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%,14,204.8118756,40.74%,3,126.666667,0.00%,7,167.2477064,33.33%,6,157.530864,29.63%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,",0.016791045,98.32089552,8,80,33.33%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",14,205.0745187,33.33%,3,0.666666667,29.63%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%,16,225.2384717,70.37%,16,225.760246,81.48%,16,223.3522626,85.19%,6,155.283019,22.22%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,0.00%,3,126.666667,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%
