,2016greenironhack-ankitbatheja,2016greenironhack-taycurt17,2016greenironhack-crloflin,2016greenironhack-pjt90,2016greenironhack-tanmayee123,2016greenironhack-shiboo18,2016greenironhack-prachitamane,2016greenironhack-sabrina-hsu,2016greenironhack-cgrieger12,2016greenironhack-lheston,2016greenironhack-sauravn,2016greenironhack-lostkuma,2016greenironhack-abelal16,2016greenironhack-dengc,2016greenironhack-ishwetasingh,2016greenironhack-jeffkeilmann,2016greenironhack-huayifang,2016greenironhack-patrickherrod,2016greenironhack-MegamindHenry,2016greenironhack-mgogte,2016greenironhack-pmittal115,2016greenironhack-aterriqu,2016greenironhack-ccand93,2016greenironhack-Christyyy,2016greenironhack-wluan,2016greenironhack-meetalivaidya
2016greenironhack-huayifang,0.322262118491921,0.5152394775036284,0.103397341211226,0.7352537722908093,0.15774099318403115,0.2663605051664753,0.16724645437516725,0.23718887262079064,0.12111172464568379,0.014925373134328358,0.002559654600824949,0.18128654970760233,0.5803571428571429,0.3154104656745079,0.00862727536155528,0.05663189269746647,1,0.00871045650710694,0.14389920424403183,0.02092675635276532,0.5157384987893463,0.35319767441860467,0.0,0.09023668639053255,0.4217391304347826,0.13049645390070921
2016greenironhack-patrickherrod,0.00946605141727093,0.004870001319783555,0.0009502441599577669,0.0078000237564175325,0.05383255028242623,0.0057283142389525366,0.04859122401847575,0.0022700876359412945,0.07106953917597858,0.00014518768808405048,0.23121145220716535,0.046993771114864864,0.01431776194246503,0.02673860278598565,0.557223380116839,0.0005411612528542956,0.00871045650710694,1,0.05943220663349479,0.0001715831848478849,0.015622319861721358,0.003233000356289835,0.0,0.0008975238899741302,0.003932539787273351,0.06462383044987265
2016greenironhack-MegamindHenry,0.12020244622522143,0.08030973451327433,0.016400709219858155,0.12422907488986784,0.7850467289719626,0.08663148636763413,0.7221755564888702,0.03766061143110323,0.8183482878593664,0.0024401064773735583,0.01714296725955331,0.7449794860721226,0.2319349879200527,0.41911130284728215,0.05927604194109279,0.009096960284002663,0.14389920424403183,0.05943220663349479,1,0.0033281562014643887,0.24907144417740879,0.052515445719329215,0.0,0.014859170547793302,0.06495802032699956,0.6410524481617006
2016greenironhack-mgogte,0.017369727047146403,0.03713527851458886,0.189873417721519,0.021702838063439065,0.0034238200048911714,0.029748283752860413,0.004060638873849486,0.07865168539325842,0.0027659966808039832,0.5882352941176471,5.782441423868376e-05,0.003635346756152125,0.013611615245009074,0.00723938223938224,0.0001976050270718887,0.24444444444444444,0.02092675635276532,0.0001715831848478849,0.0033281562014643887,1,0.011560693641618497,0.057034220532319393,0.0,0.16666666666666666,0.044585987261146494,0.0028501628664495114
2016greenironhack-pmittal115,0.23771498771498772,0.2978723404255319,0.05482815057283143,0.48236259228876127,0.26807084729535663,0.18260244428468728,0.27741599374837195,0.13039934800325997,0.21639464514945903,0.00825082508250825,0.004621902188368534,0.3179063360881543,0.8585209003215434,0.5665871121718377,0.015445184736523319,0.03217821782178218,0.5157384987893463,0.015622319861721358,0.24907144417740879,0.011560693641618497,1,0.20836751435602954,0.0,0.05094494658997535,0.23220064724919093,0.22518014411529225
2016greenironhack-aterriqu,0.2714285714285714,0.6015037593984962,0.24363636363636362,0.40522875816993464,0.060960741282613994,0.30467289719626167,0.05943775100401606,0.543859649122807,0.04772434125667956,0.03773584905660377,0.0009984194903820208,0.06583333333333333,0.2308385933273219,0.12475915221579961,0.003266424319055898,0.14285714285714285,0.35319767441860467,0.003233000356289835,0.052515445719329215,0.057034220532319393,0.20836751435602954,1,0.0,0.21611721611721613,0.6793002915451894,0.04758048187892286
2016greenironhack-ccand93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2016greenironhack-Christyyy,0.07635467980295567,0.15885416666666666,0.5913978494623656,0.10082644628099173,0.015636452479843636,0.14027149321266968,0.017027027027027027,0.3225806451612903,0.012350230414746545,0.1095890410958904,0.0002659923054979453,0.01873601789709172,0.05590622182146077,0.030813673567645642,0.0008957976551179028,0.375,0.09023668639053255,0.0008975238899741302,0.014859170547793302,0.16666666666666666,0.05094494658997535,0.21611721611721613,0.0,1,0.19003115264797507,0.013637288825564827
2016greenironhack-wluan,0.3215130023640662,0.6887254901960784,0.225,0.456,0.06924198250728864,0.2830188679245283,0.07110398289227479,0.5408805031446541,0.054217974637015255,0.031746031746031744,0.0011950240739527155,0.07972222222222222,0.2577777777777778,0.14114832535885166,0.003991095773126622,0.11320754716981132,0.4217391304347826,0.003932539787273351,0.06495802032699956,0.044585987261146494,0.23220064724919093,0.6793002915451894,0.0,0.19003115264797507,1,0.05941999594402758
2016greenironhack-meetalivaidya,0.10710827038543483,0.07263136538851694,0.015052888527257934,0.1102600282201169,0.7763521515988946,0.08835504885993485,0.7489837398373984,0.03414634146341464,0.6789601949634444,0.0020354162426216163,0.018546920278685493,0.6959824105536678,0.20767222333801968,0.3918676499900339,0.0645836900825902,0.008348605172062717,0.13049645390070921,0.06462383044987265,0.6410524481617006,0.0028501628664495114,0.22518014411529225,0.04758048187892286,0.0,0.013637288825564827,0.05941999594402758,1
