,fall2016-goldironhack-mlung,fall2016-goldironhack-ditton,fall2016-goldironhack-zhao719,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-tang227,fall2016-goldironhack-ssandeep,fall2016-goldironhack-steven91,fall2016-goldironhack-mingranli,fall2016-goldironhack-yifeitai,fall2016-goldironhack-beichhor,fall2016-goldironhack-peng115,fall2016-goldironhack-aorme,fall2016-goldironhack-gillism,fall2016-goldironhack-zhan2709,fall2016-goldironhack-andrewjst,fall2016-goldironhack-bfellur,fall2016-goldironhack-marti763,fall2016-goldironhack-hutchin5,fall2016-goldironhack-gardne16,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-michaelredding,fall2016-goldironhack-vtung,fall2016-goldironhack-zhan1046,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-yunhan,fall2016-goldironhack-zhe1994,fall2016-goldironhack-ravengao,fall2016-goldironhack-yexin,fall2016-goldironhack-mingchucong,fall2016-goldironhack-corpsefact
fall2016-goldironhack-peng115,0.0,0.0,0.5389755011135857,0.01812004530011325,0.5687693898655636,0.07927519818799547,0.17607223476297967,0.0,0.0,0.23093922651933702,0.3040089086859688,0.027149321266968326,0.20659226576693485,0.0704386107940649,0.3624309392265193,0.4601571268237935,0.0,0.16741071428571427,0.06447963800904978,0.16838810641627544,0.0,0.0,0.0,0.0,0.3233333333333333,0.15410573678290213,0.1046119235095613,0.330635838150289,0.15914221218961624,0.08558558558558559,0.5590386624869383
fall2016-goldironhack-aorme,0.0,0.0,0.532596685082873,0.018018018018018018,0.5594262295081968,0.08004509582863585,0.17640449438202246,0.0,0.0,0.22967032967032966,0.3023255813953488,0.028153153153153154,0.20851726824201505,0.07093355075417855,0.36043956043956044,0.4575892857142857,0.0,0.16907675194660735,0.06292134831460675,0.16666666666666666,0.0,0.0,0.0,0.0,0.32420429311621024,0.15195530726256984,0.1040268456375839,0.3325626204238921,0.15824915824915825,0.08389261744966443,0.5642633228840125
fall2016-goldironhack-gillism,0.0,0.0,0.5349611542730299,0.01809954751131222,0.5617283950617284,0.08040770101925254,0.17720090293453725,0.0,0.0,0.22932745314222713,0.3022222222222222,0.02711864406779661,0.2077922077922078,0.07078202723640219,0.3620309050772627,0.45964125560538116,0.0,0.16852678571428573,0.06320541760722348,0.166875,0.0,0.0,0.0,0.0,0.3232136245834876,0.1526374859708193,0.10449438202247191,0.3315343099460293,0.1589627959413754,0.08426966292134831,0.5633507853403141
fall2016-goldironhack-zhan2709,0.0,0.0,0.5343680709534369,0.01807909604519774,0.5611510791366906,0.08031674208144797,0.17700112739571588,0.0,0.0,0.2290748898678414,0.3018867924528302,0.02708803611738149,0.20805194805194804,0.07086357335072983,0.36163175303197354,0.45912653975363943,0.0,0.16833890746934224,0.06313416009019165,0.1668228678537957,0.0,0.0,0.0,0.0,0.3235838578304332,0.15246636771300448,0.10437710437710437,0.33191981495759443,0.15878378378378377,0.08417508417508418,0.5627615062761506
fall2016-goldironhack-andrewjst,0.0,0.0,0.2003331945022907,0.007136859781696054,0.2492753623188406,0.028942953020134228,0.06493506493506493,0.0,0.0,0.08690228690228691,0.11384487072560467,0.009643605870020965,0.42635119461841803,0.18031464300121017,0.14017521902377972,0.17147636971978253,0.0,0.0621610346266166,0.02305113160100587,0.4212384573601304,0.0,0.0,0.0,0.0,0.8104925053533191,0.056461731493099125,0.03892842193386354,0.7287958115183246,0.05909471919530595,0.031825795644891124,0.22824302134646962
fall2016-goldironhack-bfellur,0.0,0.0,0.4948875255623722,0.016614745586708203,0.523854961832061,0.07380457380457381,0.16269430051813472,0.0,0.0,0.21095334685598377,0.2804503582395087,0.024896265560165973,0.22703684483653347,0.07696070438610794,0.33434959349593496,0.42224510813594235,0.0,0.15724563206577596,0.05912863070539419,0.16498625114573787,0.0,0.0,0.0,0.0,0.3514613392526822,0.1402061855670103,0.09597523219814241,0.3598922247882987,0.14596273291925466,0.07739938080495357,0.5276967930029155
fall2016-goldironhack-marti763,0.0,0.0,0.5349611542730299,0.01809954751131222,0.5617283950617284,0.08040770101925254,0.17720090293453725,0.0,0.0,0.22932745314222713,0.3022222222222222,0.02711864406779661,0.2077922077922078,0.07078202723640219,0.3620309050772627,0.45964125560538116,0.0,0.16852678571428573,0.06320541760722348,0.166875,0.0,0.0,0.0,0.0,0.3232136245834876,0.1526374859708193,0.10449438202247191,0.3315343099460293,0.1589627959413754,0.08426966292134831,0.5633507853403141
fall2016-goldironhack-hutchin5,0.0,0.0,0.5349611542730299,0.01809954751131222,0.5617283950617284,0.08040770101925254,0.17720090293453725,0.0,0.0,0.22932745314222713,0.3022222222222222,0.02711864406779661,0.2077922077922078,0.07078202723640219,0.3620309050772627,0.45964125560538116,0.0,0.16852678571428573,0.06320541760722348,0.166875,0.0,0.0,0.0,0.0,0.3232136245834876,0.1526374859708193,0.10449438202247191,0.3315343099460293,0.1589627959413754,0.08426966292134831,0.5633507853403141
fall2016-goldironhack-gardne16,0.0,0.0,0.532150776053215,0.01812004530011325,0.5639175257731959,0.0768361581920904,0.17342342342342343,0.0,0.0,0.22958057395143489,0.30837988826815643,0.028312570781426953,0.206279190451479,0.0704386107940649,0.3654485049833887,0.4601571268237935,0.0,0.16610925306577481,0.06447963800904978,0.16838810641627544,0.0,0.0,0.0,0.0,0.3208872458410351,0.15280898876404495,0.1046119235095613,0.3275663206459054,0.16045197740112993,0.08558558558558559,0.562303664921466
fall2016-goldironhack-wenjiewu,0.0,0.0,0.5067778936392076,0.016913319238900635,0.5475024485798237,0.07399577167019028,0.1643835616438356,0.0,0.0,0.21465428276573786,0.28274428274428276,0.025343189017951427,0.2210417206530189,0.07531176134974325,0.3416149068322981,0.429769392033543,0.0,0.15641293013555788,0.06019007391763464,0.17016029593094945,0.0,0.0,0.0,0.0,0.3456698741672835,0.14270724029380902,0.0976890756302521,0.3543913713405239,0.14857744994731295,0.07878151260504201,0.5230166503428012
fall2016-goldironhack-michaelredding,0.0,0.0,0.5638297872340425,0.019417475728155338,0.5830618892508144,0.08101571946795647,0.18433734939759036,0.0,0.0,0.24410377358490565,0.3190984578884935,0.02784503631961259,0.19282744282744282,0.06615008156606851,0.3860684769775679,0.49278846153846156,0.0,0.175,0.06393244873341375,0.1674610740387671,0.0,0.0,0.0,0.0,0.30148148148148146,0.15947242206235013,0.11204819277108434,0.3089086000771307,0.16908212560386474,0.09036144578313253,0.5922222222222222
