,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,tech-phase5,total-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
20,adriel62,3,80,66.67,67.5,87.5,301.67,87.5,40,33.33,50,210.83,75,20,33.33,62.5,190.83,87.5,20,33.33,62.5,203.33,25,20,33.33,25,103.33
21,capinzor,3,20,25,58.33,100,203.33,87.5,20,25,62.5,195.0,100,20,25,62.5,207.5,75,20,25,0,120.0,25,20,25,37.5,107.5
22,ofnanezn,3,40,58.33,25,75,198.33,50,20,33.33,25,128.33,50,40,33.33,25,148.33,50,20,37.5,25,132.5,12.5,0,0,0,12.5
23,macuestap,3,40,50,25,62.5,177.5,62.5,20,41.67,25,149.17,62.5,20,37.5,25,145.0,62.5,20,37.5,25,145.0,100,0,25,43.75,168.75
24,spenas,3,20,33.33,0,62.5,115.83,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,62.5,20,33.33,0,115.83,50,20,58.33,0,128.33
25,kgbayala528,3,80,50,81.25,87.5,298.75,62.5,60,45.83,75,243.33,62.5,60,54.17,75,251.67,50,40,33.33,0,123.33,50,20,37.5,0,107.5
26,lgmoralesa,3,100,70.83,87.5,87.5,345.83,87.5,100,66.67,83.33,337.5,87.5,60,75,87.5,310.0,87.5,60,58.33,62.5,268.33,62.5,20,29.17,25,136.67
27,ronaldsg20,3,20,45.83,12.5,100,178.33,100,20,33.33,12.5,165.83,87.5,20,25,25,157.5,87.5,20,29.17,25,161.67,87.5,20,29.17,45.83,182.5
28,cccristanchoc,3,20,33.33,56.25,87.5,197.08,62.5,20,33.33,0,115.83,50,20,33.33,0,103.33,50,20,33.33,0,103.33,25,20,29.17,0,74.17
29,jmalvarezd,3,80,75,93.75,100,348.75,87.5,60,70.83,0,218.33,87.5,100,87.5,0,275.0,87.5,40,45.83,25,198.33,62.5,100,79.17,87.5,329.17
30,smarquezo,3,20,33.33,57.5,75,185.83,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,62.5,20,29.17,0,111.67,50,20,29.17,0,99.17
31,sarizag,3,20,33.33,56.25,100,209.58,75,20,33.33,62.5,190.83,75,20,33.33,0,128.33,87.5,20,33.33,0,140.83,50,20,25,12.5,107.5
