,Group,variable,value
282,2.0,infovis-phase5,79.17
283,2.0,infovis-phase5,45.83
284,2.0,infovis-phase5,33.33
285,2.0,infovis-phase5,25.0
286,2.0,infovis-phase5,87.5
287,2.0,infovis-phase5,0.0
288,2.0,infovis-phase5,0.0
289,2.0,infovis-phase5,0.0
290,2.0,infovis-phase5,0.0
291,3.0,infovis-phase5,54.17
292,3.0,infovis-phase5,75.0
293,3.0,infovis-phase5,37.5
294,3.0,infovis-phase5,37.5
295,3.0,infovis-phase5,25.0
296,3.0,infovis-phase5,83.33
297,3.0,infovis-phase5,33.33
298,3.0,infovis-phase5,25.0
299,3.0,infovis-phase5,75.0
300,3.0,infovis-phase5,45.83
301,3.0,infovis-phase5,62.5
302,3.0,infovis-phase5,25.0
303,3.0,infovis-phase5,50.0
304,3.0,infovis-phase5,83.33
305,3.0,infovis-phase5,50.0
306,3.0,infovis-phase5,29.17
307,3.0,infovis-phase5,37.5
308,3.0,infovis-phase5,75.0
309,3.0,infovis-phase5,62.5
310,3.0,infovis-phase5,45.83
311,3.0,infovis-phase5,66.67
312,3.0,infovis-phase5,25.0
313,3.0,infovis-phase5,58.33
314,3.0,infovis-phase5,50.0
315,3.0,infovis-phase5,33.33
316,3.0,infovis-phase5,50.0
317,3.0,infovis-phase5,70.83
318,3.0,infovis-phase5,45.83
319,3.0,infovis-phase5,33.33
320,3.0,infovis-phase5,75.0
321,3.0,infovis-phase5,33.33
322,3.0,infovis-phase5,33.33
323,3.0,infovis-phase5,25.0
324,3.0,infovis-phase5,70.83
325,3.0,infovis-phase5,45.83
326,3.0,infovis-phase5,54.17
327,3.0,infovis-phase5,83.33
328,3.0,infovis-phase5,62.5
329,3.0,infovis-phase5,0.0
330,3.0,infovis-phase5,0.0
331,3.0,infovis-phase5,0.0
332,0.0,infovis-phase5,0.0
333,0.0,infovis-phase5,0.0
334,0.0,infovis-phase5,0.0
335,0.0,infovis-phase5,0.0
336,0.0,novelty-phase5,50.0
337,0.0,novelty-phase5,67.5
338,0.0,novelty-phase5,25.0
339,0.0,novelty-phase5,16.67
340,0.0,novelty-phase5,87.5
341,0.0,novelty-phase5,50.0
342,0.0,novelty-phase5,0.0
343,0.0,novelty-phase5,60.0
344,0.0,novelty-phase5,66.67
345,0.0,novelty-phase5,68.75
346,0.0,novelty-phase5,62.5
347,0.0,novelty-phase5,52.5
348,0.0,novelty-phase5,66.67
349,0.0,novelty-phase5,0.0
350,0.0,novelty-phase5,25.0
351,0.0,novelty-phase5,75.0
352,0.0,novelty-phase5,25.0
353,0.0,novelty-phase5,25.0
354,0.0,novelty-phase5,75.0
355,0.0,novelty-phase5,0.0
356,0.0,novelty-phase5,87.5
357,0.0,novelty-phase5,0.0
358,0.0,novelty-phase5,25.0
359,0.0,novelty-phase5,75.0
360,0.0,novelty-phase5,37.5
361,0.0,novelty-phase5,25.0
362,0.0,novelty-phase5,62.5
363,0.0,novelty-phase5,75.0
364,0.0,novelty-phase5,0.0
365,0.0,novelty-phase5,106.25
366,0.0,novelty-phase5,75.0
367,0.0,novelty-phase5,58.33
368,0.0,novelty-phase5,0.0
369,0.0,novelty-phase5,0.0
370,0.0,novelty-phase5,0.0
371,0.0,novelty-phase5,0.0
372,0.0,novelty-phase5,0.0
373,0.0,novelty-phase5,0.0
374,0.0,novelty-phase5,0.0
375,1.0,novelty-phase5,25.0
376,1.0,novelty-phase5,0.0
377,1.0,novelty-phase5,62.5
378,1.0,novelty-phase5,0.0
379,1.0,novelty-phase5,25.0
380,1.0,novelty-phase5,0.0
381,1.0,novelty-phase5,25.0
382,1.0,novelty-phase5,62.5
383,1.0,novelty-phase5,100.0
384,1.0,novelty-phase5,0.0
385,1.0,novelty-phase5,82.5
386,1.0,novelty-phase5,87.5
387,1.0,novelty-phase5,62.5
388,1.0,novelty-phase5,77.5
389,1.0,novelty-phase5,82.5
390,1.0,novelty-phase5,82.5
391,1.0,novelty-phase5,70.0
392,1.0,novelty-phase5,50.0
393,1.0,novelty-phase5,91.67
394,1.0,novelty-phase5,56.25
395,1.0,novelty-phase5,85.0
396,1.0,novelty-phase5,87.5
397,1.0,novelty-phase5,25.0
398,1.0,novelty-phase5,0.0
399,1.0,novelty-phase5,50.0
400,1.0,novelty-phase5,0.0
401,1.0,novelty-phase5,75.0
402,1.0,novelty-phase5,87.5
403,1.0,novelty-phase5,75.0
404,1.0,novelty-phase5,25.0
405,1.0,novelty-phase5,52.5
406,1.0,novelty-phase5,62.5
407,1.0,novelty-phase5,0.0
408,1.0,novelty-phase5,66.67
409,1.0,novelty-phase5,72.5
410,1.0,novelty-phase5,95.0
411,1.0,novelty-phase5,81.25
412,1.0,novelty-phase5,25.0
413,1.0,novelty-phase5,0.0
414,1.0,novelty-phase5,0.0
415,1.0,novelty-phase5,0.0
416,1.0,novelty-phase5,0.0
417,2.0,novelty-phase5,0.0
418,2.0,novelty-phase5,0.0
419,2.0,novelty-phase5,25.0
420,2.0,novelty-phase5,25.0
421,2.0,novelty-phase5,80.0
422,2.0,novelty-phase5,87.5
423,2.0,novelty-phase5,75.0
424,2.0,novelty-phase5,25.0
425,2.0,novelty-phase5,25.0
426,2.0,novelty-phase5,0.0
427,2.0,novelty-phase5,62.5
428,2.0,novelty-phase5,25.0
429,2.0,novelty-phase5,66.67
430,2.0,novelty-phase5,87.5
431,2.0,novelty-phase5,60.0
432,2.0,novelty-phase5,25.0
433,2.0,novelty-phase5,65.0
434,2.0,novelty-phase5,84.38
435,2.0,novelty-phase5,72.5
436,2.0,novelty-phase5,0.0
437,2.0,novelty-phase5,62.5
438,2.0,novelty-phase5,62.5
439,2.0,novelty-phase5,100.0
440,2.0,novelty-phase5,37.5
441,2.0,novelty-phase5,25.0
442,2.0,novelty-phase5,75.0
443,2.0,novelty-phase5,25.0
444,2.0,novelty-phase5,0.0
445,2.0,novelty-phase5,75.0
446,2.0,novelty-phase5,0.0
447,2.0,novelty-phase5,62.5
448,2.0,novelty-phase5,75.0
449,2.0,novelty-phase5,65.63
450,2.0,novelty-phase5,100.0
451,2.0,novelty-phase5,25.0
452,2.0,novelty-phase5,33.33
453,2.0,novelty-phase5,12.5
454,2.0,novelty-phase5,70.0
455,2.0,novelty-phase5,0.0
456,2.0,novelty-phase5,0.0
457,2.0,novelty-phase5,0.0
458,2.0,novelty-phase5,0.0
459,3.0,novelty-phase5,87.5
460,3.0,novelty-phase5,92.5
461,3.0,novelty-phase5,15.0
462,3.0,novelty-phase5,56.25
463,3.0,novelty-phase5,25.0
464,3.0,novelty-phase5,95.0
465,3.0,novelty-phase5,0.0
466,3.0,novelty-phase5,0.0
467,3.0,novelty-phase5,72.5
468,3.0,novelty-phase5,56.25
469,3.0,novelty-phase5,25.0
470,3.0,novelty-phase5,25.0
471,3.0,novelty-phase5,60.0
472,3.0,novelty-phase5,100.0
