,juligarji,lemartinp,nfmorenog,AFelipeGA,bottom3,top1,srmedinac,bottom2,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,top4,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,top3,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,Chranium,DavidQP,afceballosr,bottom1,bottom4,top2
top3,0.03896103896103896,0.17142857142857143,0.09523809523809523,0.15384615384615385,0.005,0.04838709677419355,0.12162162162162163,0.0,0.1111111111111111,0.09523809523809523,0.1,0.0,0.0125,0.09090909090909091,0.10344827586206896,0.17857142857142858,0.07142857142857142,0.0375,0.06,0.08064516129032258,0.08196721311475409,0.5862068965517241,0.10810810810810811,0.16666666666666666,0.5,0.042735042735042736,0.0,0.08620689655172414,0.02040816326530612,0.171875,0.046511627906976744,0.07017543859649122,0.06666666666666667,0.13793103448275862,0.1864406779661017,0.06818181818181818,0.125,0.2459016393442623
ronaldsg20,0.047619047619047616,0.12903225806451613,0.10526315789473684,0.09090909090909091,0.015625,0.07272727272727272,0.06944444444444445,0.0,0.09090909090909091,0.10526315789473684,0.08,0.0,0.041666666666666664,0.125,0.13043478260869565,0.17391304347826086,0.08333333333333333,0.06944444444444445,0.07526881720430108,0.07017543859649122,0.07142857142857142,0.08108108108108109,0.16666666666666666,0.16129032258064516,0.10526315789473684,0.03571428571428571,0.08620689655172414,0.0,0.038461538461538464,0.18181818181818182,0.1,0.26666666666666666,0.08695652173913043,0.05185185185185185,0.09302325581395349,0.09090909090909091,0.14285714285714285,0.08163265306122448
cccristanchoc,0.007142857142857143,0.047619047619047616,0.02040816326530612,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.02040816326530612,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.043478260869565216,0.0,0.0,0.047619047619047616,0.045454545454545456,0.03571428571428571,0.00980392156862745,0.02040816326530612,0.038461538461538464,0.0,0.05128205128205128,0.0,0.0,0.0,0.015503875968992248,0.058823529411764705,0.0,0.07407407407407407,0.07692307692307693
jmalvarezd,0.05732484076433121,0.14634146341463414,0.19047619047619047,0.09090909090909091,0.0048543689320388345,0.09230769230769231,0.05952380952380952,0.0,0.09090909090909091,0.11940298507462686,0.08333333333333333,0.0,0.07407407407407407,0.11864406779661017,0.08571428571428572,0.11428571428571428,0.13333333333333333,0.15584415584415584,0.23076923076923078,0.19672131147540983,0.125,0.08333333333333333,0.3055555555555556,0.14285714285714285,0.08,0.04918032786885246,0.171875,0.18181818181818182,0.05128205128205128,0.0,0.038461538461538464,0.06060606060606061,0.05555555555555555,0.17567567567567569,0.234375,0.05660377358490566,0.1076923076923077,0.26865671641791045
smarquezo,0.014925373134328358,0.13333333333333333,0.046511627906976744,0.5,0.0,0.05128205128205128,0.03508771929824561,0.0,0.5,0.046511627906976744,0.2857142857142857,0.0,0.0,0.058823529411764705,0.3333333333333333,0.2857142857142857,0.10526315789473684,0.03508771929824561,0.025,0.04878048780487805,0.05,0.1,0.13333333333333333,0.125,0.09090909090909091,0.020833333333333332,0.046511627906976744,0.1,0.0,0.038461538461538464,0.0,0.1,0.2857142857142857,0.016129032258064516,0.03333333333333333,0.3333333333333333,0.09090909090909091,0.05714285714285714
sarizag,0.02702702702702703,0.1,0.07017543859649122,0.15789473684210525,0.005208333333333333,0.09615384615384616,0.041666666666666664,0.0,0.15789473684210525,0.10909090909090909,0.13636363636363635,0.0,0.028169014084507043,0.10638297872340426,0.09090909090909091,0.13636363636363635,0.12121212121212122,0.10294117647058823,0.053763440860215055,0.07272727272727272,0.09433962264150944,0.11764705882352941,0.1,0.25925925925925924,0.05263157894736842,0.03636363636363636,0.07017543859649122,0.26666666666666666,0.0,0.06060606060606061,0.1,0.0,0.13333333333333333,0.09420289855072464,0.16666666666666666,0.1,0.16666666666666666,0.16981132075471697
Chranium,0.022058823529411766,0.17647058823529413,0.06666666666666667,0.5,0.00558659217877095,0.1,0.05084745762711865,0.0,0.5,0.06666666666666667,0.3333333333333333,0.0,0.01694915254237288,0.11428571428571428,0.2222222222222222,0.3333333333333333,0.14285714285714285,0.05084745762711865,0.036585365853658534,0.06976744186046512,0.07142857142857142,0.13636363636363635,0.17647058823529413,0.23529411764705882,0.08,0.030612244897959183,0.06666666666666667,0.08695652173913043,0.0,0.05555555555555555,0.2857142857142857,0.13333333333333333,0.0,0.024193548387096774,0.06666666666666667,0.5,0.13636363636363635,0.08571428571428572
DavidQP,0.03643724696356275,0.07874015748031496,0.12244897959183673,0.03278688524590164,0.013651877133105802,0.1258741258741259,0.05917159763313609,0.0,0.024390243902439025,0.1956521739130435,0.023809523809523808,0.0,0.023121387283236993,0.0684931506849315,0.024,0.04878048780487805,0.1015625,0.3161764705882353,0.14124293785310735,0.29365079365079366,0.2558139534883721,0.04411764705882353,0.03787878787878788,0.078125,0.02857142857142857,0.12953367875647667,0.13793103448275862,0.05185185185185185,0.015503875968992248,0.17567567567567569,0.016129032258064516,0.09420289855072464,0.024193548387096774,0.0,0.05263157894736842,0.21428571428571427,0.13793103448275862,0.21052631578947367
afceballosr,0.03205128205128205,0.2,0.20689655172413793,0.06896551724137931,0.004975124378109453,0.2692307692307692,0.06329113924050633,0.0,0.03333333333333333,0.2727272727272727,0.030303030303030304,0.0,0.0,0.10909090909090909,0.06451612903225806,0.13333333333333333,0.21052631578947367,0.16666666666666666,0.16304347826086957,0.19298245614035087,0.19642857142857142,0.09302325581395349,0.05,0.22857142857142856,0.06521739130434782,0.11818181818181818,0.1864406779661017,0.09302325581395349,0.058823529411764705,0.234375,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.05263157894736842,0.0,0.023255813953488372,0.07142857142857142,0.2807017543859649
bottom1,0.022222222222222223,0.11764705882352941,0.06818181818181818,0.6,0.0,0.075,0.05172413793103448,0.0,0.6,0.06818181818181818,0.375,0.0,0.017241379310344827,0.08571428571428572,0.25,0.375,0.15,0.05172413793103448,0.037037037037037035,0.07142857142857142,0.07317073170731707,0.14285714285714285,0.1875,0.17647058823529413,0.08333333333333333,0.030927835051546393,0.06818181818181818,0.09090909090909091,0.0,0.05660377358490566,0.3333333333333333,0.1,0.5,0.21428571428571427,0.023255813953488372,0.0,0.14285714285714285,0.08823529411764706
bottom4,0.047619047619047616,0.16666666666666666,0.125,0.2,0.0,0.07272727272727272,0.1,0.0,0.14285714285714285,0.10526315789473684,0.125,0.0,0.0273972602739726,0.14893617021276595,0.13043478260869565,0.22727272727272727,0.11428571428571428,0.0547945205479452,0.07526881720430108,0.10909090909090909,0.1111111111111111,0.14285714285714285,0.12903225806451613,0.2,0.10526315789473684,0.05454545454545454,0.125,0.14285714285714285,0.07407407407407407,0.1076923076923077,0.09090909090909091,0.16666666666666666,0.13636363636363635,0.13793103448275862,0.07142857142857142,0.14285714285714285,0.0,0.10416666666666667
top2,0.037267080745341616,0.23076923076923078,0.2459016393442623,0.12121212121212122,0.004830917874396135,0.3333333333333333,0.08433734939759036,0.0,0.08823529411764706,0.35714285714285715,0.08108108108108109,0.0,0.047619047619047616,0.13559322033898305,0.05405405405405406,0.14285714285714285,0.3333333333333333,0.2328767123287671,0.17708333333333334,0.2982456140350877,0.25862068965517243,0.10416666666666667,0.14285714285714285,0.1951219512195122,0.057692307692307696,0.15178571428571427,0.2459016393442623,0.08163265306122448,0.07692307692307693,0.26865671641791045,0.05714285714285714,0.16981132075471697,0.08571428571428572,0.21052631578947367,0.2807017543859649,0.08823529411764706,0.10416666666666667,0.0
