,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,top2,djguzmanc,bottom5,oeroaq,gcantem,Semoralesga,top3,top1,stevenbustos,jufcontrerasco,top4,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,top5,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,daandradec,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
oeroaq,0.019867549668874173,0.10416666666666667,0.0935672514619883,0.0,0.019736842105263157,0.06334841628959276,0.0,0.015019379844961241,0.11666666666666667,0.04918032786885246,0.0,0.04955527318932656,0.02074688796680498,0.028277634961439587,0.016973125884016973,0.005594405594405594,0.006934812760055479,0.014945652173913044,0.02452316076294278,0.024203821656050957,0.02676659528907923,0.0,0.0,0.02680965147453083,0.015027322404371584,0.029871977240398292,0.058530510585305104,0.02074688796680498,0.056303549571603426,0.015277777777777777,0.004207573632538569,0.0,0.01829924650161464,0.025885558583106268,0.032663316582914576,0.06012024048096192,0.05422446406052964,0.0,0.0,0.020804438280166437
gcantem,0.02654867256637168,0.4262295081967213,0.28448275862068967,0.0,0.02631578947368421,0.06486486486486487,0.07017543859649122,0.013799901429275506,0.16428571428571428,0.07692307692307693,0.04955527318932656,0.0,0.14049586776859505,0.12359550561797752,0.01114112086428089,0.034782608695652174,0.03278688524590164,0.05755395683453238,0.15151515151515152,0.07368421052631578,0.04664723032069971,0.0,0.0,0.26717557251908397,0.07518796992481203,0.016817593790426907,0.8115942028985508,0.14049586776859505,0.7189542483660131,0.10084033613445378,0.02654867256637168,0.0,0.03592814371257485,0.17692307692307693,0.11557788944723618,0.30857142857142855,0.84375,0.0,0.0,0.13333333333333333
Semoralesga,0.12,0.2112676056338028,0.2978723404255319,0.0,0.11538461538461539,0.04807692307692308,0.0,0.003056546102903719,0.29310344827586204,0.11864406779661017,0.02074688796680498,0.14049586776859505,0.0,0.010706638115631691,0.7666209732693626,0.0017582417582417582,0.0021920210434020165,0.0039164490861618795,0.009166302924487123,0.007243289305496378,0.00921474358974359,0.0,0.0,0.008673026886383347,0.003923278116826504,0.021346469622331693,0.02335456475583864,0.007452871547566856,0.022794428028704093,0.004384042086804033,0.0013198416190057193,0.0,0.013754045307443365,0.00872219799389446,0.013185878349638452,0.030303030303030304,0.02218430034129693,0.0,0.0,0.007459412022817025
top3,0.034482758620689655,0.1746031746031746,0.11818181818181818,0.0,0.03409090909090909,0.06875,0.03225806451612903,0.012462612163509471,0.12295081967213115,0.0847457627118644,0.028277634961439587,0.12359550561797752,0.010706638115631691,0.0,0.007450050795800881,0.03125,0.0392156862745098,0.07627118644067797,0.15789473684210525,0.07602339181286549,0.0694006309148265,0.0,0.0,0.14960629921259844,0.11818181818181818,0.017704918032786884,0.12745098039215685,0.14563106796116504,0.11467889908256881,0.09900990099009901,0.03225806451612903,0.0,0.03492063492063492,0.17699115044247787,0.12849162011173185,0.09774436090225563,0.13089005235602094,0.0,0.0,0.1485148514851485
top1,0.0,0.004436860068259386,0.0017164435290078957,0.0,0.0,0.005423728813559322,0.0013855213023900243,0.023107907568369727,0.0017082336863682953,0.0010273972602739725,0.016973125884016973,0.01114112086428089,0.7666209732693626,0.007450050795800881,0.0,0.0,0.0003397893306150187,0.0016891891891891893,0.0020242914979757085,0.004988360492184902,0.009853782581055308,0.0,0.0,0.002688172043010753,0.003048780487804878,0.03003284842796809,0.013210039630118891,0.0013550135501355014,0.013153567905294311,0.0006786562606040041,0.0,0.0,0.009572431397574984,0.0023616734143049934,0.006622516556291391,0.021515434985968196,0.012935323383084577,0.0,0.0,0.0023752969121140144
stevenbustos,0.2857142857142857,0.06349206349206349,0.07692307692307693,0.0,0.25,0.034482758620689655,0.0,0.0015408320493066256,0.07692307692307693,0.06818181818181818,0.005594405594405594,0.034782608695652174,0.0017582417582417582,0.03125,0.0,0.0,0.1875,0.14285714285714285,0.07142857142857142,0.021052631578947368,0.012048192771084338,0.0,0.0,0.07272727272727272,0.058823529411764705,0.002051983584131327,0.02142857142857143,0.10714285714285714,0.0196078431372549,0.09090909090909091,0.2857142857142857,0.0,0.008438818565400843,0.09523809523809523,0.036036036036036036,0.014450867052023121,0.023809523809523808,0.0,0.0,0.07407407407407407
jufcontrerasco,0.23076923076923078,0.07246376811594203,0.08888888888888889,0.0,0.21428571428571427,0.043010752688172046,0.0,0.0030753459764223477,0.06779661016949153,0.08,0.006934812760055479,0.03278688524590164,0.0021920210434020165,0.0392156862745098,0.0003397893306150187,0.1875,0.0,0.09302325581395349,0.08333333333333333,0.04,0.01968503937007874,0.0,0.0,0.06451612903225806,0.075,0.0034083162917518746,0.0273972602739726,0.11764705882352941,0.025157232704402517,0.06896551724137931,0.23076923076923078,0.0,0.012345679012345678,0.08163265306122448,0.03389830508474576,0.014164305949008499,0.030303030303030304,0.0,0.0,0.09090909090909091
top4,0.08823529411764706,0.10465116279069768,0.1111111111111111,0.0,0.08571428571428572,0.08256880733944955,0.023809523809523808,0.00508130081300813,0.10526315789473684,0.08695652173913043,0.014945652173913044,0.05755395683453238,0.0039164490861618795,0.07627118644067797,0.0016891891891891893,0.14285714285714285,0.09302325581395349,0.0,0.08333333333333333,0.08333333333333333,0.024054982817869417,0.0,0.0,0.08247422680412371,0.09333333333333334,0.009352037408149633,0.07386363636363637,0.08450704225352113,0.07446808510638298,0.029411764705882353,0.057692307692307696,0.0,0.03636363636363636,0.12195121951219512,0.08053691275167785,0.04199475065616798,0.0736196319018405,0.0,0.0,0.10294117647058823
wolfstain,0.07692307692307693,0.2987012987012987,0.22950819672131148,0.0,0.075,0.08849557522123894,0.06666666666666667,0.005578093306288032,0.2361111111111111,0.17647058823529413,0.02452316076294278,0.15151515151515152,0.009166302924487123,0.15789473684210525,0.0020242914979757085,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.0,0.1056338028169014,0.049217002237136466,0.0,0.0,0.078125,0.045454545454545456,0.026235509456985967,0.08108108108108109,0.06896551724137931,0.10355029585798817,0.05701754385964912,0.013452914798206279,0.0,0.03167420814479638,0.08677685950413223,0.08852459016393442,0.0696798493408663,0.0880503144654088,0.0,0.0,0.0603448275862069
miaborjaac,0.03296703296703297,0.07801418439716312,0.032520325203252036,0.0,0.03260869565217391,0.08695652173913043,0.06382978723404255,0.008924144769459593,0.07633587786259542,0.08196721311475409,0.024203821656050957,0.07368421052631578,0.007243289305496378,0.07602339181286549,0.004988360492184902,0.021052631578947368,0.04,0.08333333333333333,0.1056338028169014,0.0,0.09090909090909091,0.0,0.0,0.05442176870748299,0.1,0.014294996751137101,0.08636363636363636,0.058333333333333334,0.09090909090909091,0.034482758620689655,0.029411764705882353,0.0,0.050156739811912224,0.09230769230769231,0.10471204188481675,0.05176470588235294,0.07142857142857142,0.0,0.0,0.08695652173913043
