,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
114,wilson911013,3,0.8888888888888890,3,239.17000000000000,wilson911013,0.0,1.0,2.0,1.0
115,jumcorredorro,3,0.8932038834951460,3,0.0,jumcorredorro,1.0,1.0,5.0,2.0
116,dagofonseca,3,0.9125874125874130,3,102.5,dagofonseca,0.0,0.0,2.0,2.0
117,jscastelblancoh,3,0.9136363636363640,3,99.17000000000000,jscastelblancoh,0.0,0.0,3.0,2.0
118,jorge52an,3,0.9559228650137740,3,167.5,jorge52an,4.0,4.0,5.0,2.0
119,capinzor,3,0.9699194694457600,3,122.5,capinzor,0.0,0.0,2.0,2.0
120,adriel62,3,0.9768904690277590,3,139.17,adriel62,1.0,3.0,5.0,2.0
121,mballeng91,3,0.9814814814814820,3,230.0,mballeng91,2.0,6.0,6.0,2.0
122,juligarji,3,0.9884933477166490,3,126.67000000000000,juligarji,4.0,4.0,5.0,3.0
126,wapiravaguens,4,0.4,3,140.83000000000000,wapiravaguens,0.0,1.0,4.0,2.0
127,AFelipeGA,4,0.4,3,205.83000000000000,AFelipeGA,4.0,3.0,5.0,2.0
128,afforeroc,4,0.4285714285714290,3,259.16000000000000,afforeroc,1.0,4.0,3.0,2.0
129,Chranium,4,0.5,3,263.33,Chranium,4.0,5.0,6.0,2.0
130,smarquezo,4,0.5,3,246.66000000000000,smarquezo,0.0,0.0,2.0,0.0
131,lizzyt10h,4,0.5,3,212.50000000000000,lizzyt10h,2.0,1.0,5.0,2.0
132,jdmonroyg,4,0.6,3,358.33,jdmonroyg,0.0,1.0,4.0,1.0
133,DianaNavarrete,4,0.625,3,242.5,DianaNavarrete,0.0,1.0,5.0,2.0
134,dagofonseca,4,0.6500711237553340,3,93.33000000000000,dagofonseca,0.0,0.0,2.0,2.0
135,macuestap,4,0.6666666666666670,3,209.16,macuestap,0.0,1.0,4.0,1.0
136,jmalvarezd,4,0.75,3,140.00000000000000,jmalvarezd,3.0,3.0,5.0,2.0
137,nfmorenog,4,0.7529411764705880,3,237.5,nfmorenog,0.0,2.0,3.0,1.0
138,sarizag,4,0.7608695652173910,3,167.50000000000000,sarizag,4.0,3.0,6.0,2.0
