,top4,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,top2,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,top3,janoguerab,lfvalderrama,top1,gabi04,annipi,bottom2,jcneivaa,fmbernalb,bottom4,bottom3,bottom1
hsmartineza,0.01078981441519206,0.046357615894039736,0.043859649122807015,0.057971014492753624,0.45454545454545453,0.008005569091541943,0.0,0.1111111111111111,0.08130081300813008,0.2967032967032967,0.0,0.06015037593984962,0.028037383177570093,0.0,0.2727272727272727,0.046875,0.056338028169014086,0.08,0.04477611940298507,0.205607476635514,0.18181818181818182,0.14705882352941177,0.22580645161290322,0.25471698113207547,0.03260869565217391,0.09195402298850575,0.2028985507246377,0.042105263157894736,0.22,0.13986013986013987,0.07079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moimolcp,0.012398460880718255,0.10843373493975904,0.050724637681159424,0.05319148936170213,0.04950495049504951,0.005159958720330237,0.0,0.125,0.11971830985915492,0.058823529411764705,0.06015037593984962,0.0,0.032520325203252036,0.0,0.075,0.037037037037037035,0.08235294117647059,0.07692307692307693,0.03571428571428571,0.11450381679389313,0.06930693069306931,0.05555555555555555,0.08333333333333333,0.1111111111111111,0.04672897196261682,0.06666666666666667,0.08695652173913043,0.06422018348623854,0.06923076923076923,0.07784431137724551,0.05343511450381679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CamiloRueda,0.002144082332761578,0.026845637583892617,0.02702702702702703,0.0625,0.041666666666666664,0.0020797227036395147,0.0,0.022099447513812154,0.024,0.02727272727272727,0.028037383177570093,0.032520325203252036,0.0,0.0,0.03225806451612903,0.0625,0.05357142857142857,0.04838709677419355,0.058823529411764705,0.03669724770642202,0.0273972602739726,0.05084745762711865,0.022556390977443608,0.02631578947368421,0.039473684210526314,0.039473684210526314,0.046875,0.0375,0.04950495049504951,0.027972027972027972,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juanescai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JoseMolano,0.008189655172413794,0.06896551724137931,0.05454545454545454,0.04477611940298507,0.4528301886792453,0.006961364427427776,0.0,0.1,0.1206896551724138,0.35294117647058826,0.2727272727272727,0.075,0.03225806451612903,0.0,0.0,0.06,0.08928571428571429,0.08064516129032258,0.05660377358490566,0.2777777777777778,0.3050847457627119,0.20754716981132076,0.40816326530612246,0.4691358024691358,0.05194805194805195,0.0945945945945946,0.3018867924528302,0.036585365853658534,0.18681318681318682,0.1732283464566929,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maikellPardoA,0.0013094718463553033,0.028037383177570093,0.04411764705882353,0.13636363636363635,0.10344827586206896,0.001054481546572935,0.0,0.02158273381294964,0.036585365853658534,0.04477611940298507,0.046875,0.037037037037037035,0.0625,0.0,0.06,0.0,0.23076923076923078,0.15789473684210525,0.375,0.04477611940298507,0.06666666666666667,0.1875,0.03333333333333333,0.04225352112676056,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.08108108108108109,0.05,0.0297029702970297,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NicolasZon,0.002613240418118467,0.04424778761061947,0.039473684210526314,0.1,0.1111111111111111,0.001402524544179523,0.0,0.056338028169014086,0.09411764705882353,0.08333333333333333,0.056338028169014086,0.08235294117647059,0.05357142857142857,0.0,0.08928571428571429,0.23076923076923078,0.0,0.1111111111111111,0.1875,0.09859154929577464,0.08108108108108109,0.125,0.09782608695652174,0.09333333333333334,0.07317073170731707,0.1282051282051282,0.10344827586206896,0.11627906976744186,0.05970149253731343,0.05660377358490566,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo654,0.004351610095735422,0.09734513274336283,0.04938271604938271,0.11428571428571428,0.12195121951219512,0.004210526315789474,0.0,0.05405405405405406,0.08791208791208792,0.06329113924050633,0.08,0.07692307692307693,0.04838709677419355,0.0,0.08064516129032258,0.15789473684210525,0.1111111111111111,0.0,0.08823529411764706,0.09090909090909091,0.13725490196078433,0.0975609756097561,0.08181818181818182,0.07526881720430108,0.05084745762711865,0.12727272727272726,0.13636363636363635,0.1,0.07228915662650602,0.0743801652892562,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CristianLozano,0.0013077593722755014,0.02727272727272727,0.04225352112676056,0.12,0.09375,0.001053370786516854,0.0,0.02112676056338028,0.03529411764705882,0.04285714285714286,0.04477611940298507,0.03571428571428571,0.058823529411764705,0.0,0.05660377358490566,0.375,0.1875,0.08823529411764706,0.0,0.04285714285714286,0.06060606060606061,0.15789473684210525,0.03225806451612903,0.04054054054054054,0.08333333333333333,0.08333333333333333,0.125,0.075,0.047619047619047616,0.028846153846153848,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top2,0.012027491408934709,0.04242424242424243,0.047244094488188976,0.06097560975609756,0.189873417721519,0.009365244536940686,0.0,0.12087912087912088,0.09701492537313433,0.2336448598130841,0.205607476635514,0.11450381679389313,0.03669724770642202,0.0,0.2777777777777778,0.04477611940298507,0.09859154929577464,0.09090909090909091,0.04285714285714286,0.0,0.189873417721519,0.14084507042253522,0.25,0.25925925925925924,0.0425531914893617,0.08888888888888889,0.2112676056338028,0.0625,0.16822429906542055,0.1527777777777778,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
