,bdvegat,jusherrerama,Phoenixest,HashNick,bottom3,top4,top5,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,top3,jhonsd1996,JuanitoAli,top2,cesarochoa2006,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,lsfinite,xdanielsb,bottom1,bottom4,bottom2
sagilm,0.06,0.125,0.42857142857142855,0.05128205128205128,0.0,0.14285714285714285,0.02097902097902098,0.05454545454545454,0.05454545454545454,0.0,0.0,0.003257328990228013,0.041916167664670656,0.13114754098360656,0.125,0.13043478260869565,0.002167316861725184,0.14285714285714285,0.26865671641791045,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.11538461538461539,0.10526315789473684,0.0,0.125,0.08108108108108109,0.08571428571428572,0.06976744186046512,0.2558139534883721,0.25,0.02320185614849188,0.1891891891891892,0.2857142857142857,0.20689655172413793,0.36585365853658536,0.001441515650741351,0.03,0.0,0.002199736031676199,0.13157894736842105
idrojasf,0.006259780907668232,0.004885993485342019,0.0,0.004484304932735426,0.0,0.0032679738562091504,0.009602194787379973,0.006211180124223602,0.004651162790697674,0.0,0.003257328990228013,0.0,0.04178272980501393,0.0031201248049922,0.00487012987012987,0.001669449081803005,0.016913319238900635,0.004846526655896607,0.009188361408882083,0.0,0.0,0.011111111111111112,0.001584786053882726,0.009202453987730062,0.0,0.003289473684210526,0.004909983633387889,0.006578947368421052,0.003236245954692557,0.003194888178913738,0.006349206349206349,0.03783231083844581,0.016897081413210446,0.010802469135802469,0.022590361445783132,0.008,0.019692423105776444,0.012987012987012988,0.0,0.017844396859386154,0.0
raulramirezp,0.05789473684210526,0.041666666666666664,0.025974025974025976,0.022222222222222223,0.0,0.04878048780487805,0.038869257950530034,0.05102040816326531,0.05102040816326531,0.0,0.041916167664670656,0.04178272980501393,0.0,0.05235602094240838,0.05357142857142857,0.01935483870967742,0.008666941807676434,0.04046242774566474,0.05853658536585366,0.0196078431372549,0.018867924528301886,0.06557377049180328,0.04395604395604396,0.05365853658536585,0.0,0.037037037037037035,0.03614457831325301,0.024096385542168676,0.047058823529411764,0.0449438202247191,0.054945054945054944,0.04181818181818182,0.057692307692307696,0.05970149253731343,0.06756756756756757,0.05027932960893855,0.00909090909090909,0.03363914373088685,0.0,0.007525083612040134,0.05421686746987952
top1,0.12941176470588237,0.09375,0.06,0.06837606837606838,0.0,0.09836065573770492,0.07386363636363637,0.08602150537634409,0.09782608695652174,0.0,0.13114754098360656,0.0031201248049922,0.05235602094240838,0.0,0.07142857142857142,0.03614457831325301,0.004659042778483694,0.1134020618556701,0.0661764705882353,0.037037037037037035,0.034482758620689655,0.07894736842105263,0.11320754716981132,0.08270676691729323,0.0,0.054945054945054944,0.07526881720430108,0.031578947368421054,0.04950495049504951,0.045871559633027525,0.05263157894736842,0.016227180527383367,0.04225352112676056,0.08461538461538462,0.057692307692307696,0.07407407407407407,0.003465144720750102,0.0390625,0.0,0.004727116458960034,0.10752688172043011
top3,0.16129032258064516,0.09523809523809523,0.11538461538461539,0.052083333333333336,0.0,0.22857142857142856,0.07142857142857142,0.1,0.1,0.0,0.125,0.00487012987012987,0.05357142857142857,0.07142857142857142,0.0,0.14285714285714285,0.0025951557093425604,0.14893617021276595,0.07058823529411765,0.1111111111111111,0.09090909090909091,0.15,0.10344827586206896,0.08433734939759036,0.0,0.2,0.15,0.15789473684210525,0.10638297872340426,0.1320754716981132,0.1,0.015909090909090907,0.06818181818181818,0.12987012987012986,0.07766990291262135,0.14814814814814814,0.001851851851851852,0.04433497536945813,0.0,0.0030742204655248135,0.13953488372093023
jhonsd1996,0.08163265306122448,0.125,0.42857142857142855,0.0379746835443038,0.0,0.2,0.028169014084507043,0.05454545454545454,0.05454545454545454,0.0,0.13043478260869565,0.001669449081803005,0.01935483870967742,0.03614457831325301,0.14285714285714285,0.0,0.0013083296990841692,0.14285714285714285,0.045454545454545456,0.6,0.2727272727272727,0.09302325581395349,0.07692307692307693,0.046153846153846156,0.0,0.25,0.14285714285714285,0.2222222222222222,0.1111111111111111,0.08571428571428572,0.047619047619047616,0.009501187648456057,0.043478260869565216,0.04838709677419355,0.03488372093023256,0.08108108108108109,0.0006193228736581337,0.016042780748663103,0.0,0.001771479185119575,0.125
JuanitoAli,0.005156854318865492,0.004342162396873643,0.0013083296990841692,0.0038151759220008477,0.0,0.004347826086956522,0.006206040546131568,0.006440532417346501,0.005577005577005577,0.0,0.002167316861725184,0.016913319238900635,0.008666941807676434,0.004659042778483694,0.0025951557093425604,0.0013083296990841692,0.0,0.0025630072618539087,0.006331785563528915,0.001293103448275862,0.0012897678417884782,0.0068201193520886615,0.0034057045551298426,0.005485232067510549,0.000427715996578272,0.002145922746781116,0.003001715265866209,0.0012853470437017994,0.006006006006006006,0.008140531276778063,0.002976190476190476,0.010697159719660641,0.012298558100084818,0.008047437526471834,0.006700167504187605,0.005121638924455826,0.025046514956347504,0.007642799678197908,0.0,0.9643776824034335,0.003427592116538132
top2,0.20967741935483872,0.1951219512195122,0.10344827586206896,0.11827956989247312,0.0,0.2777777777777778,0.10526315789473684,0.17647058823529413,0.1267605633802817,0.0,0.14285714285714285,0.004846526655896607,0.04046242774566474,0.1134020618556701,0.14893617021276595,0.14285714285714285,0.0025630072618539087,0.0,0.10638297872340426,0.075,0.06521739130434782,0.17142857142857143,0.14925373134328357,0.14444444444444443,0.0,0.1956521739130435,0.1346153846153846,0.07547169811320754,0.1016949152542373,0.15873015873015872,0.06756756756756757,0.01545253863134658,0.0594059405940594,0.16279069767441862,0.12727272727272726,0.20967741935483872,0.002875924404272802,0.041666666666666664,0.0,0.003933566433566434,0.12727272727272726
cesarochoa2006,0.08737864077669903,0.075,0.045454545454545456,0.08461538461538462,0.0,0.07792207792207792,0.17142857142857143,0.4625,0.40963855421686746,0.0,0.26865671641791045,0.009188361408882083,0.05853658536585366,0.0661764705882353,0.07058823529411765,0.045454545454545456,0.006331785563528915,0.10638297872340426,0.0,0.02727272727272727,0.02586206896551724,0.14285714285714285,0.09701492537313433,0.07453416149068323,0.0,0.059322033898305086,0.04032258064516129,0.032520325203252036,0.030534351145038167,0.1171875,0.12878787878787878,0.0412573673870334,0.14935064935064934,0.3492063492063492,0.2597402597402597,0.1693548387096774,0.006708680626143525,0.03508771929824561,0.0,0.009381663113006396,0.06451612903225806
jjmuesesq,0.0625,0.13636363636363635,0.6,0.03896103896103896,0.0,0.15789473684210525,0.02127659574468085,0.05660377358490566,0.05660377358490566,0.0,0.14285714285714285,0.0,0.0196078431372549,0.037037037037037035,0.1111111111111111,0.6,0.001293103448275862,0.075,0.02727272727272727,0.0,0.3333333333333333,0.07142857142857142,0.08108108108108109,0.047619047619047616,0.0,0.2,0.15789473684210525,0.17647058823529413,0.12,0.09090909090909091,0.05,0.007142857142857143,0.04477611940298507,0.05,0.03571428571428571,0.08571428571428572,0.0006195786864931846,0.016216216216216217,0.0,0.001329198050509526,0.13636363636363635
jucjimenezmo,0.05555555555555555,0.10714285714285714,0.2727272727272727,0.03614457831325301,0.0,0.12,0.02040816326530612,0.05084745762711865,0.05084745762711865,0.0,0.1111111111111111,0.0,0.018867924528301886,0.034482758620689655,0.09090909090909091,0.2727272727272727,0.0012897678417884782,0.06521739130434782,0.02586206896551724,0.3333333333333333,0.0,0.0625,0.06976744186046512,0.043478260869565216,0.0,0.14285714285714285,0.12,0.13043478260869565,0.0967741935483871,0.07692307692307693,0.043478260869565216,0.007042253521126761,0.0410958904109589,0.045454545454545456,0.03333333333333333,0.07317073170731707,0.0006188118811881188,0.015706806282722512,0.0,0.0013256738842244808,0.10714285714285714
kancas,0.125,0.12280701754385964,0.06818181818181818,0.11214953271028037,0.0,0.17307692307692307,0.08928571428571429,0.28378378378378377,0.25,0.0,0.2857142857142857,0.011111111111111112,0.06557377049180328,0.07894736842105263,0.15,0.09302325581395349,0.0068201193520886615,0.17142857142857143,0.14285714285714285,0.07142857142857142,0.0625,0.0,0.11267605633802817,0.11702127659574468,0.0,0.16326530612244897,0.1509433962264151,0.07272727272727272,0.09836065573770492,0.29310344827586204,0.22727272727272727,0.03355704697986577,0.1978021978021978,0.275,0.2,0.375,0.002874743326488706,0.04608294930875576,0.0,0.005247048535198951,0.14285714285714285
Gantiva,0.18055555555555555,0.11320754716981132,0.07692307692307693,0.07547169811320754,0.0,0.16666666666666666,0.09202453987730061,0.125,0.0975609756097561,0.0,0.11538461538461539,0.001584786053882726,0.04395604395604396,0.11320754716981132,0.10344827586206896,0.07692307692307693,0.0034057045551298426,0.14925373134328357,0.09701492537313433,0.08108108108108109,0.06976744186046512,0.11267605633802817,0.0,0.2,0.0,0.15384615384615385,0.06666666666666667,0.05084745762711865,0.06060606060606061,0.11428571428571428,0.07692307692307693,0.0175054704595186,0.07692307692307693,0.14130434782608695,0.10256410256410256,0.14285714285714285,0.003490759753593429,0.05504587155963303,0.0,0.0039249890972525075,0.13559322033898305
Dandarprox,0.1326530612244898,0.08974358974358974,0.046153846153846156,0.10236220472440945,0.0,0.1232876712328767,0.0967741935483871,0.11538461538461539,0.09433962264150944,0.0,0.10526315789473684,0.009202453987730062,0.05365853658536585,0.08270676691729323,0.08433734939759036,0.046153846153846156,0.005485232067510549,0.14444444444444443,0.07453416149068323,0.047619047619047616,0.043478260869565216,0.11702127659574468,0.2,0.0,0.0,0.07608695652173914,0.061855670103092786,0.030612244897959183,0.06862745098039216,0.08333333333333333,0.05128205128205128,0.020242914979757085,0.07857142857142857,0.1076923076923077,0.09090909090909091,0.10185185185185185,0.004895960832313341,0.05078125,0.0,0.005584192439862543,0.0707070707070707
debeltranc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000427715996578272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041160732661041366,0.009900990099009901,0.0,0.00043956043956043956,0.0
ykchautai,0.125,0.1935483870967742,0.17647058823529413,0.045454545454545456,0.0,0.36,0.061224489795918366,0.15254237288135594,0.0967741935483871,0.0,0.125,0.003289473684210526,0.037037037037037035,0.054945054945054944,0.2,0.25,0.002145922746781116,0.1956521739130435,0.059322033898305086,0.2,0.14285714285714285,0.16326530612244897,0.15384615384615385,0.07608695652173914,0.0,0.0,0.13513513513513514,0.1111111111111111,0.11627906976744186,0.19148936170212766,0.12727272727272726,0.01141552511415525,0.0975609756097561,0.1527777777777778,0.10309278350515463,0.20833333333333334,0.0018533772652388797,0.0297029702970297,0.0,0.002197802197802198,0.40625
ligibrial,0.08064516129032258,0.17142857142857143,0.14285714285714285,0.054945054945054944,0.0,0.1875,0.03896103896103896,0.09090909090909091,0.07462686567164178,0.0,0.08108108108108109,0.004909983633387889,0.03614457831325301,0.07526881720430108,0.15,0.14285714285714285,0.003001715265866209,0.1346153846153846,0.04032258064516129,0.15789473684210525,0.12,0.1509433962264151,0.06666666666666667,0.061855670103092786,0.0,0.13513513513513514,0.0,0.10256410256410256,0.10869565217391304,0.1346153846153846,0.1016949152542373,0.022935779816513763,0.09411764705882353,0.13157894736842105,0.0891089108910891,0.1509433962264151,0.0035044320758606472,0.04975124378109453,0.0,0.004399472063352398,0.2
davidrh195,0.08333333333333333,0.08333333333333333,0.15789473684210525,0.044444444444444446,0.0,0.125,0.039473684210526314,0.04477611940298507,0.04477611940298507,0.0,0.08571428571428572,0.006578947368421052,0.024096385542168676,0.031578947368421054,0.15789473684210525,0.2222222222222222,0.0012853470437017994,0.07547169811320754,0.032520325203252036,0.17647058823529413,0.13043478260869565,0.07272727272727272,0.05084745762711865,0.030612244897959183,0.0,0.1111111111111111,0.10256410256410256,0.0,0.10526315789473684,0.06382978723404255,0.05660377358490566,0.018648018648018648,0.05,0.06944444444444445,0.052083333333333336,0.061224489795918366,0.0014427040395713108,0.025380710659898477,0.0,0.0026455026455026454,0.08333333333333333
JulianaNino,0.10606060606060606,0.23684210526315788,0.1111111111111111,0.04081632653061224,0.0,0.1282051282051282,0.031055900621118012,0.0684931506849315,0.0684931506849315,0.0,0.06976744186046512,0.003236245954692557,0.047058823529411764,0.04950495049504951,0.10638297872340426,0.1111111111111111,0.006006006006006006,0.1016949152542373,0.030534351145038167,0.12,0.0967741935483871,0.09836065573770492,0.06060606060606061,0.06862745098039216,0.0,0.11627906976744186,0.10869565217391304,0.10526315789473684,0.0,0.11666666666666667,0.07352941176470588,0.020224719101123594,0.041237113402061855,0.10588235294117647,0.09259259259259259,0.13114754098360656,0.003498662276188516,0.04285714285714286,0.0,0.003943908851884312,0.12
luegilca,0.1095890410958904,0.14583333333333334,0.08571428571428572,0.23595505617977527,0.0,0.2682926829268293,0.07407407407407407,0.2463768115942029,0.1780821917808219,0.0,0.2558139534883721,0.003194888178913738,0.0449438202247191,0.045871559633027525,0.1320754716981132,0.08571428571428572,0.008140531276778063,0.15873015873015872,0.1171875,0.09090909090909091,0.07692307692307693,0.29310344827586204,0.11428571428571428,0.08333333333333333,0.0,0.19148936170212766,0.1346153846153846,0.06382978723404255,0.11666666666666667,0.0,0.2413793103448276,0.022573363431151242,0.35135135135135137,0.24,0.17,0.36,0.0018495684340320592,0.03317535545023697,0.0,0.002626970227670753,0.12244897959183673
Yelis3,0.07407407407407407,0.05172413793103448,0.047619047619047616,0.07407407407407407,0.0,0.11538461538461539,0.0650887573964497,0.22666666666666666,0.21052631578947367,0.0,0.25,0.006349206349206349,0.054945054945054944,0.05263157894736842,0.1,0.047619047619047616,0.002976190476190476,0.06756756756756757,0.12878787878787878,0.05,0.043478260869565216,0.22727272727272727,0.07692307692307693,0.05128205128205128,0.0,0.12727272727272726,0.1016949152542373,0.05660377358490566,0.07352941176470588,0.2413793103448276,0.0,0.027422303473491772,0.10582010582010581,0.10382513661202186,0.0970873786407767,0.11320754716981132,0.004838709677419355,0.021875,0.0,0.004185851820845542,0.0379746835443038
begarzonf,0.017391304347826087,0.013761467889908258,0.009501187648456057,0.02263374485596708,0.0,0.013856812933025405,0.023722627737226276,0.03728070175438596,0.02826086956521739,0.0,0.02320185614849188,0.03783231083844581,0.04181818181818182,0.016227180527383367,0.015909090909090907,0.009501187648456057,0.010697159719660641,0.01545253863134658,0.0412573673870334,0.007142857142857143,0.007042253521126761,0.03355704697986577,0.0175054704595186,0.020242914979757085,0.0,0.01141552511415525,0.022935779816513763,0.018648018648018648,0.020224719101123594,0.022573363431151242,0.027422303473491772,0.0,0.057203389830508475,0.0423728813559322,0.05521472392638037,0.033185840707964605,0.016184971098265895,0.014802631578947368,0.0,0.012806026365348399,0.013392857142857142
kmendezp96,0.045454545454545456,0.1125,0.043478260869565216,0.17073170731707318,0.0,0.075,0.05583756345177665,0.21212121212121213,0.1650485436893204,0.0,0.1891891891891892,0.016897081413210446,0.057692307692307696,0.04225352112676056,0.06818181818181818,0.043478260869565216,0.012298558100084818,0.0594059405940594,0.14935064935064934,0.04477611940298507,0.0410958904109589,0.1978021978021978,0.07692307692307693,0.07857142857142857,0.0,0.0975609756097561,0.09411764705882353,0.05,0.041237113402061855,0.35135135135135137,0.10582010582010581,0.057203389830508475,0.0,0.168141592920354,0.18181818181818182,0.20224719101123595,0.00593654042988741,0.01984126984126984,0.0,0.007352941176470588,0.056179775280898875
leguzman,0.125,0.09333333333333334,0.04838709677419355,0.12295081967213115,0.0,0.14492753623188406,0.21818181818181817,0.5915492957746479,0.527027027027027,0.0,0.2857142857142857,0.010802469135802469,0.05970149253731343,0.08461538461538462,0.12987012987012986,0.04838709677419355,0.008047437526471834,0.16279069767441862,0.3492063492063492,0.05,0.045454545454545456,0.275,0.14130434782608695,0.1076923076923077,0.0,0.1527777777777778,0.13157894736842105,0.06944444444444445,0.10588235294117647,0.24,0.10382513661202186,0.0423728813559322,0.168141592920354,0.0,0.3384615384615385,0.26262626262626265,0.006119951040391677,0.041666666666666664,0.0,0.01207416990081932,0.07692307692307693
luealfonsoru,0.1,0.08163265306122448,0.03488372093023256,0.09523809523809523,0.0,0.09574468085106383,0.17801047120418848,0.4891304347826087,0.5930232558139535,0.0,0.20689655172413793,0.022590361445783132,0.06756756756756757,0.057692307692307696,0.07766990291262135,0.03488372093023256,0.006700167504187605,0.12727272727272726,0.2597402597402597,0.03571428571428571,0.03333333333333333,0.2,0.10256410256410256,0.09090909090909091,0.0,0.10309278350515463,0.0891089108910891,0.052083333333333336,0.09259259259259259,0.17,0.0970873786407767,0.05521472392638037,0.18181818181818182,0.3384615384615385,0.0,0.32954545454545453,0.006129955046996322,0.047058823529411764,0.0,0.005588993981083405,0.061224489795918366
oserasoa,0.12162162162162163,0.14,0.08108108108108109,0.10891089108910891,0.0,0.22727272727272727,0.1069182389937107,0.375,0.3968253968253968,0.0,0.36585365853658536,0.008,0.05027932960893855,0.07407407407407407,0.14814814814814814,0.08108108108108109,0.005121638924455826,0.20967741935483872,0.1693548387096774,0.08571428571428572,0.07317073170731707,0.375,0.14285714285714285,0.10185185185185185,0.0,0.20833333333333334,0.1509433962264151,0.061224489795918366,0.13114754098360656,0.36,0.11320754716981132,0.033185840707964605,0.20224719101123595,0.26262626262626265,0.32954545454545453,0.0,0.0034900431122972695,0.0547945205479452,0.0,0.0061162079510703364,0.11475409836065574
lsfinite,0.00348861071208701,0.0018537590113285273,0.0006193228736581337,0.004697712418300653,0.0,0.001442109600329625,0.004434589800443459,0.0030737704918032786,0.0030737704918032786,0.0,0.001441515650741351,0.019692423105776444,0.00909090909090909,0.003465144720750102,0.001851851851851852,0.0006193228736581337,0.025046514956347504,0.002875924404272802,0.006708680626143525,0.0006195786864931846,0.0006188118811881188,0.002874743326488706,0.003490759753593429,0.004895960832313341,0.00041160732661041366,0.0018533772652388797,0.0035044320758606472,0.0014427040395713108,0.003498662276188516,0.0018495684340320592,0.004838709677419355,0.016184971098265895,0.00593654042988741,0.006119951040391677,0.006129955046996322,0.0034900431122972695,0.0,0.008798240351929614,0.0,0.024176140451863577,0.002052545155993432
xdanielsb,0.0639269406392694,0.019704433497536946,0.016042780748663103,0.031496062992125984,0.0,0.04081632653061224,0.03821656050955414,0.030303030303030304,0.034782608695652174,0.0,0.03,0.012987012987012988,0.03363914373088685,0.0390625,0.04433497536945813,0.016042780748663103,0.007642799678197908,0.041666666666666664,0.03508771929824561,0.016216216216216217,0.015706806282722512,0.04608294930875576,0.05504587155963303,0.05078125,0.009900990099009901,0.0297029702970297,0.04975124378109453,0.025380710659898477,0.04285714285714286,0.03317535545023697,0.021875,0.014802631578947368,0.01984126984126984,0.041666666666666664,0.047058823529411764,0.0547945205479452,0.008798240351929614,0.0,0.0,0.011143210895583986,0.028708133971291867
bottom1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottom4,0.004357298474945534,0.0026396832380114386,0.0013280212483399733,0.003870967741935484,0.0,0.003085059497576025,0.00587248322147651,0.004347826086956522,0.004347826086956522,0.0,0.002199736031676199,0.017844396859386154,0.007525083612040134,0.004727116458960034,0.0030742204655248135,0.001771479185119575,0.9643776824034335,0.003933566433566434,0.009381663113006396,0.001329198050509526,0.0013256738842244808,0.005247048535198951,0.0039249890972525075,0.005584192439862543,0.00043956043956043956,0.002197802197802198,0.004399472063352398,0.0026455026455026454,0.003943908851884312,0.002626970227670753,0.004185851820845542,0.012806026365348399,0.007352941176470588,0.01207416990081932,0.005588993981083405,0.0061162079510703364,0.024176140451863577,0.011143210895583986,0.0,0.0,0.0017582417582417582
bottom2,0.14754098360655737,0.07317073170731707,0.125,0.08791208791208792,0.0,0.17142857142857143,0.05844155844155844,0.10294117647058823,0.10294117647058823,0.0,0.13157894736842105,0.0,0.05421686746987952,0.10752688172043011,0.13953488372093023,0.125,0.003427592116538132,0.12727272727272726,0.06451612903225806,0.13636363636363635,0.10714285714285714,0.14285714285714285,0.13559322033898305,0.0707070707070707,0.0,0.40625,0.2,0.08333333333333333,0.12,0.12244897959183673,0.0379746835443038,0.013392857142857142,0.056179775280898875,0.07692307692307693,0.061224489795918366,0.11475409836065574,0.002052545155993432,0.028708133971291867,0.0,0.0017582417582417582,0.0
