,bdvegat,jusherrerama,Phoenixest,HashNick,ccvacad,joaortizro,top4,mdbelloc,diegocruz10,bottom5,sagilm,idrojasf,raulramirezp,fabianr23,jhriverasa,jhonsd1996,JuanitoAli,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,top2,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,top3,luealfonsoru,oserasoa,lsfinite,top1,bottom1,bottom2,bottom3
sagilm,0.0038666022232962784,0.075,0.13043478260869565,0.08333333333333333,0.14736842105263157,0.1111111111111111,0.051643192488262914,0.2982456140350877,0.3114754098360656,0.0,0.0,0.006369426751592357,0.04285714285714286,0.04739336492890995,0.058333333333333334,0.07894736842105263,0.0033291718684977114,0.11764705882352941,0.1,0.08695652173913043,0.532258064516129,0.2786885245901639,0.12987012987012986,0.08108108108108109,0.0,0.14,0.125,0.05660377358490566,0.10909090909090909,0.21052631578947367,0.1297709923664122,0.030837004405286344,0.16071428571428573,0.3333333333333333,0.375,0.36666666666666664,0.0030718820397296746,0.027131782945736434,0.0,0.10416666666666667,0.14285714285714285
idrojasf,0.03110419906687403,0.008156606851549755,0.00333889816360601,0.02257636122177955,0.0103397341211226,0.004901960784313725,0.021739130434782608,0.007763975155279503,0.009244992295839754,0.0,0.006369426751592357,0.0,0.04668304668304668,0.014285714285714285,0.01327433628318584,0.005016722408026756,0.016421484775915155,0.009523809523809525,0.024967148488830485,0.004942339373970346,0.012364760432766615,0.014308426073131956,0.004658385093167702,0.010401188707280832,0.0,0.0065252854812398045,0.008090614886731391,0.009836065573770493,0.006482982171799027,0.0064,0.014218009478672985,0.03838383838383838,0.020710059171597635,0.01903367496339678,0.02406015037593985,0.012618296529968454,0.019805680119581465,0.02357320099255583,0.0,0.008223684210526315,0.0064516129032258064
raulramirezp,0.029385574354407838,0.045112781954887216,0.01556420233463035,0.06435643564356436,0.05846153846153846,0.03773584905660377,0.07746478873239436,0.05460750853242321,0.05704697986577181,0.0,0.04285714285714286,0.04668304668304668,0.0,0.07657657657657657,0.052054794520547946,0.010169491525423728,0.0183206106870229,0.040625,0.10416666666666667,0.023333333333333334,0.05389221556886228,0.060126582278481014,0.05198776758409786,0.05307262569832402,0.0,0.029508196721311476,0.05263157894736842,0.012944983818770227,0.0392156862745098,0.03821656050955414,0.06346153846153846,0.056851311953352766,0.08403361344537816,0.0947075208913649,0.06779661016949153,0.06269592476489028,0.014564062192481795,0.04819277108433735,0.0,0.029900332225913623,0.038834951456310676
fabianr23,0.01586582048957389,0.045454545454545456,0.016042780748663103,0.0621301775147929,0.06640625,0.04081632653061224,0.0807799442896936,0.05309734513274336,0.05627705627705628,0.0,0.04739336492890995,0.014285714285714285,0.07657657657657657,0.0,0.05555555555555555,0.01694915254237288,0.013916500994035786,0.059113300492610835,0.06845238095238096,0.02717391304347826,0.06363636363636363,0.06896551724137931,0.08133971291866028,0.06584362139917696,0.0,0.05945945945945946,0.08021390374331551,0.020942408376963352,0.05263157894736842,0.04,0.04819277108433735,0.0288135593220339,0.0846774193548387,0.08267716535433071,0.06995884773662552,0.07281553398058252,0.008812337272181054,0.04392764857881137,0.0,0.03783783783783784,0.06282722513089005
jhriverasa,0.009877704609595485,0.046296296296296294,0.03225806451612903,0.04330708661417323,0.09815950920245399,0.0891089108910891,0.05,0.06666666666666667,0.06382978723404255,0.0,0.058333333333333334,0.01327433628318584,0.052054794520547946,0.05555555555555555,0.0,0.04597701149425287,0.006543967280163599,0.07692307692307693,0.08,0.06382978723404255,0.050724637681159424,0.09401709401709402,0.096,0.08280254777070063,0.0,0.10309278350515463,0.13,0.06,0.07766990291262135,0.07207207207207207,0.05167173252279635,0.02982107355864811,0.09090909090909091,0.07514450867052024,0.06875,0.08196721311475409,0.005078204346942921,0.05704697986577181,0.0,0.11956521739130435,0.06542056074766354
jhonsd1996,0.0019445794846864365,0.125,0.42857142857142855,0.017045454545454544,0.0449438202247191,0.2,0.0196078431372549,0.05454545454545454,0.04918032786885246,0.0,0.07894736842105263,0.005016722408026756,0.010169491525423728,0.01694915254237288,0.04597701149425287,0.0,0.0012620950778291964,0.0975609756097561,0.016129032258064516,0.1875,0.04918032786885246,0.09302325581395349,0.05660377358490566,0.03488372093023256,0.0,0.18181818181818182,0.10344827586206896,0.19047619047619047,0.1111111111111111,0.08571428571428572,0.011450381679389313,0.009237875288683603,0.03125,0.029411764705882353,0.034482758620689655,0.0625,0.0006167763157894736,0.012987012987012988,0.0,0.2222222222222222,0.1
JuanitoAli,0.027121001390820583,0.0029288702928870294,0.0012620950778291964,0.01070578905630452,0.0057166190281747655,0.002932551319648094,0.014960629921259842,0.005383022774327122,0.0062009094667217855,0.0,0.0033291718684977114,0.016421484775915155,0.0183206106870229,0.013916500994035786,0.006543967280163599,0.0012620950778291964,0.0,0.003740648379052369,0.01507338357794526,0.0012573344509639564,0.0074503311258278145,0.006663890045814244,0.005804311774461028,0.006549324600900532,0.0004178854993731718,0.002510460251046025,0.00502092050209205,0.001254180602006689,0.0037641154328732747,0.0029154518950437317,0.009578544061302681,0.0111671469740634,0.00857843137254902,0.013928717738631708,0.006546644844517185,0.006652806652806653,0.025070821529745043,0.011655011655011656,0.0,0.002514668901927913,0.0037593984962406013
Davsatu313,0.006240998559769563,0.14814814814814814,0.07142857142857142,0.07,0.10344827586206896,0.20408163265306123,0.0611353711790393,0.14814814814814814,0.16470588235294117,0.0,0.11764705882352941,0.009523809523809525,0.040625,0.059113300492610835,0.07692307692307693,0.0975609756097561,0.003740648379052369,0.0,0.037037037037037035,0.125,0.125,0.17142857142857143,0.1518987341772152,0.12727272727272726,0.0,0.1509433962264151,0.15517241379310345,0.07142857142857142,0.1206896551724138,0.15873015873015872,0.041666666666666664,0.017241379310344827,0.072,0.12903225806451613,0.12612612612612611,0.19444444444444445,0.003480040941658137,0.03461538461538462,0.0,0.11764705882352941,0.13333333333333333
top5,0.02050113895216401,0.035175879396984924,0.016129032258064516,0.08814589665653495,0.05426356589147287,0.025252525252525252,0.10256410256410256,0.10232558139534884,0.0945945945945946,0.0,0.1,0.024967148488830485,0.10416666666666667,0.06845238095238096,0.08,0.016129032258064516,0.01507338357794526,0.037037037037037035,0.0,0.02040816326530612,0.12385321100917432,0.08571428571428572,0.05803571428571429,0.0546875,0.0,0.035,0.065,0.024875621890547265,0.04455445544554455,0.0330188679245283,0.06954436450839328,0.03865546218487395,0.1111111111111111,0.16260162601626016,0.10612244897959183,0.07906976744186046,0.009801960392078415,0.061381074168797956,0.0,0.057291666666666664,0.04390243902439024
jjmuesesq,0.0029069767441860465,0.2,0.1875,0.016216216216216217,0.0625,0.2222222222222222,0.02358490566037736,0.08064516129032258,0.07352941176470588,0.0,0.08695652173913043,0.004942339373970346,0.023333333333333334,0.02717391304347826,0.06382978723404255,0.1875,0.0012573344509639564,0.125,0.02040816326530612,0.0,0.03614457831325301,0.09523809523809523,0.0684931506849315,0.04716981132075472,0.0,0.11627906976744186,0.125,0.11904761904761904,0.15555555555555556,0.1111111111111111,0.03237410071942446,0.011013215859030838,0.04310344827586207,0.06722689075630252,0.10891089108910891,0.10606060606060606,0.0026661197703035273,0.044897959183673466,0.0,0.1282051282051282,0.1
