,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,improve-effort-12,improve-effort-23,improve-effort-34,improve-effort-45,improve-effort-15,improve-effort-25,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14
23,UNhcrodriguezl,0.0,80.0,33.33,75.0,263.33,75.0,75.0,20.0,41.67,79.17,215.83,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,37.5,20.0,33.33,0.0,90.83,0.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,8.340000000000003,-8.340000000000003,0.0,0.0,62.5,0.0,16.67,-4.170000000000002,75.0,12.5,37.5,0.0,0.0,0.0,0.0,37.5,100.00000000000001,0.0,25.0,47.49999999999997,172.5,72.49999999999997,60.0,0.0,75.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,10.0,0.0,20.0,5.0
24,camilo13152,0.0,60.0,50.0,37.5,222.5,75.0,62.5,60.0,45.83,75.0,243.33,50.0,60.0,33.33,75.0,218.33,50.0,20.0,33.33,0.0,103.33,0.0,0.0,29.17,0.0,29.17,20.0,40.0,0.0,0.0,60.0,40.0,4.159999999999997,0.0,12.5,4.170000000000002,20.83,16.67,0.0,75.0,0.0,-37.5,37.5,37.5,50.0,0.0,12.5,12.5,25.0,75.0,74.16,115.00000000000001,25.0,-20.830000000000013,193.32999999999998,119.17,60.0,20.83,37.5,75.0,0.0,0.0,7.0,0.0,0.0,21.0,21.0,38.0,2.0,12.0,21.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,38.0,0.0,2.0,1.5,4.5,0.0,0.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,40.0,10.0
25,leavendanoro,0.0,40.0,66.67,25.0,206.67,75.0,75.0,0.0,25.0,25.0,125.0,62.5,0.0,25.0,25.0,112.5,62.5,0.0,25.0,25.0,112.5,37.5,0.0,0.0,0.0,37.5,0.0,0.0,0.0,40.0,40.0,40.0,25.0,0.0,0.0,41.67,66.67,41.67,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,12.5,0.0,12.5,37.5,75.0,0.0,12.5,81.66999999999999,169.17,94.16999999999999,40.0,66.67,25.0,37.5,8.0,54.0,2.0,17.0,38.0,4.0,52.0,21.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,52.0,27.0,3.0,64.0,-19.0,41.5,3.0,-1.0,-2.0,38.5,4.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,6.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0
26,cdcordobaa,0.0,20.0,33.33,62.5,190.83,75.0,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,75.0,20.0,33.33,62.5,190.83,37.5,20.0,33.33,0.0,90.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,37.5,0.0,0.0,0.0,0.0,37.5,100.00000000000001,0.0,0.0,0.0,100.00000000000001,0.0,0.0,0.0,62.5,37.5,0.0,0.0,0.0,3.0,41.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,54.0,2.0,1.0,0.0,0.0,0.5,0.0,-17.5,-8.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,6.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,6.0,2.0,0.0,5.0
27,capinillab,0.0,60.0,54.17,75.0,264.17,75.0,62.5,60.0,54.17,75.0,251.67,62.5,60.0,41.67,62.5,226.67,62.5,60.0,37.5,87.5,247.5,62.5,20.0,33.33,0.0,115.83,40.0,0.0,0.0,0.0,40.0,0.0,4.170000000000002,4.170000000000002,12.5,0.0,20.840000000000003,16.67,87.5,-25.0,12.5,0.0,75.0,-12.5,0.0,0.0,0.0,12.5,12.5,12.5,131.67000000000002,-20.830000000000013,25.0,12.500000000000028,148.34000000000003,16.670000000000016,40.0,20.840000000000003,75.0,12.5,0.0,0.0,0.0,23.0,196.0,5.0,0.0,0.0,0.0,53.0,109.0,4.0,102.0,131.0,3.0,7.0,59.0,4.0,155.0,0.0,0.0,-1.5,36.5,-75.0,-22.5,0.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,5.0,0.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
28,janoguerab,0.0,20.0,29.17,0.0,111.67,62.5,50.0,20.0,29.17,0.0,99.17,50.0,20.0,29.17,0.0,99.17,37.5,20.0,29.17,0.0,86.67,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,29.17,0.0,0.0,0.0,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,12.5,0.0,12.5,25.0,62.5,86.67,12.5,0.0,12.5,111.67,25.0,20.0,29.17,0.0,62.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,5.0
29,lfvalderrama,0.0,80.0,66.67,106.25,352.92,100.0,87.5,20.0,50.0,50.0,207.5,87.5,40.0,54.17,68.75,250.42,75.0,0.0,41.67,25.0,141.67,75.0,0.0,0.0,0.0,75.0,0.0,40.0,-20.0,60.0,80.0,80.0,41.67,12.5,-4.170000000000002,16.67,66.67,25.0,25.0,43.75,-18.75,56.25,106.25,81.25,0.0,12.5,0.0,12.5,25.0,25.0,66.66999999999999,108.75,-42.91999999999999,145.42000000000002,277.92,211.25000000000003,80.0,66.67,106.25,25.0,5.0,14.0,2.0,8.0,11.0,6.0,131.0,20.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,5.0,7.0,6.0,139.0,-2.0,121.0,0.5,-0.5,2.5,1.5,3.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,5.0,0.0,3.0,0.0,5.0,5.0,6.0,2.0,0.0,0.0,15.0,3.0
30,bsgarciac,0.0,100.0,70.83,75.0,320.83,100.0,75.0,80.0,70.83,87.5,313.33,75.0,60.0,50.0,87.5,272.5,62.5,40.0,41.67,87.5,231.67,50.0,20.0,37.5,0.0,107.5,20.0,20.0,20.0,20.0,80.0,60.0,4.170000000000002,8.329999999999998,20.83,0.0,33.33,29.159999999999997,87.5,0.0,0.0,-12.5,75.0,-12.5,12.5,12.5,0.0,25.0,37.5,50.0,124.16999999999999,40.83000000000001,40.829999999999984,7.5,213.32999999999998,89.16,80.0,33.33,75.0,50.0,14.0,9.0,2.0,0.0,0.0,8.0,0.0,0.0,7.0,121.0,1279.0,5.0,69.0,105.0,6.0,47.0,74.0,6.0,204.0,9.5,0.0,-518.5,16.5,0.0,10.0,0.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,6.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,6.0,3.0,5.0,1.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,10.0,3.0
31,gabi04,0.0,20.0,29.17,58.33,157.5,50.0,25.0,20.0,29.17,0.0,74.17,25.0,20.0,29.17,0.0,74.17,37.5,0.0,25.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,25.0,4.170000000000002,0.0,0.0,29.17,4.170000000000002,0.0,0.0,0.0,58.33,58.33,58.33,37.5,-12.5,0.0,25.0,12.5,50.0,62.5,11.670000000000002,0.0,83.33,157.5,95.0,20.0,29.17,58.33,50.0,5.0,16.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,97.0,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,-23.5,3.0,3.0,3.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,10.0,2.0
32,annipi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,2.0,5.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,5.0,5.0,7.0,4.0
33,jdsolanos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-12.5,0.0,0.0,-12.5,-62.5,-50.0,-12.5,0.0,0.0,-62.5,-12.5,0.0,0.0,0.0,-62.5,2.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,116.0,10.0,2.0,-7.5,0.0,0.0,0.0,0.0,16.0,4.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,6.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,3.0,5.0,6.0,4.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,6.0
34,jcneivaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,2.0,6.0,5.0,3.0,3.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0
35,fmbernalb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0
36,MogGy94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,-12.5,-12.5,0.0,-12.5,0.0,0.0,-12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,3.0,5.0,6.0,2.0,6.0,4.0,5.0,6.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,50.0,6.0
37,yocuervoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,2.0,2.0,4.0,5.0,0.0,1.0,0.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0
38,odprietoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,25.0,62.5,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-25.0,-25.0,25.0,-25.0,0.0,0.0,0.0,-25.0,12.5,-12.5,0.0,0.0,-12.5,0.0,37.5,-62.5,0.0,0.0,-25.0,-62.5,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,3.0,8.0,3.0
39,gasierram,1.0,40.0,62.5,25.0,190.0,62.5,62.5,40.0,58.33,0.0,160.83,62.5,20.0,50.0,0.0,132.5,62.5,20.0,33.33,25.0,140.83,62.5,20.0,50.0,62.5,195.0,0.0,0.0,20.0,0.0,20.0,20.0,-16.67,16.67,8.329999999999998,4.170000000000002,12.5,29.17,-37.5,-25.0,0.0,25.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.16999999999999,-8.330000000000013,28.330000000000013,29.169999999999987,-5.0,49.16999999999999,20.0,12.5,-37.5,0.0,3.0,3.0,1.0,8.0,62.0,2.0,2.0,53.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,6.0,23.0,5.0,11.0,1.5,-24.5,1.0,1.5,-23.0,-5.5,1.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,16.0,6.0,2.0,4.0
40,adamantwharf,1.0,20.0,25.0,0.0,107.5,62.5,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,37.5,20.0,25.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,25.0,12.5,0.0,0.0,12.5,25.0,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,bdcajicam,1.0,40.0,29.17,62.5,206.67,75.0,62.5,20.0,29.17,62.5,174.17,50.0,20.0,25.0,62.5,157.5,50.0,20.0,25.0,0.0,95.0,25.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,20.0,40.0,20.0,25.0,0.0,4.170000000000002,0.0,29.17,4.170000000000002,0.0,62.5,0.0,0.0,62.5,62.5,25.0,0.0,12.5,12.5,25.0,50.0,70.0,62.5,16.669999999999987,32.5,181.67,111.66999999999999,40.0,29.17,62.5,50.0,0.0,0.0,0.0,39.0,26.0,4.0,39.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,3.0,39.0,0.0,26.0,0.0,0.0,26.0,0.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0
42,andfsanchezlem,1.0,20.0,25.0,0.0,45.0,0.0,0.0,20.0,25.0,0.0,45.0,0.0,20.0,25.0,0.0,45.0,12.5,20.0,25.0,0.0,57.5,25.0,20.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-12.5,0.0,0.0,-12.5,-25.0,-12.5,-12.5,0.0,0.0,-25.0,-12.5,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4.0,50.0,1.0,0.0,0.0,0.0,4.0,49.0,2.0,0.0,0.0,0.0,40.0,47.0,3.0,4.0,0.0,0.0,-20.5,0.0,-21.0,16.5,0.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,5.0
43,dfhincapiem,1.0,20.0,25.0,25.0,107.5,37.5,37.5,20.0,50.0,0.0,107.5,37.5,20.0,50.0,0.0,107.5,50.0,20.0,58.33,0.0,128.33,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,58.33,-8.329999999999998,0.0,-25.0,25.0,-33.33,0.0,0.0,0.0,25.0,25.0,25.0,50.0,-12.5,0.0,0.0,-12.5,37.5,128.33,-20.830000000000013,0.0,0.0,107.5,-20.830000000000013,20.0,25.0,25.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,87.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,4.0,1.0,6.0,4.0,2.0,3.0,1.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0
44,helmeraac,1.0,0.0,25.0,0.0,87.5,62.5,37.5,20.0,29.17,0.0,86.67,25.0,0.0,29.17,0.0,54.17,37.5,0.0,25.0,87.5,150.0,25.0,20.0,25.0,0.0,70.0,-20.0,0.0,20.0,-20.0,-20.0,0.0,0.0,4.170000000000002,0.0,-4.170000000000002,0.0,0.0,87.5,-87.5,0.0,0.0,0.0,-87.5,12.5,-12.5,12.5,25.0,25.0,37.5,80.0,-95.83,32.5,0.8299999999999983,17.5,-62.5,-20.0,0.0,0.0,37.5,3.0,5.0,1.0,7.0,12.0,2.0,0.0,0.0,0.0,5.0,6.0,2.0,3.0,5.0,1.0,54.0,127.0,6.0,11.0,0.5,0.0,2.0,0.5,1.0,-9.5,3.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,1.0,5.0,6.0,6.0,4.0,6.0,6.0,2.0,5.0,4.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,15.0,3.0,4.0,3.0
45,dasalgadob,1.0,0.0,25.0,25.0,100.0,50.0,50.0,100.0,75.0,0.0,225.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,25.0,0.0,75.0,50.0,0.0,25.0,25.0,100.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,-25.0,75.0,-50.0,0.0,0.0,-25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,175.0,-125.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,700.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,5.0,0.0,5.0,3.0
46,falperezgo,1.0,20.0,45.83,62.5,228.33,100.0,100.0,40.0,62.5,75.0,277.5,100.0,80.0,58.33,100.0,338.33,100.0,80.0,62.5,87.5,330.0,75.0,40.0,66.67,75.0,256.67,40.0,0.0,-40.0,-20.0,-20.0,-60.0,-4.170000000000002,-4.170000000000002,4.170000000000002,-16.67,-20.840000000000003,-16.67,12.5,12.5,-25.0,-12.5,-12.5,-25.0,25.0,0.0,0.0,0.0,0.0,25.0,73.32999999999998,8.329999999999984,-60.829999999999984,-49.16999999999999,-28.340000000000003,-101.66999999999999,-20.0,-20.840000000000003,-12.5,25.0,49.0,346.0,4.0,111.0,151.0,7.0,0.0,0.0,0.0,141.0,40.0,4.0,49.0,346.0,4.0,0.0,0.0,0.0,239.0,-124.0,0.0,121.0,-124.0,35.5,0.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,10.0,10.0,4.0,2.0
47,djguzmanc,1.0,80.0,79.17,100.0,334.17,75.0,62.5,60.0,79.17,90.63,292.29,62.5,80.0,62.5,100.0,305.0,62.5,60.0,62.5,81.25,266.25,62.5,60.0,70.83,87.5,280.83,0.0,20.0,-20.0,20.0,20.0,20.0,-8.329999999999998,0.0,16.67,0.0,8.340000000000003,16.67,-6.25,18.75,-9.370000000000005,9.370000000000005,12.5,18.75,0.0,0.0,0.0,12.5,12.5,12.5,-14.579999999999984,38.75,-12.70999999999998,41.879999999999995,53.34000000000003,67.92000000000002,20.0,8.340000000000003,12.5,12.5,0.0,0.0,0.0,100.0,1008.0,3.0,86.0,306.0,2.0,62.0,674.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,-67.0,-275.0,0.0,-404.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,6.0,5.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,5.0,1.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,3.0
