,bdvegat,jusherrerama,Phoenixest,HashNick,bottom3,top4,top2,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,jhriverasa,jhonsd1996,top3,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,lsfinite,xdanielsb,bottom4,bottom2,bottom1
kancas,0.140625,0.1111111111111111,0.11538461538461539,0.15384615384615385,0.0,0.2962962962962963,0.09565217391304348,0.2833333333333333,0.26229508196721313,0.0,0.11538461538461539,0.0032414910858995136,0.059880239520958084,0.09090909090909091,0.23076923076923078,0.16,0.004338394793926247,0.24390243902439024,0.2054794520547945,0.125,0.1,0.0,0.11764705882352941,0.15384615384615385,0.0,0.020833333333333332,0.09615384615384616,0.08,0.0392156862745098,0.29310344827586204,0.04,0.2,0.1978021978021978,0.12727272727272726,0.07246376811594203,0.23529411764705882,0.04081632653061224,0.04020100502512563,0.0,0.09302325581395349,0.09302325581395349
Gantiva,0.10344827586206896,0.10714285714285714,0.17647058823529413,0.047619047619047616,0.0,0.3,0.08333333333333333,0.13333333333333333,0.0967741935483871,0.0,0.17647058823529413,0.0016420361247947454,0.03067484662576687,0.10526315789473684,0.11428571428571428,0.17647058823529413,0.003044802087864289,0.2727272727272727,0.11267605633802817,0.2,0.14285714285714285,0.11764705882352941,0.0,0.2727272727272727,0.0,0.023255813953488372,0.08333333333333333,0.06521739130434782,0.0,0.12903225806451613,0.044444444444444446,0.06521739130434782,0.08333333333333333,0.16326530612244897,0.045454545454545456,0.16,0.045454545454545456,0.046632124352331605,0.0,0.07692307692307693,0.07692307692307693
Dandarprox,0.18840579710144928,0.08888888888888889,0.08571428571428572,0.12,0.0,0.2222222222222222,0.1440677966101695,0.16216216216216217,0.13157894736842105,0.0,0.11764705882352941,0.0048,0.0449438202247191,0.1095890410958904,0.14,0.08571428571428572,0.005190311418685121,0.2765957446808511,0.11494252873563218,0.09090909090909091,0.07692307692307693,0.15384615384615385,0.2727272727272727,0.0,0.0,0.0,0.05405405405405406,0.041666666666666664,0.027777777777777776,0.10344827586206896,0.0,0.056338028169014086,0.09243697478991597,0.09210526315789473,0.04395604395604396,0.13513513513513514,0.043478260869565216,0.05069124423963134,0.0,0.046153846153846156,0.046153846153846156
debeltranc,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004284490145672665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0
ykchautai,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.01694915254237288,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0,0.00043535045711797995,0.030303030303030304,0.014285714285714285,0.0,0.0,0.020833333333333332,0.023255813953488372,0.0,0.0,0.0,0.2,0.17391304347826086,0.04,0.23076923076923078,0.08695652173913043,0.125,0.09333333333333334,0.2962962962962963,0.09302325581395349,0.2857142857142857,0.09090909090909091,0.034482758620689655,0.0,0.25,0.17647058823529413
ligibrial,0.0847457627118644,0.10714285714285714,0.17647058823529413,0.047619047619047616,0.0,0.23809523809523808,0.044642857142857144,0.07936507936507936,0.07936507936507936,0.0,0.17647058823529413,0.0016420361247947454,0.03067484662576687,0.10526315789473684,0.18181818181818182,0.17647058823529413,0.0021729682746631897,0.16666666666666666,0.039473684210526314,0.2,0.14285714285714285,0.09615384615384616,0.08333333333333333,0.05405405405405406,0.0,0.2,0.0,0.14814814814814814,0.034482758620689655,0.13043478260869565,0.03571428571428571,0.10714285714285714,0.075,0.18181818181818182,0.10869565217391304,0.14285714285714285,0.07692307692307693,0.027932960893854747,0.0,0.14285714285714285,0.14285714285714285
davidrh195,0.08928571428571429,0.12,0.21428571428571427,0.05,0.0,0.21052631578947367,0.05555555555555555,0.04838709677419355,0.04838709677419355,0.0,0.21428571428571427,0.006633499170812604,0.024844720496894408,0.05263157894736842,0.2,0.3076923076923077,0.0013043478260869566,0.11428571428571428,0.05555555555555555,0.25,0.16666666666666666,0.08,0.06521739130434782,0.041666666666666664,0.0,0.17391304347826086,0.14814814814814814,0.0,0.037037037037037035,0.06382978723404255,0.038461538461538464,0.11538461538461539,0.05,0.15625,0.08888888888888889,0.05555555555555555,0.08333333333333333,0.01675977653631285,0.0,0.2222222222222222,0.15789473684210525
JulianaNino,0.05263157894736842,0.2857142857142857,0.0,0.0,0.0,0.1,0.008928571428571428,0.015873015873015872,0.015873015873015872,0.0,0.0,0.001652892561983471,0.018633540372670808,0.017241379310344827,0.06060606060606061,0.0,0.0013049151805132667,0.05555555555555555,0.0,0.0,0.0,0.0392156862745098,0.0,0.027777777777777776,0.0,0.04,0.034482758620689655,0.037037037037037035,0.0,0.09433962264150944,0.0,0.08823529411764706,0.033707865168539325,0.07142857142857142,0.09615384615384616,0.09523809523809523,0.0625,0.02702702702702703,0.0,0.1111111111111111,0.1111111111111111
luegilca,0.10810810810810811,0.08888888888888889,0.08571428571428572,0.3333333333333333,0.0,0.2571428571428571,0.0975609756097561,0.2463768115942029,0.1780821917808219,0.0,0.08571428571428572,0.003194888178913738,0.0449438202247191,0.06578947368421052,0.14,0.08571428571428572,0.004755728491137051,0.2,0.18292682926829268,0.09090909090909091,0.07692307692307693,0.29310344827586204,0.12903225806451613,0.10344827586206896,0.0,0.23076923076923078,0.13043478260869565,0.06382978723404255,0.09433962264150944,0.0,0.04878048780487805,0.21621621621621623,0.35135135135135137,0.20454545454545456,0.08333333333333333,0.2857142857142857,0.05,0.03664921465968586,0.0,0.08571428571428572,0.11764705882352941
Yelis3,0.03508771929824561,0.0,0.0,0.016666666666666666,0.0,0.05,0.027522935779816515,0.03278688524590164,0.016129032258064516,0.0,0.0,0.0066555740432612314,0.01875,0.017543859649122806,0.0625,0.0,0.0013054830287206266,0.05714285714285714,0.05714285714285714,0.0,0.0,0.04,0.044444444444444446,0.0,0.0,0.08695652173913043,0.03571428571428571,0.038461538461538464,0.0,0.04878048780487805,0.0,0.1590909090909091,0.19101123595505617,0.11320754716981132,0.109375,0.2,0.043478260869565216,0.03553299492385787,0.0,0.047619047619047616,0.047619047619047616
