,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,djguzmanc,gsuarezc04,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,bottom5,aldiazve,top5,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
top1,0.004207573632538569,0.032,0.024623803009575923,0.0,0.004201680672268907,0.020434227330779056,0.004172461752433936,0.031914893617021274,0.034574468085106384,0.012080536912751677,0.0,0.014798488664987406,0.7137854186564788,0.012326169405815424,0.5893186003683242,0.0012853470437017994,0.001603592046183451,0.006045179764556157,0.016158536585365854,0.00847723704866562,0.009626955475330927,0.0,0.0009637006103437199,0.007001909611712286,0.004478566858605247,0.023750840241989694,0.017868338557993732,0.005090677696468342,0.018431740081224616,0.0038510911424903724,0.0009633911368015414,0.0,0.010523150932050512,0.007971938775510204,0.014334683702087878,0.025526862570495697,0.016986473733878578,0.0,0.0,0.007049022749118872
gcantem,0.02654867256637168,0.4262295081967213,0.28448275862068967,0.0,0.02631578947368421,0.06417112299465241,0.07017543859649122,0.013409961685823755,0.15584415584415584,0.07692307692307693,0.014798488664987406,0.0,0.022594142259414227,0.10460251046025104,0.013394315583142764,0.017241379310344827,0.022222222222222223,0.05687203791469194,0.1005586592178771,0.11428571428571428,0.02962962962962963,0.0,0.017241379310344827,0.08695652173913043,0.05235602094240838,0.020663744520976832,0.15789473684210525,0.0891089108910891,0.15053763440860216,0.055865921787709494,0.017142857142857144,0.0,0.04714640198511166,0.09900990099009901,0.1166077738515901,0.09322033898305085,0.1484375,0.0,0.0,0.10869565217391304
Semoralesga,0.0013198416190057193,0.011703511053315995,0.007417102966841187,0.0,0.0017597888253409592,0.007689021785561726,0.001755926251097454,0.019308700834326578,0.009935205183585313,0.004776378636561007,0.7137854186564788,0.022594142259414227,0.0,0.013611229264142918,0.7531900604432505,0.0017452006980802793,0.002175805047867711,0.006013745704467354,0.015353535353535354,0.010135135135135136,0.009554140127388535,0.0,0.0013083296990841692,0.011216566005176877,0.004329004329004329,0.021525885558583105,0.02448290417897847,0.007755277897457992,0.023919429290809903,0.005664488017429194,0.0013077593722755014,0.0,0.013562026326286399,0.010358221838584376,0.014583333333333334,0.03131115459882583,0.02332485156912638,0.0,0.0,0.008684324793747287
top2,0.03225806451612903,0.16666666666666666,0.11206896551724138,0.0,0.031914893617021274,0.10493827160493827,0.030303030303030304,0.017969888295288974,0.12056737588652482,0.08064516129032258,0.012326169405815424,0.10460251046025104,0.013611229264142918,0.0,0.00957411687025421,0.031007751937984496,0.037037037037037035,0.09146341463414634,0.0736196319018405,0.08530805687203792,0.07183908045977011,0.0,0.023076923076923078,0.12422360248447205,0.09027777777777778,0.019935691318327974,0.1282051282051282,0.1,0.11693548387096774,0.07407407407407407,0.022900763358778626,0.0,0.04132231404958678,0.14102564102564102,0.10121457489878542,0.10023310023310024,0.13122171945701358,0.0,0.0,0.0958904109589041
top3,0.0,0.00436388049681101,0.001688048615800135,0.0,0.0,0.007009345794392523,0.0013623978201634877,0.02471443406022845,0.002677376171352075,0.0010104412260020209,0.5893186003683242,0.013394315583142764,0.7531900604432505,0.00957411687025421,0.0,0.0,0.0006697923643670462,0.002982107355864811,0.008514664143803218,0.006213211249182472,0.010351317440401506,0.0,0.0,0.0026481297583581596,0.0030040053404539386,0.029725963771481654,0.013350700097688049,0.0013245033112582781,0.013294422827496757,0.0006686726847208291,0.0,0.0,0.010018785222291797,0.0023186485591255384,0.006776379477250726,0.02185287780855648,0.013080444735120994,0.0,0.0,0.0030010003334444814
stevenbustos,0.2857142857142857,0.06349206349206349,0.07692307692307693,0.0,0.25,0.033707865168539325,0.0,0.0014955134596211367,0.05970149253731343,0.06818181818181818,0.0012853470437017994,0.017241379310344827,0.0017452006980802793,0.031007751937984496,0.0,0.0,0.0967741935483871,0.2807017543859649,0.03829787234042553,0.05128205128205128,0.026923076923076925,0.0,0.08,0.11940298507462686,0.10869565217391304,0.006802721088435374,0.0821917808219178,0.07692307692307693,0.06875,0.05405405405405406,0.07692307692307693,0.0,0.022556390977443608,0.125,0.05063291139240506,0.03977272727272727,0.08270676691729323,0.0,0.0,0.10204081632653061
jufcontrerasco,0.23076923076923078,0.07246376811594203,0.08888888888888889,0.0,0.21428571428571427,0.042105263157894736,0.0,0.0029850746268656717,0.05405405405405406,0.08,0.001603592046183451,0.022222222222222223,0.002175805047867711,0.037037037037037035,0.0006697923643670462,0.0967741935483871,0.0,0.06521739130434782,0.06711409395973154,0.06486486486486487,0.02710843373493976,0.0,0.030612244897959183,0.21138211382113822,0.059322033898305086,0.008436080467229072,0.1958762886597938,0.125,0.18357487922705315,0.0970873786407767,0.030303030303030304,0.0,0.03592814371257485,0.14960629921259844,0.08597285067873303,0.1,0.2111111111111111,0.0,0.0,0.12280701754385964
dsbarrerag,0.057692307692307696,0.08653846153846154,0.08641975308641975,0.0,0.05660377358490566,0.11290322580645161,0.016666666666666666,0.00784698381559588,0.08333333333333333,0.08139534883720931,0.006045179764556157,0.05687203791469194,0.006013745704467354,0.09146341463414634,0.002982107355864811,0.2807017543859649,0.06521739130434782,0.0,0.04868913857677903,0.08904109589041095,0.02364864864864865,0.0,0.05,0.07766990291262135,0.10126582278481013,0.009320905459387484,0.0718232044198895,0.06,0.07253886010362694,0.0273972602739726,0.04918032786885246,0.0,0.037037037037037035,0.10204081632653061,0.07446808510638298,0.04145077720207254,0.07142857142857142,0.0,0.0,0.08433734939759036
wolfstain,0.013452914798206279,0.08812260536398467,0.06147540983606557,0.0,0.017937219730941704,0.04040404040404041,0.004329004329004329,0.021569527306103717,0.09090909090909091,0.060240963855421686,0.016158536585365854,0.1005586592178771,0.015353535353535354,0.0736196319018405,0.008514664143803218,0.03829787234042553,0.06711409395973154,0.04868913857677903,0.0,0.10457516339869281,0.05240174672489083,0.0,0.012552301255230125,0.07011070110701106,0.043137254901960784,0.028519417475728157,0.08746355685131195,0.06741573033707865,0.10919540229885058,0.05394190871369295,0.0125,0.0,0.03177966101694915,0.07894736842105263,0.08238636363636363,0.07992565055762081,0.09451219512195122,0.0,0.0,0.07171314741035857
miaborjaac,0.029411764705882353,0.08666666666666667,0.045454545454545456,0.0,0.02912621359223301,0.09302325581395349,0.0673076923076923,0.010076775431861805,0.0915032679738562,0.07518796992481203,0.00847723704866562,0.11428571428571428,0.010135135135135136,0.08530805687203792,0.006213211249182472,0.05128205128205128,0.06486486486486487,0.08904109589041095,0.10457516339869281,0.0,0.08982035928143713,0.0,0.024793388429752067,0.04878048780487805,0.08823529411764706,0.015453960077269801,0.11353711790393013,0.04375,0.11666666666666667,0.030303030303030304,0.02459016393442623,0.0,0.0423728813559322,0.06962025316455696,0.10504201680672269,0.06436781609195402,0.1004566210045662,0.0,0.0,0.08633093525179857
ivdgonzalezco,0.012195121951219513,0.04778156996587031,0.021739130434782608,0.0,0.016260162601626018,0.0375,0.02,0.02647193062528526,0.029801324503311258,0.021352313167259787,0.009626955475330927,0.02962962962962963,0.009554140127388535,0.07183908045977011,0.010351317440401506,0.026923076923076925,0.02710843373493976,0.02364864864864865,0.05240174672489083,0.08982035928143713,0.0,0.0,0.012448132780082987,0.028169014084507043,0.042801556420233464,0.024758454106280192,0.05042016806722689,0.014134275618374558,0.043010752688172046,0.015873015873015872,0.012396694214876033,0.0,0.029473684210526315,0.03214285714285714,0.04076086956521739,0.05807622504537205,0.04335260115606936,0.0,0.0,0.030418250950570342
maikellPardo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
