,bdvegat,jusherrerama,Phoenixest,HashNick,bottom2,joaortizro,top4,mdbelloc,diegocruz10,crarojasca,sagilm,idrojasf,raulramirezp,top1,top2,jhonsd1996,top3,top5,cesarochoa2006,jjmuesesq,jucjimenezmo,kancas,Gantiva,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,leguzman,luealfonsoru,oserasoa,bottom1,xdanielsb,bottom3,bottom4,bottom5
sagilm,0.0038910505836575876,0.075,0.13043478260869565,0.08333333333333333,0.175,0.1111111111111111,0.051643192488262914,0.2982456140350877,0.3114754098360656,0.0,0.0,0.003257328990228013,0.041916167664670656,0.0851063829787234,0.11627906976744186,0.13043478260869565,0.0029991431019708655,0.10909090909090909,0.1592920353982301,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.13793103448275862,0.08247422680412371,0.0,0.1282051282051282,0.11904761904761904,0.08571428571428572,0.1,0.2558139534883721,0.08666666666666667,0.029545454545454545,0.17721518987341772,0.1935483870967742,0.21176470588235294,0.3673469387755102,0.0024645717806531116,0.028846153846153848,0.0,0.002199736031676199,0.13953488372093023
idrojasf,0.03046875,0.004885993485342019,0.0,0.021248339973439574,0.007541478129713424,0.0032679738562091504,0.020460358056265986,0.006211180124223602,0.007704160246533128,0.0,0.003257328990228013,0.0,0.046089385474860335,0.00744047619047619,0.008090614886731391,0.005016722408026756,0.016736401673640166,0.009523809523809525,0.015827338129496403,0.0033500837520938024,0.003316749585406302,0.014308426073131956,0.004702194357366771,0.011904761904761904,0.0,0.0065040650406504065,0.008103727714748784,0.009884678747940691,0.008,0.0064,0.009575923392612859,0.03838383838383838,0.01984732824427481,0.014792899408284023,0.02416918429003021,0.012618296529968454,0.019813084112149534,0.01806451612903226,0.0,0.018201284796573874,0.008077544426494346
raulramirezp,0.02092050209205021,0.041666666666666664,0.025974025974025976,0.04472843450479233,0.05116279069767442,0.04878048780487805,0.047058823529411764,0.05102040816326531,0.04950495049504951,0.0,0.041916167664670656,0.046089385474860335,0.0,0.04984423676012461,0.03663003663003663,0.011627906976744186,0.018584420719652037,0.04225352112676056,0.07647058823529412,0.01171875,0.011450381679389313,0.06428571428571428,0.04878048780487805,0.06583072100313479,0.0,0.041044776119402986,0.05223880597014925,0.01486988847583643,0.04316546762589928,0.039568345323741004,0.031088082901554404,0.05359877488514548,0.08250825082508251,0.09841269841269841,0.06624605678233439,0.06338028169014084,0.01347068145800317,0.03695150115473441,0.0,0.017408906882591092,0.040293040293040296
top1,0.008547008547008548,0.05102040816326531,0.03614457831325301,0.045081967213114756,0.09219858156028368,0.06382978723404255,0.06367041198501873,0.072,0.07692307692307693,0.0,0.0851063829787234,0.00744047619047619,0.04984423676012461,0.0,0.03414634146341464,0.016042780748663103,0.01293974929235746,0.056338028169014086,0.06498194945848375,0.016216216216216217,0.015706806282722512,0.06074766355140187,0.07981220657276995,0.06746031746031746,0.0,0.05583756345177665,0.07653061224489796,0.01507537688442211,0.04784688995215311,0.0380952380952381,0.03481012658227848,0.024916943521594685,0.06639004149377593,0.07421875,0.05533596837944664,0.06451612903225806,0.008394963022186688,0.03561643835616438,0.0,0.0115990057995029,0.054455445544554455
top2,0.0048543689320388345,0.08888888888888889,0.10344827586206896,0.03608247422680412,0.0989010989010989,0.21052631578947367,0.0502283105022831,0.0958904109589041,0.08860759493670886,0.0,0.11627906976744186,0.008090614886731391,0.03663003663003663,0.03414634146341464,0.0,0.043478260869565216,0.004583333333333333,0.07377049180327869,0.09836065573770492,0.03296703296703297,0.030927835051546393,0.09016393442622951,0.0967741935483871,0.08695652173913043,0.0,0.09615384615384616,0.11428571428571428,0.058823529411764705,0.08695652173913043,0.06896551724137931,0.0639269406392694,0.025490196078431372,0.05844155844155844,0.07100591715976332,0.06134969325153374,0.0873015873015873,0.004667207792207792,0.04797047970479705,0.0,0.005136986301369863,0.07207207207207207
jhonsd1996,0.0019569471624266144,0.125,0.42857142857142855,0.017045454545454544,0.05405405405405406,0.2,0.0196078431372549,0.05454545454545454,0.04918032786885246,0.0,0.13043478260869565,0.005016722408026756,0.011627906976744186,0.016042780748663103,0.043478260869565216,0.0,0.0012919896640826874,0.0975609756097561,0.026785714285714284,0.6,0.2727272727272727,0.09302325581395349,0.06382978723404255,0.03488372093023256,0.0,0.16666666666666666,0.10714285714285714,0.2222222222222222,0.08333333333333333,0.08571428571428572,0.020833333333333332,0.009237875288683603,0.04054054054054054,0.03260869565217391,0.03571428571428571,0.0625,0.0006170300287947347,0.015384615384615385,0.0,0.001771479185119575,0.1
top3,0.025864095932283095,0.0029978586723768737,0.0012919896640826874,0.016714227476559314,0.00419639110365086,0.003001715265866209,0.014067524115755627,0.005508474576271186,0.006345177664974619,0.0,0.0029991431019708655,0.016736401673640166,0.018584420719652037,0.01293974929235746,0.004583333333333333,0.0012919896640826874,0.0,0.003740648379052369,0.01016260162601626,0.0012631578947368421,0.00125997480050399,0.006663890045814244,0.005818786367414797,0.007374027038099139,0.0004178854993731718,0.0029276453366792136,0.0050230221850146506,0.0012557555462536626,0.004168403501458941,0.0029154518950437317,0.004790419161676647,0.0111671469740634,0.008240626287597858,0.013569078947368422,0.006142506142506142,0.006652806652806653,0.0250779257580051,0.010228166797797011,0.0,0.9429530201342282,0.0037593984962406013
top5,0.006280193236714976,0.14814814814814814,0.07142857142857142,0.07,0.1188118811881188,0.20408163265306123,0.0611353711790393,0.14814814814814814,0.16470588235294117,0.0,0.10909090909090909,0.009523809523809525,0.04225352112676056,0.056338028169014086,0.07377049180327869,0.0975609756097561,0.003740648379052369,0.0,0.07142857142857142,0.075,0.06521739130434782,0.17142857142857143,0.14864864864864866,0.12727272727272726,0.0,0.18867924528301888,0.13793103448275862,0.07547169811320754,0.1044776119402985,0.15873015873015872,0.04597701149425287,0.017241379310344827,0.05660377358490566,0.1206896551724138,0.12962962962962962,0.19444444444444445,0.003481466311693631,0.04017857142857143,0.0,0.003933566433566434,0.13333333333333333
cesarochoa2006,0.014608859566446749,0.06451612903225806,0.026785714285714284,0.1225296442687747,0.12269938650306748,0.05737704918032787,0.14652014652014653,0.31451612903225806,0.2900763358778626,0.0,0.1592920353982301,0.015827338129496403,0.07647058823529412,0.06498194945848375,0.09836065573770492,0.026785714285714284,0.01016260162601626,0.07142857142857142,0.0,0.016304347826086956,0.015789473684210527,0.08133971291866028,0.06018518518518518,0.05511811023622047,0.0,0.035,0.06060606060606061,0.025510204081632654,0.0380952380952381,0.02843601895734597,0.04153354632587859,0.0387858347386172,0.08936170212765958,0.15611814345991562,0.09917355371900827,0.07476635514018691,0.00980980980980981,0.04143646408839779,0.0,0.014125467386788533,0.04433497536945813
jjmuesesq,0.0014684287812041115,0.13636363636363635,0.6,0.017241379310344827,0.0410958904109589,0.15789473684210525,0.014778325123152709,0.05660377358490566,0.05084745762711865,0.0,0.14285714285714285,0.0033500837520938024,0.01171875,0.016216216216216217,0.03296703296703297,0.6,0.0012631578947368421,0.075,0.016304347826086956,0.0,0.15,0.12,0.07272727272727272,0.053763440860215055,0.0,0.15625,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.14634146341463414,0.033112582781456956,0.006772009029345372,0.03614457831325301,0.07216494845360824,0.054945054945054944,0.1111111111111111,0.0012325390304026294,0.035,0.0,0.0013227513227513227,0.10526315789473684
jucjimenezmo,0.001953125,0.10714285714285714,0.2727272727272727,0.016666666666666666,0.0379746835443038,0.12,0.014354066985645933,0.05084745762711865,0.046153846153846156,0.0,0.1111111111111111,0.003316749585406302,0.011450381679389313,0.015706806282722512,0.030927835051546393,0.2727272727272727,0.00125997480050399,0.06521739130434782,0.015789473684210527,0.15,0.0,0.24691358024691357,0.13043478260869565,0.0916030534351145,0.0,0.1232876712328767,0.08974358974358974,0.0410958904109589,0.08139534883720931,0.21052631578947367,0.08648648648648649,0.03805496828752643,0.1592920353982301,0.5204081632653061,0.41,0.3291139240506329,0.004287464271131074,0.04132231404958678,0.0,0.00651890482398957,0.10126582278481013
kancas,0.006760019314340898,0.12280701754385964,0.06818181818181818,0.08,0.21052631578947367,0.17307692307692307,0.07929515418502203,0.28378378378378377,0.2625,0.0,0.2857142857142857,0.014308426073131956,0.06428571428571428,0.06074766355140187,0.09016393442622951,0.09302325581395349,0.006663890045814244,0.17142857142857143,0.08133971291866028,0.12,0.24691358024691357,0.0,0.10126582278481013,0.09565217391304348,0.0,0.18181818181818182,0.19298245614035087,0.07272727272727272,0.13432835820895522,0.29310344827586204,0.09523809523809523,0.041758241758241756,0.1875,0.2571428571428571,0.20388349514563106,0.3333333333333333,0.003069367710251688,0.044444444444444446,0.0,0.005247048535198951,0.12903225806451613
Gantiva,0.008208594881699663,0.09836065573770492,0.06382978723404255,0.095,0.16831683168316833,0.14285714285714285,0.08296943231441048,0.13953488372093023,0.14285714285714285,0.0,0.13793103448275862,0.004702194357366771,0.04878048780487805,0.07981220657276995,0.0967741935483871,0.06382978723404255,0.005818786367414797,0.14864864864864866,0.06018518518518518,0.07272727272727272,0.13043478260869565,0.10126582278481013,0.0,0.18421052631578946,0.0,0.15625,0.1323529411764706,0.046153846153846156,0.11842105263157894,0.10526315789473684,0.06043956043956044,0.023305084745762712,0.06956521739130435,0.11904761904761904,0.09917355371900827,0.18292682926829268,0.005116659844453541,0.04721030042918455,0.0,0.0039147455415398,0.16176470588235295
Dandarprox,0.011893434823977164,0.0707070707070707,0.03488372093023256,0.09322033898305085,0.11347517730496454,0.10752688172043011,0.0830188679245283,0.096,0.1,0.0,0.08247422680412371,0.011904761904761904,0.06583072100313479,0.06746031746031746,0.08695652173913043,0.03488372093023256,0.007374027038099139,0.12727272727272726,0.05511811023622047,0.053763440860215055,0.0916030534351145,0.09565217391304348,0.18421052631578946,0.0,0.0,0.09183673469387756,0.1,0.030612244897959183,0.11320754716981132,0.08333333333333333,0.03669724770642202,0.02178217821782178,0.07586206896551724,0.09433962264150944,0.09210526315789473,0.13043478260869565,0.005491153142159854,0.045283018867924525,0.0,0.004721030042918455,0.07692307692307693
debeltranc,0.000970873786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004178854993731718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004100881689563256,0.009523809523809525,0.0,0.00043956043956043956,0.0
ykchautai,0.004375303840544483,0.15384615384615385,0.12,0.042328042328042326,0.1566265060240964,0.2727272727272727,0.056074766355140186,0.16923076923076924,0.15492957746478872,0.0,0.1282051282051282,0.0065040650406504065,0.041044776119402986,0.05583756345177665,0.09615384615384616,0.16666666666666666,0.0029276453366792136,0.18867924528301888,0.035,0.15625,0.1232876712328767,0.18181818181818182,0.15625,0.09183673469387756,0.0,0.0,0.175,0.11764705882352941,0.12244897959183673,0.14893617021276595,0.05161290322580645,0.01569506726457399,0.06896551724137931,0.08823529411764706,0.08421052631578947,0.13559322033898305,0.0018472906403940886,0.028846153846153848,0.0,0.001759014951627089,0.3611111111111111
ligibrial,0.00632295719844358,0.17073170731707318,0.10714285714285714,0.0582010582010582,0.1,0.21621621621621623,0.06511627906976744,0.11267605633802817,0.1038961038961039,0.0,0.11904761904761904,0.008103727714748784,0.05223880597014925,0.07653061224489796,0.11428571428571428,0.10714285714285714,0.0050230221850146506,0.13793103448275862,0.06060606060606061,0.14285714285714285,0.08974358974358974,0.19298245614035087,0.1323529411764706,0.1,0.0,0.175,0.0,0.1,0.19607843137254902,0.15384615384615385,0.049689440993788817,0.026845637583892617,0.08791208791208792,0.13592233009708737,0.10101010101010101,0.15873015873015872,0.003490759753593429,0.05263157894736842,0.0,0.0043975373790677225,0.1956521739130435
davidrh195,0.0034096444227959084,0.08333333333333333,0.15789473684210525,0.032432432432432434,0.046511627906976744,0.125,0.028037383177570093,0.04477611940298507,0.0410958904109589,0.0,0.08571428571428572,0.009884678747940691,0.01486988847583643,0.01507537688442211,0.058823529411764705,0.2222222222222222,0.0012557555462536626,0.07547169811320754,0.025510204081632654,0.10714285714285714,0.0410958904109589,0.07272727272727272,0.046153846153846156,0.030612244897959183,0.0,0.11764705882352941,0.1,0.0,0.08,0.06,0.02531645569620253,0.018018018018018018,0.045454545454545456,0.03773584905660377,0.05154639175257732,0.047619047619047616,0.0014364867638005335,0.02403846153846154,0.0,0.002642007926023778,0.06666666666666667
JulianaNino,0.005811138014527845,0.19148936170212766,0.08333333333333333,0.050505050505050504,0.07,0.17777777777777778,0.048672566371681415,0.10126582278481013,0.09411764705882353,0.0,0.1,0.008,0.04316546762589928,0.04784688995215311,0.08695652173913043,0.08333333333333333,0.004168403501458941,0.1044776119402985,0.0380952380952381,0.14285714285714285,0.08139534883720931,0.13432835820895522,0.11842105263157894,0.11320754716981132,0.0,0.12244897959183673,0.19607843137254902,0.08,0.0,0.13725490196078433,0.030864197530864196,0.02237136465324385,0.043010752688172046,0.09523809523809523,0.10309278350515463,0.14516129032258066,0.0026683087027914616,0.0380952380952381,0.0,0.003518029903254178,0.15217391304347827
luegilca,0.0038684719535783366,0.14583333333333334,0.08571428571428572,0.13736263736263737,0.17777777777777778,0.2682926829268293,0.05357142857142857,0.2463768115942029,0.22666666666666666,0.0,0.2558139534883721,0.0064,0.039568345323741004,0.0380952380952381,0.06896551724137931,0.08571428571428572,0.0029154518950437317,0.15873015873015872,0.02843601895734597,0.14634146341463414,0.21052631578947367,0.29310344827586204,0.10526315789473684,0.08333333333333333,0.0,0.14893617021276595,0.15384615384615385,0.06,0.13725490196078433,0.0,0.09375,0.028761061946902654,0.3291139240506329,0.17142857142857143,0.17346938775510204,0.29508196721311475,0.0018427518427518428,0.0319634703196347,0.0,0.002626970227670753,0.10909090909090909
Yelis3,0.009237875288683603,0.031446540880503145,0.020833333333333332,0.0711864406779661,0.1256544502617801,0.03870967741935484,0.0391566265060241,0.11428571428571428,0.1043956043956044,0.0,0.08666666666666667,0.009575923392612859,0.031088082901554404,0.03481012658227848,0.0639269406392694,0.020833333333333332,0.004790419161676647,0.04597701149425287,0.04153354632587859,0.033112582781456956,0.08648648648648649,0.09523809523809523,0.06043956043956044,0.03669724770642202,0.0,0.05161290322580645,0.049689440993788817,0.02531645569620253,0.030864197530864196,0.09375,0.0,0.04216867469879518,0.08143322475570032,0.1513157894736842,0.1793103448275862,0.1417910447761194,0.008668242710795903,0.029545454545454545,0.0,0.008413461538461538,0.03597122302158273
begarzonf,0.028250934773577065,0.013392857142857142,0.009237875288683603,0.046632124352331605,0.03483606557377049,0.015765765765765764,0.029173419773095625,0.04525862068965517,0.04025423728813559,0.0,0.029545454545454545,0.03838383838383838,0.05359877488514548,0.024916943521594685,0.025490196078431372,0.009237875288683603,0.0111671469740634,0.017241379310344827,0.0387858347386172,0.006772009029345372,0.03805496828752643,0.041758241758241756,0.023305084745762712,0.02178217821782178,0.0,0.01569506726457399,0.026845637583892617,0.018018018018018018,0.02237136465324385,0.028761061946902654,0.04216867469879518,0.0,0.05660377358490566,0.05241935483870968,0.05327868852459016,0.0368763557483731,0.016129032258064516,0.017915309446254073,0.0,0.012806026365348399,0.01545253863134658
kmendezp96,0.011477761836441894,0.10588235294117647,0.04054054054054054,0.15492957746478872,0.12403100775193798,0.07058823529411765,0.08267716535433071,0.20192307692307693,0.19090909090909092,0.0,0.17721518987341772,0.01984732824427481,0.08250825082508251,0.06639004149377593,0.05844155844155844,0.04054054054054054,0.008240626287597858,0.05660377358490566,0.08936170212765958,0.03614457831325301,0.1592920353982301,0.1875,0.06956521739130435,0.07586206896551724,0.0,0.06896551724137931,0.08791208791208792,0.045454545454545456,0.043010752688172046,0.3291139240506329,0.08143322475570032,0.05660377358490566,0.0,0.1870967741935484,0.1891891891891892,0.20689655172413793,0.0073200488003253355,0.03985507246376811,0.0,0.008147512864493996,0.06086956521739131
leguzman,0.01330166270783848,0.10891089108910891,0.03260869565217391,0.1092436974789916,0.16428571428571428,0.11224489795918367,0.17670682730923695,0.4158415841584158,0.4056603773584906,0.0,0.1935483870967742,0.014792899408284023,0.09841269841269841,0.07421875,0.07100591715976332,0.03260869565217391,0.013569078947368422,0.1206896551724138,0.15611814345991562,0.07216494845360824,0.5204081632653061,0.2571428571428571,0.11904761904761904,0.09433962264150944,0.0,0.08823529411764706,0.13592233009708737,0.03773584905660377,0.09523809523809523,0.17142857142857143,0.1513157894736842,0.05241935483870968,0.1870967741935484,0.0,0.3188405797101449,0.25862068965517243,0.008335027444602561,0.06159420289855073,0.0,0.01245704467353952,0.0847457627118644
luealfonsoru,0.01383587786259542,0.08333333333333333,0.03571428571428571,0.11790393013100436,0.15671641791044777,0.09782608695652174,0.14457831325301204,0.4673913043478261,0.6022727272727273,0.0,0.21176470588235294,0.02416918429003021,0.06624605678233439,0.05533596837944664,0.06134969325153374,0.03571428571428571,0.006142506142506142,0.12962962962962962,0.09917355371900827,0.054945054945054944,0.41,0.20388349514563106,0.09917355371900827,0.09210526315789473,0.0,0.08421052631578947,0.10101010101010101,0.05154639175257732,0.10309278350515463,0.17346938775510204,0.1793103448275862,0.05327868852459016,0.1891891891891892,0.3188405797101449,0.0,0.32323232323232326,0.007333469138317376,0.045112781954887216,0.0,0.0055817947617003,0.0660377358490566
