,top3,lemartinp,nfmorenog,AFelipeGA,bottom3,dduartec,srmedinac,bottom1,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,top2,juclopezso,afforeroc,dagofonseca,top4,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,bottom4,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom2,DavidQP,afceballosr,lizzyt10h,top1,jumcorredorro
DianaNavarrete,0.0015564202334630351,0.06451612903225806,0.05357142857142857,0.375,0.0,0.0012809564474807857,0.05,0.0,0.375,0.03260869565217391,0.0,0.0,0.0034482758620689655,0.016574585635359115,0.09090909090909091,0.2727272727272727,0.011494252873563218,0.031914893617021274,0.02112676056338028,0.057971014492753624,0.0006013229104028864,0.0016163793103448276,0.07894736842105263,0.14285714285714285,0.07407407407407407,0.026785714285714284,0.038461538461538464,0.02702702702702703,0.13636363636363635,0.05172413793103448,0.12,0.08571428571428572,0.3333333333333333,0.04285714285714286,0.06976744186046512,0.2,0.004398826979472141,0.01764705882352941
jdmonroyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003367003367003367,0.04371584699453552,0.10256410256410256,0.4,0.018796992481203006,0.0297029702970297,0.0410958904109589,0.05263157894736842,0.0012016823552974164,0.0026867275658248252,0.09090909090909091,0.2916666666666667,0.125,0.042735042735042736,0.07317073170731707,0.06140350877192982,0.14285714285714285,0.0967741935483871,0.20689655172413793,0.18421052631578946,0.1875,0.08108108108108109,0.15217391304347827,0.3157894736842105,0.010218978102189781,0.034482758620689655
jorge52an,0.014229811454998222,0.026490066225165563,0.02127659574468085,0.003484320557491289,0.010917030567685589,0.017462165308498253,0.008902077151335312,0.0,0.003484320557491289,0.019178082191780823,0.0034482758620689655,0.003367003367003367,0.0,0.046511627906976744,0.014619883040935672,0.0030864197530864196,0.03790613718411552,0.06806282722513089,0.020134228187919462,0.015873015873015872,0.005880121396054629,0.009771986970684038,0.01440922190201729,0.006006006006006006,0.0,0.02158273381294964,0.01818181818181818,0.029055690072639227,0.005988023952095809,0.01639344262295082,0.005934718100890208,0.014534883720930232,0.003105590062111801,0.03783783783783784,0.014204545454545454,0.003048780487804878,0.024691358024691357,0.04086021505376344
top2,0.014417744916820702,0.0797872340425532,0.05045871559633028,0.022598870056497175,0.011363636363636364,0.015751211631663976,0.05909090909090909,0.00558659217877095,0.016853932584269662,0.09053497942386832,0.016574585635359115,0.04371584699453552,0.046511627906976744,0.0,0.04477611940298507,0.03296703296703297,0.06310679611650485,0.06692913385826772,0.06688963210702341,0.05106382978723404,0.0074102964118564745,0.013459621136590228,0.043689320388349516,0.058823529411764705,0.020100502512562814,0.06642066420664207,0.07142857142857142,0.06666666666666667,0.02577319587628866,0.0730593607305936,0.046632124352331605,0.06532663316582915,0.02197802197802198,0.07860262008733625,0.0891089108910891,0.043478260869565216,0.04884004884004884,0.051515151515151514
juclopezso,0.0038669760247486465,0.1,0.15714285714285714,0.1,0.0,0.003391267486222976,0.0625,0.0,0.1,0.10377358490566038,0.09090909090909091,0.10256410256410256,0.014619883040935672,0.04477611940298507,0.0,0.12121212121212122,0.03985507246376811,0.08108108108108109,0.09803921568627451,0.11627906976744186,0.0021982414068745003,0.006417112299465241,0.10344827586206896,0.09302325581395349,0.061224489795918366,0.09523809523809523,0.10638297872340426,0.06201550387596899,0.09090909090909091,0.16666666666666666,0.13333333333333333,0.10909090909090909,0.09375,0.09090909090909091,0.13114754098360656,0.10810810810810811,0.014326647564469915,0.037037037037037035
afforeroc,0.001946282600233554,0.13793103448275862,0.09259259259259259,0.5714285714285714,0.005405405405405406,0.0017086715079026058,0.10526315789473684,0.1111111111111111,0.375,0.06741573033707865,0.2727272727272727,0.4,0.0030864197530864196,0.03296703296703297,0.12121212121212122,0.0,0.015384615384615385,0.031914893617021274,0.03571428571428571,0.04285714285714286,0.0012033694344163659,0.002696871628910464,0.07894736842105263,0.2631578947368421,0.11538461538461539,0.036036036036036036,0.06578947368421052,0.045871559633027525,0.19047619047619047,0.08928571428571429,0.21739130434782608,0.15151515151515152,0.3333333333333333,0.07352941176470588,0.15,0.5,0.008836524300441826,0.02976190476190476
dagofonseca,0.01254930082466834,0.05204460966542751,0.061855670103092786,0.011627906976744186,0.01160092807424594,0.015655577299412915,0.016233766233766232,0.007751937984496124,0.011627906976744186,0.078125,0.011494252873563218,0.018796992481203006,0.03790613718411552,0.06310679611650485,0.03985507246376811,0.015384615384615385,0.0,0.08408408408408409,0.06233766233766234,0.06309148264984227,0.009604302727621975,0.019203072491598656,0.04452054794520548,0.014084507042253521,0.01384083044982699,0.06162464985994398,0.06153846153846154,0.0708215297450425,0.01048951048951049,0.08695652173913043,0.02456140350877193,0.027210884353741496,0.01098901098901099,0.06984126984126984,0.05084745762711865,0.018050541516245487,0.34992887624466573,0.06845965770171149
top4,0.011419870574800152,0.08411214953271028,0.12698412698412698,0.03296703296703297,0.011278195488721804,0.019311502938706968,0.028169014084507043,0.010869565217391304,0.03296703296703297,0.14102564102564102,0.031914893617021274,0.0297029702970297,0.06806282722513089,0.06692913385826772,0.08108108108108109,0.031914893617021274,0.08408408408408409,0.0,0.09183673469387756,0.11811023622047244,0.004964257347100874,0.014736842105263158,0.0784313725490196,0.06896551724137931,0.020833333333333332,0.10179640718562874,0.12781954887218044,0.09580838323353294,0.03296703296703297,0.14035087719298245,0.043010752688172046,0.08080808080808081,0.038461538461538464,0.10077519379844961,0.11650485436893204,0.06097560975609756,0.03146374829001368,0.16346153846153846
oacastillol,0.007073715562174236,0.0718954248366013,0.14457831325301204,0.028985507246376812,0.006349206349206349,0.012264922322158627,0.031914893617021274,0.007142857142857143,0.02158273381294964,0.10784313725490197,0.02112676056338028,0.0410958904109589,0.020134228187919462,0.06688963210702341,0.09803921568627451,0.03571428571428571,0.06233766233766234,0.09183673469387756,0.0,0.06976744186046512,0.006003098373353989,0.01726689689195856,0.05627705627705628,0.0365296803652968,0.017543859649122806,0.09655172413793103,0.07984790874524715,0.07094594594594594,0.017857142857142856,0.14782608695652175,0.03125,0.06167400881057269,0.014150943396226415,0.06153846153846154,0.06866952789699571,0.04245283018867924,0.04964539007092199,0.09302325581395349
ncampuzano,0.003429878048780488,0.09523809523809523,0.12380952380952381,0.04477611940298507,0.00823045267489712,0.006278777731268313,0.03389830508474576,0.0,0.04477611940298507,0.14925373134328357,0.057971014492753624,0.05263157894736842,0.015873015873015872,0.05106382978723404,0.11627906976744186,0.04285714285714286,0.06309148264984227,0.11811023622047244,0.06976744186046512,0.0,0.0027662517289073307,0.016221873364730507,0.06896551724137931,0.028846153846153848,0.01818181818181818,0.09392265193370165,0.10810810810810811,0.053475935828877004,0.038461538461538464,0.14285714285714285,0.037383177570093455,0.05217391304347826,0.03260869565217391,0.07586206896551724,0.075,0.041237113402061855,0.03225806451612903,0.06666666666666667
