,Student,Group,added_sum,phase
119,juligarji,3.0,[],1
120,nfmorenog,3.0,"['console.log', 'entry.latitude', 'bootstrap.min.js', 'bootstrap.min.css', '.getJSON', 'jquery.min.js', 'theme.min.css', 'j.json', '.each', 'entry.longitude', 'data.cityofchicago.org', 'markersArray.push']",1
121,AFelipeGA,3.0,"['.getPosition', '.onreadystatechange', '.readyState', '.send', '.responseText', 'marker.addListener', 'test.js', '.status', '.lat', 'info.data.length', '.open']",1
122,mballeng91,3.0,"['xmlhttp.responseText', 'Math.PI', 'Math.sqrt', 'infowindow.setContent', 'xmlhttp.send', 'sitecoords.lng', 'washedData.length', 'xmlhttp.open', 'boundBox.getNorthEast', 'JSON.stringify', 'xmlhttp.status', 'Math.cos', 'json.data', 'sitecoords.lat', 'washedData.push', 'northEast.lat', 'google.maps.ElevationService', 'boundBox.getSouthWest', 'southWest.lat', 'southWest.lng', 'value.setMap', 'Math.atan', 'coords.lng', 'Math.random', '.innerHTML', 'Math.sin', 'google.maps.LatLng', 'JSON.parse', 'locations.push', 'Math.round', 'rows.json', 'dataLine.push', 'google.maps.ElevationStatus.OK', 'google.maps.InfoWindow', 'bootstrap.min.js', 'infowindow.close', 'bootstrap.min.css', 'coords.lat', 'google.maps.event.addListener', 'elevator.getElevationForLocations', 'xmlhttp.setRequestHeader', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', '.each', 'northEast.lng', 'infowindow.open', 'map.getBounds']",1
123,dduartec,3.0,[],1
124,srmedinac,3.0,['estilos.css'],1
125,wilson911013,3.0,"['xmlhttp.responseText', 'xmlhttp.send', 'rentMarkerVisited.push', 'rentMarkerVisited.length', 'info.setAttribute', 'heatmap.setMap', 'document.createElement', 'xmlhttp.open', 'lastMarkerVisited.phone', 'dataHeatMap.push', 'xmlhttp.status', '.main', 'heatmap.getMap', 'visitRent.setAttribute', 'info.marker.phone', 'CrimesHeatMap.js', 'api.openweathermap.org', 'lastMarkerVisited.management', 'visitRent.marker', 'lastMarkerVisited.zip', 'visitRent.innerHTML', 'lastMarkerVisited.address', '.append', 'info.marker.zip', 'JSON.parse', 'info.marker.management', 'styles.css', 'info.marker.property', '.property', 'info.marker.address', 'selected.setAttribute', 'heatmap.set', 'bootstrap.min.css', 'Weather.js', 'google.maps.visualization.HeatmapLayer', 'json.weather', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'lastMarkerVisited.property', 'bootstrap.min.js', 'heatmap.get']",1
126,wapiravaguens,3.0,"['xmlhttp.responseText', 'api.openweathermap.org', 'xmlhttp.send', 'xmlhttp.status', 'xmlhttp.onreadystatechange', '.weatherfeed', '.ready', 'xmlhttp.readyState', '.on', 'xmlhttp.open', 'implementation.js']",1
127,davidh17,3.0,"['location.pathname.replace', 'this.hash', 'this.pathname.replace', '.top', '.click', 'location.hostname', 'this.hash.slice', 'this.hostname', 'javascript.js', '.animate', 'target.length', 'target.offset']",1
128,DianaNavarrete,3.0,[],1
129,jdmonroyg,3.0,['copia.jpg'],1
130,jorge52an,3.0,"['.clone', '.panel', 'console.log', 'temp.find', '.title', 'data.data', 'data.cityofchicago.org', 'myJs.js', '.card', '.append', '.content', '.myCardPanel', '.get', 'rows.json']",1
131,jscastelblancoh,3.0,[],1
132,juclopezso,3.0,"['mdb.min.css', 'button.js', 'scripts.js', 'scrollspy.js', 'modal.js', 'tooltip.js', 'collapse.js', 'jquery.min.js', 'transition.js', 'carousel.js', 'alert.js', '.PNG', 'dropdown.js', 'window.scrollTo', 'popover.js', 'affix.js', 'styles.css', 'tab.js']",1
133,afforeroc,3.0,"['marker.info.open', 'favicon.ico', 'materialize.min.css', 'line.data.datasets', '.button', 'materialize.css', 'navigator.userAgent.toLowerCase', 'bar.getElementsAtEvent', 'menu.js', 'chicago.mp', 'Chart.js', 'marker.info', '.sideNav', 'browser.css', 'line.data.labels', 'radar.getElementsAtEvent', 'graph.js', 'google.maps.InfoWindow', '.click', 'google.maps.event.addListener', 'Chart.bundle.min.js', 'line.getElementsAtEvent', 'materialize.min.js']",1
134,dagofonseca,3.0,[],1
135,lacardenasv,3.0,"['infowindow.setContent', '.innerHTML.replace', 'String.prototype.capitalizeFirstLetter', 'dataMap.js', 'style.css', '.addEventListener', 'dataCrime.js', '.phone', 'washedData.length', '.propertyName', '.toFixed', '.units', 'flightPath.setMap', '.latitude', '.position', 'google.maps.ElevationService', '.toUpperCase', '.lat', 'value.setMap', '.propertyType', 'google.maps.Polyline', 'document.write', 'jquery.min.js', 'this.slice', '.innerHTML', 'google.maps.LatLng', '.lng', 'locations.push', '.longitude', '.address', 'google.maps.ElevationStatus.OK', 'infowindow.close', 'bootstrap.min.css', 'this.charAt', 'google.maps.event.addListener', 'elevator.getElevationForLocations', '.each', 'infowindow.open']",1
136,oacastillol,3.0,[],1
137,ncampuzano,3.0,"['.css', 'buttons.css']",1
138,adriel62,3.0,"['xmlhttp.responseText', 'xmlhttp.send', 'rows.xml', 'mapOptions.center', 'xmlhttp.open', 'xmlhttp.status', '.nodeValue', 'dataRent.js', '.latitude', 'GetZestimate.htm', 'ppgi.xml', 'x.description', 'ppgi.json', '.append', '.innerHTML', 'JSON.parse', 'xmlDoc.getElementsByTagName', 'marker.setMap', '.longitude', 'data.description', '.coo', '.coordinates', '.childNodes', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'parser.parseFromString', 'google.maps.Marker', 'google.maps.coordinate']",1
139,capinzor,3.0,"['oAttrib.value.replace', 'attrList.length', 'oXMLParent.attributes.item', 'fullPath.split', 'config.arrayAccessFormPaths.length', 'options.stripElemPrefix', 'librariesObjects.length', '.css', 'config.arrayAccessFormPaths', 'this.xml', '.namespaceURI', 'options.grokAttr', 'node.localName', 'options.childrenAsArray', 'this.grokType', 'this.lng', 'config.jsonPropertiesFilter', 'config.escapeMode', '.address.longitude', 'config.keepCData', 'd.getMonth', 'options.grokText', 'dt.toISOString', 'str.replace', 'd.getDate', 'hakim.se', 'result.data', 'node.childNodes', 'this.asDateTime', '.constructor', 'grunt.initConfig', 'lab.hakim.se', '.support.cors', 'grunt.template.today', 'GetUpdatedPropertyDetails.htm', 'opensource.org', 'data.cityofchicago.org', 'this.parseXML', 'grunt.option', 'DOMNodeTypes.COMMENT', 'options.attrsAsObject', 'config.jsonPropertiesFilter.length', '.serializeToString', 'config.datetimeAccessFormPaths.length', '.indexOf', 'DOMNodeTypes.DOCUMENT', 'oNode.nodeValue', 'vResult.hasOwnProperty', 'markers.push', '.address.street', 'oXMLParent.attributes.length', 'sCollectedTxt.replace', 'this.parseXmlString', 'Libraries.js', 'xmlDocStr.indexOf', 'options.mergeCDATA', 'DataHouses.js', 'options.xmlns', 'config.xmlElementsFilter', 'reveal.min.css', 'markerclusterer.js', 'define.amd', 'config.emptyNodeForm', 'grunt.registerTask', 'suffix.length', 'marker.addListener', 'oAttrib.namespaceURI', 'this.lat', 'subObj.toISOString', 'node.prefix', 'this.version', '.min.js', '.scss', '.replace', '.v', 'DOMNodeTypes.ELEMENT', 'i.test', 'oXMLParent.attributes', 'oXMLParent.hasChildNodes', 'node.baseName', 'attr.name', 'xmlDoc.getElementsByTagNameNS', 'js.xml', 'node.nodeType', 'this.parseString', 'oXMLParent.childNodes.item', 'this.asArray', 'prop.split', 'window.ActiveXObject', 'config.attributePrefix', 'xmlDoc.loadXML', 'developer.mozilla.org', 'config.attributePrefix.length', 'reveal.scss', 'houses.json', 'secondBits.length', 'pkg.version', 'd.setMilliseconds', 'oNode.nodeName', 'sValue.toLowerCase', 'config.datetimeAccessFormPaths', 'attrName.substr', 'options.namespaceKey', 'oXMLParent.childNodes.length', 'google.maps.InfoWindow', 'xmlDoc.async', 'xmlDoc.xml', 'prop.length', 'd.getFullYear', 'oNode.nodeType', '.get', 'grunt.file.readJSON', 'config.stripWhitespaces', 'prop.indexOf', 'oAttrib.name', 'meta.banner', 'Date.UTC', 'config.skipEmptyTextNodesForObj', 'this.getVersion', 'node.nodeName', 'oAttrib.name.replace', 'xmlDocStr.substr', 'LoveloLight.otf', 'attr.value', 'str.indexOf', 'str.length', 'reveal.js', 'Markers.js', 'this.xmlToString', 'markerClustererarray.push', '.lat', 'DataZillow.js', '.length', 'presentation.zip', '.test', '.getJSON', 'oXMLParent.namespaceURI', 'window.DOMParser', 'options.cdataKey', 'stdFiltersArrayForm.length', 'rows.json', 'config.enableToStringFunc', 'Capsuula.ttf', 'grunt.loadNpmTasks', 'd.getMinutes', 'this.stringToXML', 'options.attrKey', 'options.normalize', 'Gruntfile.js', 'DOMNodeTypes.TEXT', '.toISOString', 'module.exports', '.getElementsByTagName', 'nodeChildren.item', 'parser.parseFromString', 'markersList.length', 'd.getSeconds', 'node.attributes.item', 'reveal.css', 'js.org', 'oNode.nodeName.replace', 'd.setMinutes', 'result.toString', 'reveal.min.js', 'jsonObjField.toString', 'json.js', 'this.json', 'root.X', 'data.data', '.push', 'xmlToJSON.parseXML', '.split', 'd.getMilliseconds', 'config.useDoubleQuotes', 'd.getHours', 'filterPath.test', 'd.setHours', 'this.Description', 'config.arrayAccessForm', '.call', '.zpid', '.address.latitude', 'text.join', 'package.json', 'DOMNodeTypes.CDATA', 'this.toXmlDateTime', 'ait.toString', 'text.trim', 'jsonArrRoot.length', 'options.valueKey', 'options.textKey', 'child.nodeType', 'result.data.length', 'Microsoft.XMLDOM', 'libra.push', '.lng', 'options.stripAttrPrefix', 'attrList.push', 'GetDeepComps.htm', 'config.xmlElementsFilter.length', 'node.nodeValue', '.Description', 'node.attributes.length', 'd.getTimezoneOffset', 'nodeChildren.length', 'infowindow.open', 'houseslist.push']",1
140,ofnanezn,3.0,"['.gif', 'bootstrap.min.css', 'Terms.htm', 'GetVersionedResource.htm', 'bootstrap.min.js']",1
141,macuestap,3.0,"['this.myInfo.push', 'OrderData.sortElementAsc', 'this.myInfo', 'policeStations.url', '.name', 'auxObj.picAddress', 'properties.actions', 'auxObj.marker', 'obj.addSortHouse', '.getHousesOrder', 'myself.methods.getAllInfo', 'arrayIn.length', 'CreatorVar.getHouseRef', 'obj.checked', 'auxObj.address', '.media', 'inputArray.length', 'result.climate.stationid', 'OrderData.getPointerCurrentOrder', 'chicagoOfficial.url', 'google.maps.LatLng', 'newValue.value', 'result.climate.datasetid', '.address', 'this.ajaxData', 'obj.addMyInfo', '.addRecords', 'interface.js', 'policeCheck.addEventListener', 'DataSet.getAddressIcons', 'radio.checked', 'bootstrap.min.js', 'this.getMyInfo', 'obj.jsonData.token', 'this.deleteRecords', 'WindowDrawer.loadSortedHouses', 'this.value', 'obj.jsonData.stationid', '.marker.getPosition', 'this.iconAddress', 'this.ajaxHeaders', 'obj.getMyInfo', 'this.addSortHouse', '.index', 'result.climate.url', 'houseCheck.addEventListener', '.one', 'MainMap.wrapperInit', 'this.methods.getAjaxData', 'filledHouse.jpg', '.marker', 'Math.random', 'MainMap.toggleVisibleMarker', 'obj.addRecords', 'this.getHousesOrder', 'DataSet.getDataSet', 'this.housesOrder', 'this.methods.getAjaxHeaders', 'OrderData.setBufferInfoSize', 'CreatorVar.setPoliceRef', 'this.addRecords', 'this.array', '.src', 'blankHouse.jpeg', 'DataSet.addCurrentDataSet', 'this.methods.getValue', 'DataSet.setHousesInfo', 'this.checked', 'this.getRecord', 'Interface.ensureImplements', 'WindowDrawer.chargeEvents', 'OrderData.addBufferInfo', 'this.toggleVisibilityMarker', 'OrderData.getBufferInfo', 'this.methods.getInfoJson', 'obj.jsonData.datasetid', 'result.health.x', 'bufferInfo.push', 'this.methods', '.innerHTML', 'this.getIconAddress', 'auxObj.name', 'this.methods.getTypeCall', 'bootstrap.min.css', 'inputArray.push', 'MainMap.addMarker', 'this.jsonData', 'auxObj.phone', 'myself.methods.getOneRecordInfo', 'this.typeCall', 'currentDataSets.push', 'MainMap.getMap', 'CreatorVar.setHouseRef', 'this.methods.getIconAddress', 'healthStatistics.url', 'housesByDist.push', 'Array.isArray', 'xhr.open', 'MainMap.initMap', 'OrderData.updatePointerHouses', '.toFixed', 'result.getElementsByTagName', '.push', 'WindowDrawer.visibilityDataSet', '.getRecord', 'this.jsonData.address', 'currentDataSets.splice', 'console.log', 'result.climate.token', 'radio.addEventListener', 'objOut.length', 'heading.length', '.marker.setVisible', 'DataSet.xmlDataSet', 'CreatorVar.getPoliceRef', 'inputArray.splice', '.toggleVisibilityMarker', 'DataSet.getInfoDataSet', '.value', 'this.addMyInfo', 'MainMap.calcDistance']",1
142,spenas,3.0,[],1
143,kgbayala528,3.0,"['scope.map', 'this.getCrimes', '.service', 'aria.js', 'mdIconProvider.defaultFontSet', 'response.data', 'scope.map.setCenter', 'angular.js', '.then', 'scope.crimes', 'PositionService.getAffordableRentalHousing', 'scope.rentalHousingMarkers', 'scope.rentalHousingMarkers.push', 'scope.addMarker', 'data.length', 'scope.showAffordableRentalHousing', 'scope.showCrimes', 'scope.showFilters', 'this.getAffordableRentalHousing', 'console.log', 'NgMap.getMap', 'material.min.css', 'scope.crimeMarkers.push', 'material.min.js', 'scope.initialPosition', 'google.maps.LatLng', 'infoWindow.open', '.catch', 'scope.crimeMarkers.length', 'data.cityofchicago.org', 'marker.setMap', 'rows.json', 'scope.rentalHousing', 'scope.setCenter', 'animate.js', 'map.js', 'response.data.data', 'http.get', 'scope.actualPosition', 'scope.crimeMarkers', '.toggle', 'scope.rentalHousingMarkers.length', 'positionService.js', 'PositionService.getCrimes']",1
144,lgmoralesa,3.0,[],1
145,ronaldsg20,3.0,"['console.log', 'xi.json', 'data.length', 'google.maps.visualization.HeatmapLayer', '.ajax', 'jquery.min.js', '.done', '.ready', 'data.cityofchicago.org']",1
146,cccristanchoc,3.0,[],1
147,jmalvarezd,3.0,"['rows.json', 'json.data']",1
148,smarquezo,3.0,"['this.responseText', 'xmlhttp.send', 'iimk.json', 'this.status', 'tables.css', 'this.readyState', 'xmlhttp.onreadystatechange', '.address', '.innerHTML', 'JSON.parse', '.property', 'data.cityofchicago.org', 'xmlhttp.open', 'dataSet.js']",1
149,sarizag,3.0,[],1
150,Chranium,3.0,"['results.features', 'window.eqfeed', 'document.getElementById', '.geometry.coordinates', 'GeoJSONP.js', '.appendChild', 'script.src', 'week.geojsonp', 'results.features.length', 'google.maps.LatLng', 'google.maps.Marker', 'document.getElementsByTagName', 'document.createElement', 'google.maps.Map']",1
151,DavidQP,3.0,[],1
