,user2,group,phase,exploration,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,abs_perform_diff_best
613,nfmorenog,3,5,0.0,0.0,2.0,3.0,1.0,0.0,237.5
614,AFelipeGA,3,5,0.0,4.0,3.0,5.0,2.0,0.0,205.82999999999998
615,mballeng91,3,5,0.0,2.0,6.0,6.0,2.0,1.0,245.82999999999998
616,dduartec,3,5,0.9550898203592815,1.0,5.0,4.0,1.0,1.0,270.83
617,srmedinac,3,5,0.0,1.0,2.0,4.0,1.0,0.0,242.5
618,wilson911013,3,5,0.0,0.0,1.0,2.0,1.0,0.0,275.83
619,wapiravaguens,3,5,0.0561797752808989,0.0,1.0,4.0,2.0,1.0,140.82999999999998
620,davidh17,3,5,0.011235955056179803,3.0,3.0,5.0,3.0,0.0,283.33
621,DianaNavarrete,3,5,0.0,0.0,1.0,5.0,2.0,0.0,242.5
622,jdmonroyg,3,5,1.0,0.0,1.0,4.0,1.0,2.0,358.33
623,jorge52an,3,5,0.14197530864197527,4.0,4.0,5.0,2.0,12.0,114.99999999999997
624,jscastelblancoh,3,5,0.10582010582010581,0.0,0.0,3.0,2.0,8.0,41.65999999999997
625,juclopezso,3,5,0.033333333333333326,1.0,3.0,3.0,2.0,1.0,206.66
626,afforeroc,3,5,0.0,1.0,4.0,3.0,2.0,0.0,259.15999999999997
627,dagofonseca,3,5,0.05166051660516602,0.0,0.0,2.0,2.0,2.0,93.32999999999998
628,lacardenasv,3,5,0.007292173067574126,1.0,2.0,5.0,4.0,5.0,98.32999999999998
629,oacastillol,3,5,0.01567398119122254,2.0,1.0,5.0,1.0,1.0,237.5
630,ncampuzano,3,5,0.6190476190476191,1.0,3.0,4.0,2.0,4.0,213.32999999999998
631,adriel62,3,5,0.9797779540047581,1.0,3.0,5.0,2.0,7.0,147.49999999999997
632,capinzor,3,5,0.013963480128893702,0.0,0.0,2.0,2.0,6.0,163.32999999999998
633,ofnanezn,3,5,0.0,0.0,1.0,6.0,2.0,0.0,229.99999999999997
634,macuestap,3,5,0.0,0.0,1.0,4.0,1.0,0.0,209.16
635,spenas,3,5,0.0,5.0,4.0,6.0,1.0,0.0,242.5
636,kgbayala528,3,5,0.0,1.0,5.0,6.0,2.0,0.0,114.99999999999997
637,lgmoralesa,3,5,0.038961038961038974,2.0,2.0,4.0,3.0,4.0,20.829999999999984
638,ronaldsg20,3,5,0.5289256198347108,0.0,3.0,5.0,2.0,3.0,192.49999999999997
639,cccristanchoc,3,5,0.24,1.0,1.0,4.0,1.0,1.0,242.5
640,jmalvarezd,3,5,0.054545454545454564,3.0,3.0,5.0,2.0,2.0,139.99999999999997
641,smarquezo,3,5,0.671875,0.0,0.0,2.0,0.0,1.0,246.65999999999997
642,sarizag,3,5,0.22499999999999998,4.0,3.0,6.0,2.0,2.0,167.49999999999997
643,Chranium,3,5,0.0,4.0,5.0,6.0,2.0,0.0,263.33
644,DavidQP,3,5,0.2586206896551724,2.0,3.0,4.0,3.0,1.0,86.65999999999997
645,afceballosr,3,5,0.0714285714285714,1.0,3.0,5.0,2.0,1.0,93.32999999999998
646,lizzyt10h,3,5,0.16883116883116878,2.0,1.0,5.0,2.0,5.0,212.49999999999997
647,NicolasPrr,3,5,0.814327485380117,3.0,4.0,3.0,2.0,1.0,237.5
648,jumcorredorro,3,5,0.08287292817679559,1.0,1.0,5.0,2.0,1.0,53.329999999999984
649,feartheGru,3,5,0.0,2.0,2.0,5.0,2.0,0.0,358.33
650,Danielsv9207,3,5,0.0,1.0,1.0,1.0,3.0,0.0,358.33
651,JhonEmmanuelTorres,3,5,0.0,5.0,4.0,5.0,2.0,0.0,358.33
