,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
147,juclopezso,4,0.8333333333333334,3,206.66,juclopezso,1.0,3.0,3.0,2.0
148,lacardenasv,4,0.8365384615384616,3,98.32999999999998,lacardenasv,1.0,2.0,5.0,4.0
149,ofnanezn,4,0.8392857142857143,3,229.99999999999997,ofnanezn,0.0,1.0,6.0,2.0
150,jumcorredorro,4,0.8516949152542372,3,53.329999999999984,jumcorredorro,1.0,1.0,5.0,2.0
151,oacastillol,4,0.8521739130434782,3,237.5,oacastillol,2.0,1.0,5.0,1.0
152,DavidQP,4,0.8522727272727273,3,86.65999999999997,DavidQP,2.0,3.0,4.0,3.0
153,ncampuzano,4,0.8571428571428572,3,213.32999999999998,ncampuzano,1.0,3.0,4.0,2.0
154,adriel62,4,0.8642533936651584,3,147.49999999999997,adriel62,1.0,3.0,5.0,2.0
155,cccristanchoc,4,0.8717948717948718,3,242.5,cccristanchoc,1.0,1.0,4.0,1.0
156,srmedinac,4,0.8840579710144928,3,242.5,srmedinac,1.0,2.0,4.0,1.0
157,wilson911013,4,0.8888888888888888,3,275.83,wilson911013,0.0,1.0,2.0,1.0
158,jscastelblancoh,4,0.9068825910931174,3,41.65999999999997,jscastelblancoh,0.0,0.0,3.0,2.0
159,jorge52an,4,0.9319371727748691,3,114.99999999999997,jorge52an,4.0,4.0,5.0,2.0
160,capinzor,4,0.9647251845775225,3,163.32999999999998,capinzor,0.0,0.0,2.0,2.0
161,dduartec,4,0.9695121951219512,3,270.83,dduartec,1.0,5.0,4.0,1.0
162,juligarji,4,0.9704100652376515,3,0.0,juligarji,4.0,4.0,5.0,3.0
163,mballeng91,4,0.9852941176470589,3,245.82999999999998,mballeng91,2.0,6.0,6.0,2.0
164,crarojasca,1,0.0,2,215.0,crarojasca,1.0,3.0,5.0,2.0
165,ccvacad,1,0.0,2,260.0,ccvacad,1.0,0.0,4.0,2.0
166,jjmuesesq,1,0.0,2,177.5,jjmuesesq,0.0,3.0,2.0,2.0
167,CSebasGomez,1,0.0,2,260.0,CSebasGomez,3.0,3.0,5.0,2.0
168,mdbelloc,1,0.303030303030303,2,168.32999999999998,mdbelloc,1.0,3.0,2.0,2.0
169,jhonsd1996,1,0.33333333333333337,2,160.0,jhonsd1996,3.0,4.0,4.0,2.0
170,diegocruz10,1,0.34375,2,169.17000000000002,diegocruz10,3.0,3.0,3.0,1.0
171,luealfonsoru,1,0.375,2,105.83000000000001,luealfonsoru,3.0,4.0,4.0,2.0
172,Phoenixest,1,0.4,2,185.82999999999998,Phoenixest,0.0,1.0,3.0,1.0
173,sagilm,1,0.4,2,210.0,sagilm,0.0,0.0,3.0,1.0
