,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,falperezgo,top5,bottom5,top1,gcantem,Semoralesga,top2,top3,stevenbustos,jufcontrerasco,dsbarrerag,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top4,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
top1,0.0009646302250803858,0.008908685968819599,0.006397952655150352,0.0,0.0009643201542912247,0.016229712858926344,0.0012841091492776886,0.027086677367576244,0.009860050890585241,0.003822873526600828,0.0,0.02078853046594982,0.8247612049963262,0.015206372194062274,0.6540825285338016,0.005216095380029807,0.007633587786259542,0.007369196757553427,0.015690376569037656,0.014519056261343012,0.008999653859466944,0.0,0.001119402985074627,0.009562339095255609,0.010897203051216855,0.01726089417091115,0.02030456852791878,0.007371913011426466,0.020946189960274468,0.008550185873605948,0.0014919806042521448,0.0,0.012098167991704113,0.011082379017362394,0.023842432619212164,0.02754165249914995,0.019279738086576938,0.0,0.0,0.008175399479747306
gcantem,0.017543859649122806,0.11538461538461539,0.08947368421052632,0.0,0.01744186046511628,0.11228070175438597,0.011235955056179775,0.015843429636533086,0.1291866028708134,0.06,0.02078853046594982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Semoralesga,0.0013100436681222707,0.013362068965517242,0.0073624945864010395,0.0,0.0017467248908296944,0.022670025188916875,0.002179598953792502,0.019203413940256046,0.011597938144329897,0.00517464424320828,0.8247612049963262,0.0,0.0,0.015500628403854211,0.7405084186200066,0.006076388888888889,0.01098901098901099,0.006843455945252352,0.01686069851465275,0.015559293523969722,0.0099601593625498,0.0,0.0013043478260869566,0.013281919451585262,0.013496415014761703,0.01581145584725537,0.02441077441077441,0.009005145797598629,0.02384937238493724,0.01039411000433088,0.001738374619730552,0.0,0.013524264120922832,0.013763440860215054,0.021352313167259787,0.03203125,0.02323616392057457,0.0,0.0,0.00864677907479464
top2,0.023622047244094488,0.15337423312883436,0.09395973154362416,0.0,0.0234375,0.10080645161290322,0.03816793893129771,0.019570405727923627,0.10344827586206896,0.07006369426751592,0.015206372194062274,0.0,0.015500628403854211,0.0,0.011669367909238249,0.07741935483870968,0.11059907834101383,0.0855614973262032,0.09142857142857143,0.08641975308641975,0.06963788300835655,0.0,0.020134228187919462,0.16304347826086957,0.14545454545454545,0.008441558441558441,0.13654618473895583,0.10989010989010989,0.12121212121212122,0.1518987341772152,0.02666666666666667,0.0,0.04199475065616798,0.17045454545454544,0.1076923076923077,0.10835214446952596,0.13389121338912133,0.0,0.0,0.0963855421686747
top3,0.0,0.004632693580410324,0.00166333998669328,0.0,0.0,0.016612377850162865,0.0013422818791946308,0.02509255450431921,0.002638522427440633,0.0009956853634251576,0.6540825285338016,0.0,0.7405084186200066,0.011669367909238249,0.0,0.002660458929165281,0.002922077922077922,0.003288391976323578,0.010638297872340425,0.01071776550828191,0.010947763528307789,0.0,0.0,0.00327653997378768,0.010101010101010102,0.038456218010789876,0.013268608414239482,0.0016420361247947454,0.013213019658395102,0.003976143141153081,0.0,0.0,0.009959539371304078,0.0039447731755424065,0.012345679012345678,0.022351500306184935,0.012991230919129588,0.0,0.0,0.00364359059291156
stevenbustos,0.09090909090909091,0.10810810810810811,0.11764705882352941,0.0,0.08695652173913043,0.07051282051282051,0.034482758620689655,0.006944444444444444,0.08860759493670886,0.05084745762711865,0.005216095380029807,0.0,0.006076388888888889,0.07741935483870968,0.002660458929165281,0.0,0.06779661016949153,0.2222222222222222,0.047058823529411764,0.06428571428571428,0.03065134099616858,0.0,0.08823529411764706,0.1,0.0873015873015873,0.0024266490183101697,0.09090909090909091,0.07407407407407407,0.07738095238095238,0.24074074074074073,0.11428571428571428,0.0,0.025454545454545455,0.1375,0.02922077922077922,0.03581267217630854,0.07586206896551724,0.0,0.0,0.09836065573770492
jufcontrerasco,0.031578947368421054,0.3333333333333333,0.27184466019417475,0.0,0.03125,0.05240174672489083,0.050505050505050504,0.0057361376673040155,0.11888111888111888,0.088,0.007633587786259542,0.0,0.01098901098901099,0.11059907834101383,0.002922077922077922,0.06779661016949153,0.0,0.06293706293706294,0.06430868167202572,0.065,0.027777777777777776,0.0,0.030612244897959183,0.1897810218978102,0.05235602094240838,0.0030474531998258597,0.1958762886597938,0.11851851851851852,0.18357487922705315,0.11965811965811966,0.03,0.0,0.03592814371257485,0.183206106870229,0.058333333333333334,0.1,0.2087912087912088,0.0,0.0,0.12931034482758622
dsbarrerag,0.05263157894736842,0.08256880733944955,0.08139534883720931,0.0,0.05172413793103448,0.0855614973262032,0.015384615384615385,0.008296730112249878,0.07964601769911504,0.07692307692307693,0.007369196757553427,0.0,0.006843455945252352,0.0855614973262032,0.003288391976323578,0.2222222222222222,0.06293706293706294,0.0,0.054982817869415807,0.08,0.023178807947019868,0.0,0.04054054054054054,0.061068702290076333,0.09937888198757763,0.00416210295728368,0.06666666666666667,0.07627118644067797,0.06763285024154589,0.16304347826086957,0.039473684210526314,0.0,0.03536977491961415,0.09166666666666666,0.043859649122807015,0.04,0.06521739130434782,0.0,0.0,0.07
wolfstain,0.012711864406779662,0.08394160583941605,0.058365758754863814,0.0,0.01694915254237288,0.06406685236768803,0.004098360655737705,0.02464628023733455,0.09057971014492754,0.05725190839694656,0.015690376569037656,0.0,0.01686069851465275,0.09142857142857143,0.010638297872340425,0.047058823529411764,0.06430868167202572,0.054982817869415807,0.0,0.102803738317757,0.05333333333333334,0.0,0.012552301255230125,0.07420494699646643,0.06542056074766354,0.011501597444089457,0.08746355685131195,0.08148148148148149,0.10919540229885058,0.07936507936507936,0.012448132780082987,0.0,0.03177966101694915,0.08823529411764706,0.06748466257668712,0.07992565055762081,0.09393939393939393,0.0,0.0,0.0625
miaborjaac,0.025423728813559324,0.08484848484848485,0.047619047619047616,0.0,0.025210084033613446,0.12340425531914893,0.058333333333333334,0.012857142857142857,0.08284023668639054,0.07432432432432433,0.014519056261343012,0.0,0.015559293523969722,0.08641975308641975,0.01071776550828191,0.06428571428571428,0.065,0.08,0.102803738317757,0.0,0.09063444108761329,0.0,0.023809523809523808,0.04945054945054945,0.11707317073170732,0.006076388888888889,0.1111111111111111,0.052941176470588235,0.11428571428571428,0.06,0.0234375,0.0,0.047619047619047616,0.09580838323353294,0.08488063660477453,0.06363636363636363,0.09734513274336283,0.0,0.0,0.06711409395973154
