,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage,count
101,20.0,29.17,86.67,0.0,37.5,2.0,jucjimenezmo,0.0,0.0,3.0,2.0,2,1.0
102,40.0,4.159999999999997,205.83,87.5,25.0,2.0,kancas,0.0,0.0,5.0,2.0,2,1.0
103,-20.0,-12.5,17.500000000000014,25.0,25.0,2.0,Gantiva,2.0,4.0,3.0,2.0,2,1.0
104,20.0,4.159999999999997,30.41000000000001,-43.75,50.0,2.0,Dandarprox,0.0,1.0,4.0,2.0,2,1.0
105,0.0,0.0,-87.5,-62.5,-25.0,2.0,debeltranc,1.0,4.0,4.0,1.0,2,9.0
106,0.0,8.329999999999998,-41.66999999999999,-62.5,12.5,2.0,ykchautai,4.0,4.0,4.0,1.0,2,1.0
107,0.0,0.0,-25.000000000000014,-37.5,12.5,2.0,ligibrial,1.0,5.0,3.0,2.0,2,2.0
108,20.0,25.0,120.0,0.0,75.0,2.0,davidrh195,3.0,3.0,5.0,1.0,2,2.0
109,0.0,0.0,37.5,0.0,37.5,2.0,JulianaNino,1.0,1.0,3.0,1.0,2,1.0
110,0.0,-4.170000000000002,-16.669999999999987,-37.5,25.0,2.0,luegilca,0.0,1.0,6.0,2.0,2,0.0
111,-20.0,0.0,-20.0,0.0,0.0,2.0,Yelis3,1.0,4.0,6.0,3.0,2,1.0
112,0.0,0.0,-50.0,-75.0,25.0,2.0,begarzonf,2.0,3.0,4.0,2.0,2,1.0
113,0.0,0.0,25.0,0.0,25.0,2.0,kmendezp96,1.0,5.0,6.0,1.0,2,1.0
114,20.0,-4.159999999999997,90.83999999999997,12.5,62.5,2.0,leguzman,0.0,2.0,5.0,2.0,2,8.0
115,0.0,-4.170000000000002,-16.669999999999987,-37.5,25.0,2.0,luealfonsoru,3.0,4.0,4.0,2.0,2,9.0
116,0.0,4.159999999999997,41.66,25.0,12.5,2.0,oserasoa,4.0,3.0,3.0,1.0,2,1.0
117,0.0,0.0,37.5,0.0,37.5,2.0,lsfinite,1.0,1.0,6.0,3.0,2,6.0
118,-60.0,-12.5,-172.5,-75.0,-25.0,2.0,xdanielsb,3.0,3.0,3.0,2.0,2,0.0
119,0.0,0.0,12.5,0.0,12.5,2.0,CSebasGomez,3.0,3.0,5.0,2.0,2,0.0
120,0.0,0.0,12.5,0.0,12.5,2.0,jhcardenasa,4.0,4.0,5.0,3.0,2,0.0
121,0.0,0.0,12.5,0.0,12.5,2.0,tres-iqus,1.0,1.0,4.0,0.0,2,0.0
122,0.0,0.0,0.0,0.0,0.0,2.0,jscontrerasp,1.0,1.0,4.0,0.0,2,2.0
123,40.0,-4.159999999999997,73.33999999999999,0.0,37.5,3.0,lemartinp,0.0,0.0,4.0,1.0,2,2.0
124,20.0,16.659999999999997,80.41000000000003,6.25,37.5,3.0,juligarji,4.0,4.0,5.0,3.0,2,3.0
125,0.0,4.159999999999997,29.16000000000001,0.0,25.0,3.0,nfmorenog,0.0,2.0,3.0,1.0,2,1.0
126,40.0,12.5,115.0,0.0,62.5,3.0,AFelipeGA,4.0,3.0,5.0,2.0,2,3.0
127,0.0,25.0,100.0,25.0,50.0,3.0,mballeng91,2.0,6.0,6.0,2.0,2,1.0
128,100.0,29.159999999999997,291.65999999999997,75.0,87.5,3.0,dduartec,1.0,5.0,4.0,1.0,2,1.0
129,20.0,33.33,90.83,0.0,37.5,3.0,srmedinac,1.0,2.0,4.0,1.0,2,1.0
130,0.0,-12.5,12.5,0.0,25.0,3.0,wilson911013,0.0,1.0,2.0,1.0,2,1.0
131,20.0,-4.170000000000002,-46.66999999999999,-62.5,0.0,3.0,wapiravaguens,0.0,1.0,4.0,2.0,2,1.0
132,40.0,0.0,90.0,25.0,25.0,3.0,davidh17,3.0,3.0,5.0,3.0,2,0.0
133,20.0,-4.170000000000002,28.330000000000013,0.0,12.5,3.0,DianaNavarrete,0.0,1.0,5.0,2.0,2,1.0
134,0.0,0.0,12.5,0.0,12.5,3.0,jdmonroyg,0.0,1.0,4.0,1.0,2,1.0
135,-20.0,-4.170000000000002,88.33,87.5,25.0,3.0,jorge52an,4.0,4.0,5.0,2.0,2,0.0
136,0.0,12.5,62.50000000000003,25.0,25.0,3.0,jscastelblancoh,0.0,0.0,3.0,2.0,2,0.0
