,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity
140,lacardenasv,3,98.32999999999998,4,1.0,2.0,5.0,4.0,0.02850144733912269
141,oacastillol,3,237.5,4,2.0,1.0,5.0,1.0,0.016596045197740113
142,ncampuzano,3,213.32999999999998,4,1.0,3.0,4.0,2.0,0.01651031894934334
143,adriel62,3,147.49999999999997,4,1.0,3.0,5.0,2.0,0.017556966753828913
144,capinzor,3,163.32999999999998,4,0.0,0.0,2.0,2.0,0.029659037832788417
145,ofnanezn,3,229.99999999999997,4,0.0,1.0,6.0,2.0,0.005755947812739831
146,macuestap,3,209.16,4,0.0,1.0,4.0,1.0,0.003110419906687403
147,spenas,3,242.5,4,5.0,4.0,6.0,1.0,0.0015497869043006587
148,kgbayala528,3,114.99999999999997,4,1.0,5.0,6.0,2.0,0.007924528301886792
149,lgmoralesa,3,20.829999999999984,4,2.0,2.0,4.0,3.0,0.0045662100456621
150,ronaldsg20,3,192.49999999999997,4,0.0,3.0,5.0,2.0,0.008036739380022962
151,cccristanchoc,3,242.5,4,1.0,1.0,4.0,1.0,0.008330177962892843
152,jmalvarezd,3,139.99999999999997,4,3.0,3.0,5.0,2.0,0.005380476556495004
153,smarquezo,3,246.65999999999997,4,0.0,0.0,2.0,0.0,0.004588910133843212
154,sarizag,3,167.49999999999997,4,4.0,3.0,6.0,2.0,0.005019305019305019
155,Chranium,3,263.33,4,4.0,5.0,6.0,2.0,0.0011695906432748538
156,DavidQP,3,86.65999999999997,4,2.0,3.0,4.0,3.0,0.007692307692307693
157,afceballosr,3,93.32999999999998,4,1.0,3.0,5.0,2.0,0.004240555127216654
158,lizzyt10h,3,212.49999999999997,4,2.0,1.0,5.0,2.0,0.008024455483377914
159,NicolasPrr,3,237.5,4,3.0,4.0,3.0,2.0,0.009359790340696368
160,jumcorredorro,3,53.329999999999984,4,1.0,1.0,5.0,2.0,0.013293943870014771
161,feartheGru,3,358.33,4,2.0,2.0,5.0,2.0,0.0
162,Danielsv9207,3,358.33,4,1.0,1.0,1.0,3.0,0.0
163,JhonEmmanuelTorres,3,358.33,4,5.0,4.0,5.0,2.0,0.0
