,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity
86,Phoenixest,2,263.33,3,0.0,1.0,3.0,1.0,0.03614457831325301
87,HashNick,2,255.0,3,1.0,3.0,5.0,3.0,0.07692307692307693
88,ccvacad,2,358.33,3,1.0,0.0,4.0,2.0,0.09219858156028368
89,joaortizro,2,53.329999999999984,3,0.0,2.0,2.0,1.0,0.06382978723404255
90,juasmartinezbel,2,65.0,3,0.0,5.0,5.0,2.0,0.06367041198501873
91,mdbelloc,2,224.99999999999997,3,1.0,3.0,2.0,2.0,0.072
92,diegocruz10,2,246.65999999999997,3,3.0,3.0,3.0,1.0,0.08035714285714286
93,crarojasca,2,313.33,3,1.0,3.0,5.0,2.0,0.0
94,sagilm,2,212.49999999999997,3,0.0,0.0,3.0,1.0,0.0851063829787234
95,idrojasf,2,202.49999999999997,3,1.0,1.0,4.0,4.0,0.00744047619047619
96,raulramirezp,2,134.99999999999997,3,1.0,2.0,5.0,2.0,0.04984423676012461
97,fabianr23,2,0.0,3,5.0,4.0,5.0,2.0,
98,jhriverasa,2,45.829999999999984,3,1.0,3.0,2.0,2.0,0.075
99,jhonsd1996,2,204.99999999999997,3,3.0,4.0,4.0,2.0,0.03614457831325301
100,JuanitoAli,2,103.32999999999998,3,1.0,1.0,5.0,2.0,0.0061450225317492835
101,Davsatu313,2,37.5,3,0.0,3.0,5.0,2.0,0.08917197452229299
102,cesarochoa2006,2,81.65999999999997,3,0.0,1.0,6.0,0.0,0.051587301587301584
103,jjmuesesq,2,279.15999999999997,3,0.0,3.0,2.0,2.0,0.05555555555555555
104,jucjimenezmo,2,258.0,3,0.0,0.0,3.0,2.0,0.07692307692307693
105,kancas,2,127.49999999999997,3,0.0,0.0,5.0,2.0,0.07894736842105263
106,Gantiva,2,129.16,3,2.0,4.0,3.0,2.0,0.1282051282051282
107,Dandarprox,2,222.49999999999997,3,0.0,1.0,4.0,2.0,0.045081967213114756
108,debeltranc,2,258.33,3,1.0,4.0,4.0,1.0,0.0
109,ykchautai,2,163.32999999999998,3,4.0,4.0,4.0,1.0,0.0967741935483871
110,ligibrial,2,237.5,3,1.0,5.0,3.0,2.0,0.006864006864006864
111,davidrh195,2,250.82999999999998,3,3.0,3.0,5.0,1.0,0.030612244897959183
112,JulianaNino,2,234.15999999999997,3,1.0,1.0,3.0,1.0,0.08163265306122448
113,luegilca,2,237.5,3,0.0,1.0,6.0,2.0,0.045871559633027525
114,Yelis3,2,90.0,3,1.0,4.0,6.0,3.0,0.0047032474804031355
115,begarzonf,2,184.16,3,2.0,3.0,4.0,2.0,0.019880715705765408
116,kmendezp96,2,122.49999999999997,3,1.0,5.0,6.0,1.0,0.0736196319018405
117,leguzman,2,208.32999999999998,3,0.0,2.0,5.0,2.0,0.09036144578313253
118,luealfonsoru,2,212.49999999999997,3,3.0,4.0,4.0,2.0,0.05732484076433121
119,oserasoa,2,234.15999999999997,3,4.0,3.0,3.0,1.0,0.08547008547008547
120,lsfinite,2,258.33,3,1.0,1.0,6.0,3.0,0.004266558309630231
121,xdanielsb,2,283.33,3,3.0,3.0,3.0,2.0,0.03678929765886288
122,CSebasGomez,2,358.33,3,3.0,3.0,5.0,2.0,0.0
123,jhcardenasa,2,358.33,3,4.0,4.0,5.0,3.0,0.0
124,tres-iqus,2,358.33,3,1.0,1.0,4.0,0.0,
125,jscontrerasp,2,358.33,3,1.0,1.0,4.0,0.0,0.11224489795918367
126,jusherrerama,2,250.82999999999998,4,,,,,0.011579818031430935
127,bdvegat,2,263.33,4,1.0,2.0,4.0,1.0,0.031578947368421054
128,Phoenixest,2,263.33,4,0.0,1.0,3.0,1.0,0.016042780748663103
129,HashNick,2,226.66,4,1.0,3.0,5.0,3.0,0.05627705627705628
130,ccvacad,2,358.33,4,1.0,0.0,4.0,2.0,0.06640625
131,joaortizro,2,78.32999999999998,4,0.0,2.0,2.0,1.0,0.04081632653061224
132,juasmartinezbel,2,37.5,4,0.0,5.0,5.0,2.0,0.0807799442896936
133,mdbelloc,2,229.16,4,1.0,3.0,2.0,2.0,0.05309734513274336
134,diegocruz10,2,251.65999999999997,4,3.0,3.0,3.0,1.0,0.056338028169014086
135,crarojasca,2,313.33,4,1.0,3.0,5.0,2.0,0.0
136,sagilm,2,208.32999999999998,4,0.0,0.0,3.0,1.0,0.04739336492890995
137,idrojasf,2,204.99999999999997,4,1.0,1.0,4.0,4.0,0.014285714285714285
138,raulramirezp,2,209.99999999999997,4,1.0,2.0,5.0,2.0,0.07657657657657657
139,fabianr23,2,0.0,4,5.0,4.0,5.0,2.0,
140,jhriverasa,2,25.0,4,1.0,3.0,2.0,2.0,0.054474708171206226
141,jhonsd1996,2,200.82999999999998,4,3.0,4.0,4.0,2.0,0.016042780748663103
142,JuanitoAli,2,33.329999999999984,4,1.0,1.0,5.0,2.0,0.013460015835312747
143,Davsatu313,2,57.5,4,0.0,3.0,5.0,2.0,0.12017167381974249
144,cesarochoa2006,2,74.37,4,0.0,1.0,6.0,0.0,0.06
145,jjmuesesq,2,250.82999999999998,4,0.0,3.0,2.0,2.0,0.0392156862745098
146,jucjimenezmo,2,154.99999999999997,4,0.0,0.0,3.0,2.0,0.0641025641025641
147,kancas,2,151.66,4,0.0,0.0,5.0,2.0,0.06074766355140187
148,Gantiva,2,120.82999999999998,4,2.0,4.0,3.0,2.0,0.0776255707762557
149,Dandarprox,2,144.99999999999997,4,0.0,1.0,4.0,2.0,0.0621301775147929
150,debeltranc,2,258.33,4,1.0,4.0,4.0,1.0,0.0
151,ykchautai,2,159.16,4,4.0,4.0,4.0,1.0,0.04608294930875576
152,ligibrial,2,250.0,4,1.0,5.0,3.0,2.0,0.011617100371747211
153,davidrh195,2,250.82999999999998,4,3.0,3.0,5.0,1.0,0.01485148514851485
154,JulianaNino,2,234.15999999999997,4,1.0,1.0,3.0,1.0,0.04477611940298507
155,luegilca,2,241.65999999999997,4,0.0,1.0,6.0,2.0,0.0380952380952381
156,Yelis3,2,124.16,4,1.0,4.0,6.0,3.0,0.004959233420189964
157,begarzonf,2,143.32999999999998,4,2.0,3.0,4.0,2.0,0.024916943521594685
158,kmendezp96,2,151.66,4,1.0,5.0,6.0,1.0,0.014877362283876157
159,leguzman,2,68.32999999999998,4,0.0,2.0,5.0,2.0,0.09090909090909091
160,luealfonsoru,2,220.82999999999998,4,3.0,4.0,4.0,2.0,0.0546875
161,oserasoa,2,242.5,4,4.0,3.0,3.0,1.0,0.07174887892376682
162,lsfinite,2,358.33,4,1.0,1.0,6.0,3.0,0.008391608391608392
163,xdanielsb,2,283.33,4,3.0,3.0,3.0,2.0,0.04012841091492777
164,CSebasGomez,2,358.33,4,3.0,3.0,5.0,2.0,0.0
165,jhcardenasa,2,358.33,4,4.0,4.0,5.0,3.0,0.0
166,tres-iqus,2,358.33,4,1.0,1.0,4.0,0.0,
167,jscontrerasp,2,358.33,4,1.0,1.0,4.0,0.0,0.054455445544554455
