,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,lfvalderrama,bsgarciac,gabi04,annipi,jdsolanos,jcneivaa,fmbernalb,MogGy94,yocuervoc,odprietoh
hsmartineza,0.10569105691056911,0.0,0.046511627906976744,0.0,0.13513513513513514,0.14634146341463414,0.0,0.2,0.18181818181818182,0.16923076923076924,0.0,0.1044776119402985,0.0,0.0,0.08571428571428572,0.0,0.11627906976744186,0.08333333333333333,0.08571428571428572,0.1276595744680851,0.16666666666666666,0.18248175182481752,0.05263157894736842,0.023809523809523808,0.06818181818181818,0.10416666666666667,0.07692307692307693,0.08571428571428572,0.28,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366
Moimolcp,0.05555555555555555,0.0,0.04950495049504951,0.0,0.13725490196078433,0.16666666666666666,0.0,0.04477611940298507,0.08,0.06976744186046512,0.1044776119402985,0.0,0.0,0.0,0.07692307692307693,0.0,0.15555555555555556,0.075,0.07692307692307693,0.16326530612244897,0.09090909090909091,0.07096774193548387,0.06666666666666667,0.0,0.10869565217391304,0.07547169811320754,0.12195121951219512,0.07692307692307693,0.11475409836065574,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
CamiloRueda,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.05263157894736842,0.0625,0.06382978723404255,0.04838709677419355,0.030303030303030304,0.017543859649122806,0.02857142857142857,0.0,0.05357142857142857,0.04838709677419355,0.058823529411764705,0.06382978723404255,0.0410958904109589,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
juanescai,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
JoseMolano,0.02654867256637168,0.0,0.04477611940298507,0.0,0.15789473684210525,0.125,0.0,0.0625,0.07142857142857142,0.05660377358490566,0.08571428571428572,0.07692307692307693,0.06382978723404255,0.0,0.0,0.0,0.09090909090909091,0.0625,0.06382978723404255,0.1016949152542373,0.25925925925925924,0.3282442748091603,0.07462686567164178,0.0,0.07272727272727272,0.08333333333333333,0.08,0.06382978723404255,0.22580645161290322,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06422018348623854
maikellPardoA,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
NicolasZon,0.03278688524590164,0.0,0.03896103896103896,0.0,0.10344827586206896,0.12121212121212122,0.0,0.07317073170731707,0.057692307692307696,0.06451612903225806,0.11627906976744186,0.15555555555555556,0.05263157894736842,0.0,0.09090909090909091,0.0,0.0,0.23076923076923078,0.25,0.30434782608695654,0.1,0.05303030303030303,0.05714285714285714,0.0,0.14285714285714285,0.2,0.1875,0.25,0.07894736842105263,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
camilo654,0.02631578947368421,0.0,0.04411764705882353,0.0,0.15,0.12,0.0,0.06060606060606061,0.06976744186046512,0.05555555555555555,0.08333333333333333,0.075,0.0625,0.0,0.0625,0.0,0.23076923076923078,0.0,0.16666666666666666,0.125,0.14705882352941177,0.050724637681159424,0.04878048780487805,0.04,0.1111111111111111,0.125,0.13636363636363635,0.16666666666666666,0.14634146341463414,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407
CristianLozano,0.02654867256637168,0.0,0.04477611940298507,0.0,0.15789473684210525,0.125,0.0,0.0625,0.07142857142857142,0.05660377358490566,0.08571428571428572,0.07692307692307693,0.06382978723404255,0.0,0.06382978723404255,0.0,0.25,0.16666666666666666,0.0,0.13636363636363635,0.07692307692307693,0.022900763358778626,0.06666666666666667,0.0,0.1875,0.13636363636363635,0.2727272727272727,0.42857142857142855,0.09090909090909091,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589
jdsuarezj,0.03968253968253968,0.0,0.036585365853658534,0.0,0.1935483870967742,0.2,0.0,0.06521739130434782,0.05263157894736842,0.05970149253731343,0.1276595744680851,0.16326530612244897,0.04838709677419355,0.0,0.1016949152542373,0.0,0.30434782608695654,0.125,0.13636363636363635,0.0,0.16981132075471697,0.19148936170212766,0.06451612903225806,0.020833333333333332,0.06,0.09259259259259259,0.09090909090909091,0.07317073170731707,0.25,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696
