,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
72,sarizag,3,192.49999999999997,2,4.0,3.0,6.0,2.0,0.0967741935483871,sarizag,0.6764705882352942,0.5166907432183888
73,Chranium,3,225.82999999999998,2,4.0,5.0,6.0,2.0,0.1,Chranium,0.5,0.4054651081081644
74,DavidQP,3,213.32999999999998,2,2.0,3.0,4.0,3.0,0.09803921568627451,DavidQP,0.72,0.5423242908253617
75,afceballosr,3,230.0,2,1.0,3.0,5.0,2.0,0.136986301369863,afceballosr,0.7611940298507462,0.5659920050746987
76,lizzyt10h,3,258.33,2,2.0,1.0,5.0,2.0,0.1111111111111111,lizzyt10h,0.5,0.4054651081081644
77,NicolasPrr,3,233.32999999999998,2,3.0,4.0,3.0,2.0,0.07272727272727272,NicolasPrr,0.7727272727272727,0.5725191927713306
78,jumcorredorro,3,24.159999999999968,2,1.0,1.0,5.0,2.0,0.1452991452991453,jumcorredorro,0.8205128205128205,0.5991182309116689
79,feartheGru,3,320.83,2,2.0,2.0,5.0,2.0,0.0,feartheGru,0.0,0.0
80,Danielsv9207,3,320.83,2,1.0,1.0,1.0,3.0,0.0,Danielsv9207,0.0,0.0
81,JhonEmmanuelTorres,3,320.83,2,5.0,4.0,5.0,2.0,0.0,JhonEmmanuelTorres,0.0,0.0
82,lemartinp,3,193.33,3,0.0,0.0,4.0,1.0,0.1,lemartinp,0.7352941176470589,0.5511769192895581
83,juligarji,3,126.66999999999999,3,4.0,4.0,5.0,3.0,0.0094948727687049,juligarji,0.9884933477166487,0.6873772402824156
84,nfmorenog,3,196.67,3,0.0,2.0,3.0,1.0,0.13953488372093023,nfmorenog,0.7529411764705882,0.5612950494551426
85,AFelipeGA,3,177.5,3,4.0,3.0,5.0,2.0,0.042105263157894736,AFelipeGA,0.4,0.3364722366212129
86,mballeng91,3,230.0,3,2.0,6.0,6.0,2.0,0.007352941176470588,mballeng91,0.9814814814814815,0.6838447878976317
87,dduartec,3,25.0,3,1.0,5.0,4.0,1.0,0.09289617486338798,dduartec,0.8642857142857143,0.6228779847133892
88,srmedinac,3,214.17000000000002,3,1.0,2.0,4.0,1.0,0.055944055944055944,srmedinac,0.8620689655172413,0.6216882165778004
89,wilson911013,3,239.17000000000002,3,0.0,1.0,2.0,1.0,0.010309278350515464,wilson911013,0.8888888888888888,0.6359887667199967
