,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,top2,sacastroc,pcberriop,hsmartineza,top4,CamiloRueda,juanescai,JoseMolano,maikellPardoA,NicolasZon,camilo654,CristianLozano,jdsuarezj,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,top1,top3,gabi04,bottom1,bottom3,bottom2,fmbernalb,MogGy94,yocuervoc,bottom4
hsmartineza,0.07977207977207977,0.0,0.04838709677419355,0.005555555555555556,0.36231884057971014,0.007636826474331778,0.0,0.09090909090909091,0.05925925925925926,0.11643835616438356,0.0,0.050359712230215826,0.02727272727272727,0.0,0.2777777777777778,0.0,0.0684931506849315,0.06666666666666667,0.04285714285714286,0.21100917431192662,0.175,0.14084507042253522,0.23015873015873015,0.23387096774193547,0.037037037037037035,0.08888888888888889,0.18823529411764706,0.030303030303030304,0.19626168224299065,0.1329479768786127,0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.04201680672268908
top4,0.03664921465968586,0.0,0.05,0.008081667375584857,0.04716981132075472,0.006310475389145982,0.0,0.0703125,0.1111111111111111,0.13924050632911392,0.050359712230215826,0.0,0.03007518796992481,0.0,0.06923076923076923,0.0,0.07368421052631578,0.09090909090909091,0.031914893617021274,0.10638297872340426,0.06306306306306306,0.05,0.0783132530120482,0.09259259259259259,0.05426356589147287,0.06086956521739131,0.10619469026548672,0.058823529411764705,0.06293706293706294,0.06796116504854369,0.04964539007092199,0.0,0.0,0.0,0.0,0.0,0.0,0.03496503496503497
CamiloRueda,0.011142061281337047,0.0,0.02702702702702703,0.0034349506225848005,0.04,0.0021240441801189465,0.0,0.0297029702970297,0.024193548387096774,0.027972027972027972,0.02727272727272727,0.03007518796992481,0.0,0.0,0.03225806451612903,0.0,0.05357142857142857,0.04054054054054054,0.058823529411764705,0.03669724770642202,0.0273972602739726,0.05084745762711865,0.022556390977443608,0.022900763358778626,0.03333333333333333,0.039473684210526314,0.0379746835443038,0.0375,0.05825242718446602,0.023121387283236993,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604
juanescai,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
JoseMolano,0.05491329479768786,0.0,0.05454545454545454,0.006021505376344086,0.42857142857142855,0.008112724167378309,0.0,0.08163265306122448,0.11206896551724138,0.12878787878787878,0.2777777777777778,0.06923076923076923,0.03225806451612903,0.0,0.0,0.0,0.08928571428571429,0.0821917808219178,0.05660377358490566,0.2777777777777778,0.3050847457627119,0.20754716981132076,0.40816326530612246,0.4020618556701031,0.06741573033707865,0.0945945945945946,0.423728813559322,0.036585365853658534,0.18085106382978725,0.14012738853503184,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0594059405940594
maikellPardoA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
NicolasZon,0.025,0.0,0.039473684210526314,0.002613240418118467,0.10256410256410256,0.0017241379310344827,0.0,0.11290322580645161,0.09523809523809523,0.06666666666666667,0.0684931506849315,0.07368421052631578,0.05357142857142857,0.0,0.08928571428571429,0.0,0.0,0.13513513513513514,0.1875,0.09859154929577464,0.08108108108108109,0.125,0.09782608695652174,0.07608695652173914,0.05454545454545454,0.1282051282051282,0.14634146341463414,0.11627906976744186,0.05714285714285714,0.04411764705882353,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507
camilo654,0.02976190476190476,0.0,0.05434782608695652,0.004329004329004329,0.08928571428571429,0.0038576939562794685,0.0,0.27941176470588236,0.0891089108910891,0.18181818181818182,0.06666666666666667,0.09090909090909091,0.04054054054054054,0.0,0.0821917808219178,0.0,0.13513513513513514,0.0,0.08823529411764706,0.09090909090909091,0.13725490196078433,0.0975609756097561,0.08181818181818182,0.06363636363636363,0.07042253521126761,0.12727272727272726,0.14035087719298245,0.1,0.06976744186046512,0.06666666666666667,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.08641975308641975
CristianLozano,0.009375,0.0,0.04225352112676056,0.0013077593722755014,0.08571428571428572,0.0012953367875647669,0.0,0.04918032786885246,0.03571428571428571,0.028846153846153848,0.04285714285714286,0.031914893617021274,0.058823529411764705,0.0,0.05660377358490566,0.0,0.1875,0.08823529411764706,0.0,0.04285714285714286,0.06060606060606061,0.15789473684210525,0.03225806451612903,0.03296703296703297,0.06,0.08333333333333333,0.07692307692307693,0.075,0.045454545454545456,0.022388059701492536,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355
jdsuarezj,0.07605633802816901,0.0,0.047244094488188976,0.007268063274903805,0.18292682926829268,0.010195412064570943,0.0,0.07894736842105263,0.09774436090225563,0.1773049645390071,0.21100917431192662,0.10638297872340426,0.03669724770642202,0.0,0.2777777777777778,0.0,0.09859154929577464,0.09090909090909091,0.04285714285714286,0.0,0.189873417721519,0.14084507042253522,0.25,0.21428571428571427,0.04672897196261682,0.08888888888888889,0.3116883116883117,0.0625,0.16363636363636364,0.1329479768786127,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.04201680672268908
