,mnguzmanc,fffeelipe,jmcuestasb,katherinsb,jjrodriguezn,DglyP,cap182,Judgarciani,sacastroc,pcberriop,hsmartineza,Moimolcp,CamiloRueda,juanescai,top2,maikellPardoA,NicolasZon,camilo654,CristianLozano,top1,pipemax85,juandavidro,UNhcrodriguezl,camilo13152,leavendanoro,cdcordobaa,capinillab,janoguerab,top4,top3,gabi04,annipi,bottom2,jcneivaa,bottom3,bottom4,yocuervoc,bottom1
hsmartineza,0.007860262008733625,0.1016949152542373,0.05154639175257732,0.0,0.2916666666666667,0.1346153846153846,0.0,0.12,0.16304347826086957,0.35714285714285715,0.0,0.08333333333333333,0.03125,0.0,0.5,0.05660377358490566,0.0847457627118644,0.09375,0.05357142857142857,0.32857142857142857,0.13846153846153847,0.2605633802816901,0.31313131313131315,0.047619047619047616,0.04225352112676056,0.10526315789473684,0.2413793103448276,0.03529411764705882,0.29577464788732394,0.19148936170212766,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moimolcp,0.006530256856769699,0.11290322580645161,0.04950495049504951,0.0,0.08196721311475409,0.16666666666666666,0.0,0.13157894736842105,0.1326530612244898,0.14285714285714285,0.08333333333333333,0.0,0.03305785123966942,0.0,0.07758620689655173,0.0379746835443038,0.08433734939759036,0.07865168539325842,0.036585365853658534,0.10185185185185185,0.06382978723404255,0.06770833333333333,0.08333333333333333,0.033707865168539325,0.05263157894736842,0.06796116504854369,0.08888888888888889,0.06542056074766354,0.07272727272727272,0.078125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CamiloRueda,0.0021598272138228943,0.04054054054054054,0.02702702702702703,0.0,0.04225352112676056,0.04411764705882353,0.0,0.022727272727272728,0.02586206896551724,0.03529411764705882,0.03125,0.03305785123966942,0.0,0.0,0.03296703296703297,0.0625,0.05357142857142857,0.04838709677419355,0.058823529411764705,0.03529411764705882,0.029850746268656716,0.017543859649122806,0.02459016393442623,0.03389830508474576,0.045454545454545456,0.039473684210526314,0.046875,0.0375,0.03571428571428571,0.028846153846153848,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juanescai,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top2,0.007381676074685193,0.1323529411764706,0.05555555555555555,0.0,0.48,0.12698412698412698,0.0,0.10429447852760736,0.1782178217821782,0.6296296296296297,0.5,0.07758620689655173,0.03296703296703297,0.0,0.0,0.06,0.08928571428571429,0.08064516129032258,0.05660377358490566,0.36363636363636365,0.24561403508771928,0.3233082706766917,0.4431818181818182,0.05,0.05970149253731343,0.0945945945945946,0.3018867924528302,0.036585365853658534,0.18666666666666668,0.23863636363636365,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maikellPardoA,0.0013192612137203166,0.0967741935483871,0.04411764705882353,0.0,0.10714285714285714,0.12,0.0,0.022388059701492536,0.0410958904109589,0.07142857142857142,0.05660377358490566,0.0379746835443038,0.0625,0.0,0.06,0.0,0.23076923076923078,0.15789473684210525,0.375,0.07142857142857142,0.08333333333333333,0.0234375,0.0379746835443038,0.125,0.13043478260869565,0.09090909090909091,0.14285714285714285,0.08108108108108109,0.07317073170731707,0.04918032786885246,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NicolasZon,0.0026327336551118913,0.07692307692307693,0.039473684210526314,0.0,0.11428571428571428,0.125,0.0,0.050724637681159424,0.06329113924050633,0.15217391304347827,0.0847457627118644,0.08433734939759036,0.05357142857142857,0.0,0.08928571428571429,0.23076923076923078,0.0,0.1111111111111111,0.1875,0.15217391304347827,0.0967741935483871,0.05303030303030303,0.1111111111111111,0.08333333333333333,0.0967741935483871,0.1282051282051282,0.10344827586206896,0.11627906976744186,0.061224489795918366,0.09090909090909091,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo654,0.004384042086804033,0.2631578947368421,0.04938271604938271,0.0,0.125,0.3125,0.0,0.055944055944055944,0.0975609756097561,0.09259259259259259,0.09375,0.07865168539325842,0.04838709677419355,0.0,0.08064516129032258,0.15789473684210525,0.1111111111111111,0.0,0.13636363636363635,0.1346153846153846,0.14285714285714285,0.050724637681159424,0.07865168539325842,0.10344827586206896,0.08108108108108109,0.19047619047619047,0.15151515151515152,0.08,0.11538461538461539,0.08333333333333333,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CristianLozano,0.0013175230566534915,0.08823529411764706,0.04225352112676056,0.0,0.0967741935483871,0.10714285714285714,0.0,0.021897810218978103,0.039473684210526314,0.06666666666666667,0.05357142857142857,0.036585365853658534,0.058823529411764705,0.0,0.05660377358490566,0.375,0.1875,0.13636363636363635,0.0,0.06666666666666667,0.07407407407407407,0.022900763358778626,0.036585365853658534,0.10526315789473684,0.11538461538461539,0.08333333333333333,0.125,0.075,0.06818181818181818,0.046875,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top1,0.008718395815170008,0.109375,0.04854368932038835,0.0,0.2830188679245283,0.18181818181818182,0.0,0.10828025477707007,0.15306122448979592,0.4642857142857143,0.32857142857142857,0.10185185185185185,0.03529411764705882,0.0,0.36363636363636365,0.07142857142857142,0.15217391304347827,0.1346153846153846,0.06666666666666667,0.0,0.11392405063291139,0.19135802469135801,0.23076923076923078,0.03896103896103896,0.03529411764705882,0.08888888888888889,0.2112676056338028,0.0625,0.19101123595505617,0.16666666666666666,0.12631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
