,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
113,jumcorredorro,3,0.8854961832061069,3,0.0,jumcorredorro,1.0,1.0,5.0,2.0
114,wilson911013,3,0.8888888888888888,3,239.17000000000002,wilson911013,0.0,1.0,2.0,1.0
115,jscastelblancoh,3,0.9079497907949791,3,99.16999999999999,jscastelblancoh,0.0,0.0,3.0,2.0
116,dagofonseca,3,0.9125874125874126,3,102.5,dagofonseca,0.0,0.0,2.0,2.0
117,jorge52an,3,0.9559228650137741,3,167.5,jorge52an,4.0,4.0,5.0,2.0
118,capinzor,3,0.9699194694457604,3,122.5,capinzor,0.0,0.0,2.0,2.0
119,AFelipeGA,3,0.9715575620767495,3,177.5,AFelipeGA,4.0,3.0,5.0,2.0
120,juligarji,3,0.9717463848720801,3,126.66999999999999,juligarji,4.0,4.0,5.0,3.0
121,adriel62,3,0.9768904690277588,3,139.17,adriel62,1.0,3.0,5.0,2.0
122,mballeng91,3,0.9814814814814815,3,230.0,mballeng91,2.0,6.0,6.0,2.0
123,Danielsv9207,4,0.0,3,358.33,Danielsv9207,1.0,1.0,1.0,3.0
124,JhonEmmanuelTorres,4,0.0,3,358.33,JhonEmmanuelTorres,5.0,4.0,5.0,2.0
125,feartheGru,4,0.0,3,358.33,feartheGru,2.0,2.0,5.0,2.0
126,AFelipeGA,4,0.11228716060745514,3,205.82999999999998,AFelipeGA,4.0,3.0,5.0,2.0
127,lacardenasv,4,0.1175663311985361,3,98.32999999999998,lacardenasv,1.0,2.0,5.0,4.0
128,oacastillol,4,0.2688821752265861,3,237.5,oacastillol,2.0,1.0,5.0,1.0
129,dagofonseca,4,0.29565217391304344,3,93.32999999999998,dagofonseca,0.0,0.0,2.0,2.0
130,srmedinac,4,0.32352941176470584,3,242.5,srmedinac,1.0,2.0,4.0,1.0
131,ofnanezn,4,0.32352941176470584,3,229.99999999999997,ofnanezn,0.0,1.0,6.0,2.0
132,smarquezo,4,0.5,3,246.65999999999997,smarquezo,0.0,0.0,2.0,0.0
133,jdmonroyg,4,0.6,3,358.33,jdmonroyg,0.0,1.0,4.0,1.0
134,Chranium,4,0.6666666666666667,3,263.33,Chranium,4.0,5.0,6.0,2.0
135,DianaNavarrete,4,0.6666666666666667,3,242.5,DianaNavarrete,0.0,1.0,5.0,2.0
136,afforeroc,4,0.6666666666666667,3,259.15999999999997,afforeroc,1.0,4.0,3.0,2.0
137,spenas,4,0.6799999999999999,3,242.5,spenas,5.0,4.0,6.0,1.0
138,macuestap,4,0.7027027027027026,3,209.16,macuestap,0.0,1.0,4.0,1.0
139,DavidQP,4,0.746031746031746,3,86.65999999999997,DavidQP,2.0,3.0,4.0,3.0
140,jmalvarezd,4,0.75,3,139.99999999999997,jmalvarezd,3.0,3.0,5.0,2.0
141,nfmorenog,4,0.7529411764705882,3,237.5,nfmorenog,0.0,2.0,3.0,1.0
142,sarizag,4,0.7608695652173914,3,167.49999999999997,sarizag,4.0,3.0,6.0,2.0
143,cccristanchoc,4,0.7832167832167832,3,242.5,cccristanchoc,1.0,1.0,4.0,1.0
144,lgmoralesa,4,0.7857142857142857,3,20.829999999999984,lgmoralesa,2.0,2.0,4.0,3.0
145,lemartinp,4,0.7872340425531915,3,57.5,lemartinp,0.0,0.0,4.0,1.0
146,afceballosr,4,0.7959183673469388,3,93.32999999999998,afceballosr,1.0,3.0,5.0,2.0
147,NicolasPrr,4,0.8164556962025317,3,237.5,NicolasPrr,3.0,4.0,3.0,2.0
148,davidh17,4,0.8175182481751825,3,283.33,davidh17,3.0,3.0,5.0,3.0
149,kgbayala528,4,0.8235294117647058,3,114.99999999999997,kgbayala528,1.0,5.0,6.0,2.0
150,ronaldsg20,4,0.8275862068965517,3,192.49999999999997,ronaldsg20,0.0,3.0,5.0,2.0
151,juclopezso,4,0.8333333333333334,3,206.66,juclopezso,1.0,3.0,3.0,2.0
152,lizzyt10h,4,0.8522727272727273,3,212.49999999999997,lizzyt10h,2.0,1.0,5.0,2.0
153,wapiravaguens,4,0.856,3,140.82999999999998,wapiravaguens,0.0,1.0,4.0,2.0
154,ncampuzano,4,0.8780487804878049,3,213.32999999999998,ncampuzano,1.0,3.0,4.0,2.0
155,jumcorredorro,4,0.8888888888888888,3,53.329999999999984,jumcorredorro,1.0,1.0,5.0,2.0
156,wilson911013,4,0.8888888888888888,3,275.83,wilson911013,0.0,1.0,2.0,1.0
157,adriel62,4,0.9063545150501673,3,147.49999999999997,adriel62,1.0,3.0,5.0,2.0
158,jscastelblancoh,4,0.9068825910931174,3,41.65999999999997,jscastelblancoh,0.0,0.0,3.0,2.0
159,jorge52an,4,0.9534883720930233,3,114.99999999999997,jorge52an,4.0,4.0,5.0,2.0
160,capinzor,4,0.9647251845775225,3,163.32999999999998,capinzor,0.0,0.0,2.0,2.0
161,dduartec,4,0.9695121951219512,3,270.83,dduartec,1.0,5.0,4.0,1.0
162,juligarji,4,0.9704100652376515,3,0.0,juligarji,4.0,4.0,5.0,3.0
163,mballeng91,4,0.9852941176470589,3,245.82999999999998,mballeng91,2.0,6.0,6.0,2.0
164,jhcardenasa,1,0.0,2,260.0,jhcardenasa,4.0,4.0,5.0,3.0
165,ccvacad,1,0.0,2,260.0,ccvacad,1.0,0.0,4.0,2.0
166,crarojasca,1,0.0,2,215.0,crarojasca,1.0,3.0,5.0,2.0
167,jjmuesesq,1,0.0,2,177.5,jjmuesesq,0.0,3.0,2.0,2.0
168,mdbelloc,1,0.303030303030303,2,168.32999999999998,mdbelloc,1.0,3.0,2.0,2.0
169,HashNick,1,0.34375,2,260.0,HashNick,1.0,3.0,5.0,3.0
170,sagilm,1,0.4,2,210.0,sagilm,0.0,0.0,3.0,1.0
171,JulianaNino,1,0.5,2,205.82999999999998,JulianaNino,1.0,1.0,3.0,1.0
172,luegilca,1,0.6097560975609756,2,130.83,luegilca,0.0,1.0,6.0,2.0
173,joaortizro,1,0.6296296296296297,2,152.5,joaortizro,0.0,2.0,2.0,1.0
174,kmendezp96,1,0.6486486486486487,2,74.16999999999999,kmendezp96,1.0,5.0,6.0,1.0
175,ykchautai,1,0.6956521739130435,2,98.33000000000001,ykchautai,4.0,4.0,4.0,1.0
176,diegocruz10,1,0.7027027027027026,2,169.17000000000002,diegocruz10,3.0,3.0,3.0,1.0
177,jusherrerama,1,0.7142857142857143,2,177.5,,,,,
178,davidrh195,1,0.8,2,260.0,davidrh195,3.0,3.0,5.0,1.0
179,begarzonf,1,0.9481641468682506,2,102.5,begarzonf,2.0,3.0,4.0,2.0
180,xdanielsb,1,0.9545454545454546,2,0.0,xdanielsb,3.0,3.0,3.0,2.0
181,lsfinite,1,0.9741986966351909,2,197.5,lsfinite,1.0,1.0,6.0,3.0
182,ligibrial,1,0.9828937990021382,2,126.66999999999999,ligibrial,1.0,5.0,3.0,2.0
183,debeltranc,1,0.994535519125683,2,97.5,debeltranc,1.0,4.0,4.0,1.0
184,CSebasGomez,2,0.0,2,317.5,CSebasGomez,3.0,3.0,5.0,2.0
185,jhcardenasa,2,0.0,2,317.5,jhcardenasa,4.0,4.0,5.0,3.0
186,ccvacad,2,0.0,2,317.5,ccvacad,1.0,0.0,4.0,2.0
187,crarojasca,2,0.0,2,272.5,crarojasca,1.0,3.0,5.0,2.0
188,jusherrerama,2,0.012313104661389573,2,168.33,,,,,
189,ligibrial,2,0.023427331887201697,2,221.67000000000002,ligibrial,1.0,5.0,3.0,2.0
190,JuanitoAli,2,0.036449399656946824,2,45.829999999999984,JuanitoAli,1.0,1.0,5.0,2.0
191,jjmuesesq,2,0.25,2,143.33,jjmuesesq,0.0,3.0,2.0,2.0
192,HashNick,2,0.34375,2,221.67000000000002,HashNick,1.0,3.0,5.0,3.0
193,mdbelloc,2,0.34375,2,205.0,mdbelloc,1.0,3.0,2.0,2.0
194,Phoenixest,2,0.4,2,218.32999999999998,Phoenixest,0.0,1.0,3.0,1.0
195,jhonsd1996,2,0.4,2,255.0,jhonsd1996,3.0,4.0,4.0,2.0
196,bdvegat,2,0.4285714285714286,2,235.0,bdvegat,1.0,2.0,4.0,1.0
197,luealfonsoru,2,0.43023255813953487,2,192.5,luealfonsoru,3.0,4.0,4.0,2.0
198,leguzman,2,0.5841584158415842,2,85.83000000000001,leguzman,0.0,2.0,5.0,2.0
199,oserasoa,2,0.5857142857142856,2,234.17000000000002,oserasoa,4.0,3.0,3.0,1.0
200,ykchautai,2,0.59375,2,210.0,ykchautai,4.0,4.0,4.0,1.0
201,kancas,2,0.625,2,86.66999999999999,kancas,0.0,0.0,5.0,2.0
202,sagilm,2,0.6341463414634146,2,259.17,sagilm,0.0,0.0,3.0,1.0
203,luegilca,2,0.64,2,217.5,luegilca,0.0,1.0,6.0,2.0
204,joaortizro,2,0.64,2,61.670000000000016,joaortizro,0.0,2.0,2.0,1.0
205,Davsatu313,2,0.6470588235294117,2,93.33000000000001,Davsatu313,0.0,3.0,5.0,2.0
206,cesarochoa2006,2,0.6507936507936508,2,74.16999999999999,cesarochoa2006,0.0,1.0,6.0,0.0
207,jucjimenezmo,2,0.6666666666666667,2,230.82999999999998,jucjimenezmo,0.0,0.0,3.0,2.0
208,kmendezp96,2,0.6708860759493671,2,119.16999999999999,kmendezp96,1.0,5.0,6.0,1.0
209,diegocruz10,2,0.7560975609756098,2,201.67,diegocruz10,3.0,3.0,3.0,1.0
210,Dandarprox,2,0.7640449438202247,2,194.17,Dandarprox,0.0,1.0,4.0,2.0
211,jhriverasa,2,0.7741935483870968,2,105.83000000000001,jhriverasa,1.0,3.0,2.0,2.0
212,davidrh195,2,0.7777777777777778,2,210.0,davidrh195,3.0,3.0,5.0,1.0
213,JulianaNino,2,0.7804878048780488,2,238.32999999999998,JulianaNino,1.0,1.0,3.0,1.0
214,juasmartinezbel,2,0.7818181818181819,2,33.329999999999984,juasmartinezbel,0.0,5.0,5.0,2.0
215,jscontrerasp,2,0.7962962962962963,2,330.0,jscontrerasp,1.0,1.0,4.0,0.0
216,Gantiva,2,0.819672131147541,2,196.67,Gantiva,2.0,4.0,3.0,2.0
217,fabianr23,2,0.8865979381443299,2,0.0,fabianr23,5.0,4.0,5.0,2.0
218,raulramirezp,2,0.9324324324324325,2,110.83000000000001,raulramirezp,1.0,2.0,5.0,2.0
219,xdanielsb,2,0.9324894514767933,2,242.5,xdanielsb,3.0,3.0,3.0,2.0
220,begarzonf,2,0.9427966101694916,2,222.5,begarzonf,2.0,3.0,4.0,2.0
221,idrojasf,2,0.958217270194986,2,161.67,idrojasf,1.0,1.0,4.0,4.0
222,Yelis3,2,0.9626730201951441,2,118.33000000000001,Yelis3,1.0,4.0,6.0,3.0
223,lsfinite,2,0.9631363370392042,2,230.0,lsfinite,1.0,1.0,6.0,3.0
224,debeltranc,2,0.9900990099009901,2,255.0,debeltranc,1.0,4.0,4.0,1.0
225,crarojasca,3,0.0,2,313.33,crarojasca,1.0,3.0,5.0,2.0
226,jhcardenasa,3,0.0,2,358.33,jhcardenasa,4.0,4.0,5.0,3.0
227,CSebasGomez,3,0.0,2,358.33,CSebasGomez,3.0,3.0,5.0,2.0
228,jusherrerama,3,0.014041246160596765,2,238.32999999999998,,,,,
229,ligibrial,3,0.014473684210526305,2,237.5,ligibrial,1.0,5.0,3.0,2.0
230,JuanitoAli,3,0.05776475512766843,2,103.32999999999998,JuanitoAli,1.0,1.0,5.0,2.0
231,HashNick,3,0.303030303030303,2,255.0,HashNick,1.0,3.0,5.0,3.0
232,mdbelloc,3,0.34375,2,224.99999999999997,mdbelloc,1.0,3.0,2.0,2.0
233,Phoenixest,3,0.4,2,263.33,Phoenixest,0.0,1.0,3.0,1.0
234,jhonsd1996,3,0.4,2,204.99999999999997,jhonsd1996,3.0,4.0,4.0,2.0
235,jucjimenezmo,3,0.4444444444444444,2,258.0,jucjimenezmo,0.0,0.0,3.0,2.0
236,luealfonsoru,3,0.449438202247191,2,212.49999999999997,luealfonsoru,3.0,4.0,4.0,2.0
237,oserasoa,3,0.5857142857142856,2,234.15999999999997,oserasoa,4.0,3.0,3.0,1.0
238,leguzman,3,0.6216216216216216,2,208.32999999999998,leguzman,0.0,2.0,5.0,2.0
239,sagilm,3,0.6326530612244898,2,212.49999999999997,sagilm,0.0,0.0,3.0,1.0
240,joaortizro,3,0.6363636363636364,2,53.329999999999984,joaortizro,0.0,2.0,2.0,1.0
241,bdvegat,3,0.6363636363636364,2,263.33,bdvegat,1.0,2.0,4.0,1.0
242,ykchautai,3,0.6388888888888888,2,163.32999999999998,ykchautai,4.0,4.0,4.0,1.0
243,jscontrerasp,3,0.6578947368421053,2,358.33,jscontrerasp,1.0,1.0,4.0,0.0
244,kancas,3,0.6666666666666667,2,127.49999999999997,kancas,0.0,0.0,5.0,2.0
245,luegilca,3,0.6708860759493671,2,237.5,luegilca,0.0,1.0,6.0,2.0
246,Davsatu313,3,0.6861313868613139,2,37.5,Davsatu313,0.0,3.0,5.0,2.0
247,kmendezp96,3,0.7425742574257426,2,122.49999999999997,kmendezp96,1.0,5.0,6.0,1.0
248,jjmuesesq,3,0.75,2,279.15999999999997,jjmuesesq,0.0,3.0,2.0,2.0
249,ccvacad,3,0.7731958762886598,2,358.33,ccvacad,1.0,0.0,4.0,2.0
250,JulianaNino,3,0.7777777777777778,2,234.15999999999997,JulianaNino,1.0,1.0,3.0,1.0
251,diegocruz10,3,0.7959183673469388,2,246.65999999999997,diegocruz10,3.0,3.0,3.0,1.0
252,davidrh195,3,0.8095238095238095,2,250.82999999999998,davidrh195,3.0,3.0,5.0,1.0
253,Gantiva,3,0.8170731707317074,2,129.16,Gantiva,2.0,4.0,3.0,2.0
254,juasmartinezbel,3,0.8232931726907631,2,65.0,juasmartinezbel,0.0,5.0,5.0,2.0
255,cesarochoa2006,3,0.8438818565400844,2,81.65999999999997,cesarochoa2006,0.0,1.0,6.0,0.0
256,Dandarprox,3,0.8450704225352113,2,222.49999999999997,Dandarprox,0.0,1.0,4.0,2.0
257,raulramirezp,3,0.9015873015873016,2,134.99999999999997,raulramirezp,1.0,2.0,5.0,2.0
258,jhriverasa,3,0.9016393442622951,2,45.829999999999984,jhriverasa,1.0,3.0,2.0,2.0
259,fabianr23,3,0.92018779342723,2,0.0,fabianr23,5.0,4.0,5.0,2.0
260,xdanielsb,3,0.9339622641509434,2,283.33,xdanielsb,3.0,3.0,3.0,2.0
261,begarzonf,3,0.9433962264150944,2,184.16,begarzonf,2.0,3.0,4.0,2.0
262,idrojasf,3,0.9539106145251397,2,202.49999999999997,idrojasf,1.0,1.0,4.0,4.0
263,Yelis3,3,0.9617884356790677,2,90.0,Yelis3,1.0,4.0,6.0,3.0
264,lsfinite,3,0.9627575277337559,2,258.33,lsfinite,1.0,1.0,6.0,3.0
265,debeltranc,3,0.9904761904761905,2,258.33,debeltranc,1.0,4.0,4.0,1.0
266,CSebasGomez,4,0.0,2,358.33,CSebasGomez,3.0,3.0,5.0,2.0
267,jhcardenasa,4,0.0,2,358.33,jhcardenasa,4.0,4.0,5.0,3.0
268,crarojasca,4,0.0,2,313.33,crarojasca,1.0,3.0,5.0,2.0
269,jusherrerama,4,0.014473684210526305,2,250.82999999999998,,,,,
270,kmendezp96,4,0.04375531011045031,2,151.66,kmendezp96,1.0,5.0,6.0,1.0
271,JuanitoAli,4,0.05815899581589956,2,33.329999999999984,JuanitoAli,1.0,1.0,5.0,2.0
272,HashNick,4,0.303030303030303,2,226.66,HashNick,1.0,3.0,5.0,3.0
273,mdbelloc,4,0.303030303030303,2,229.16,mdbelloc,1.0,3.0,2.0,2.0
274,sagilm,4,0.4107142857142857,2,208.32999999999998,sagilm,0.0,0.0,3.0,1.0
275,luealfonsoru,4,0.41758241758241754,2,220.82999999999998,luealfonsoru,3.0,4.0,4.0,2.0
276,jucjimenezmo,4,0.48051948051948057,2,154.99999999999997,jucjimenezmo,0.0,0.0,3.0,2.0
277,Phoenixest,4,0.5714285714285714,2,263.33,Phoenixest,0.0,1.0,3.0,1.0
278,jhonsd1996,4,0.5714285714285714,2,200.82999999999998,jhonsd1996,3.0,4.0,4.0,2.0
279,oserasoa,4,0.6049382716049383,2,242.5,oserasoa,4.0,3.0,3.0,1.0
280,leguzman,4,0.6222222222222222,2,68.32999999999998,leguzman,0.0,2.0,5.0,2.0
281,bdvegat,4,0.6363636363636364,2,263.33,bdvegat,1.0,2.0,4.0,1.0
