,juligarji,lemartinp,nfmorenog,AFelipeGA,mballeng91,dduartec,srmedinac,wilson911013,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,jscastelblancoh,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,Chranium,DavidQP,afceballosr,lizzyt10h,NicolasPrr,jumcorredorro,feartheGru,Danielsv9207,JhonEmmanuelTorres
DianaNavarrete,0.0016,0.1,0.05357142857142857,0.0024260067928190197,0.0,0.027522935779816515,0.04918032786885246,0.0,0.03409090909090909,0.045454545454545456,0.0,0.0,0.01639344262295082,0.07894736842105263,0.18181818181818182,0.2727272727272727,0.13043478260869565,0.05660377358490566,0.02564102564102564,0.061224489795918366,0.06818181818181818,0.125,0.0410958904109589,0.15,0.07407407407407407,0.03,0.06382978723404255,0.08,0.05263157894736842,0.05357142857142857,0.2222222222222222,0.09090909090909091,0.3333333333333333,0.05555555555555555,0.021739130434782608,0.17647058823529413,0.125,0.06976744186046512,0.0,0.0,0.0
jdmonroyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
jorge52an,0.0015698587127158557,0.04477611940298507,0.0594059405940594,0.0014211274277593558,0.013215859030837005,0.02564102564102564,0.009009009009009009,0.0,0.05303030303030303,0.035398230088495575,0.01639344262295082,0.0,0.0,0.023809523809523808,0.0,0.006944444444444444,0.03289473684210526,0.03888888888888889,0.02032520325203252,0.028089887640449437,0.028901734104046242,0.006369426751592357,0.00975609756097561,0.006535947712418301,0.0,0.012987012987012988,0.028409090909090908,0.01935483870967742,0.010582010582010581,0.03260869565217391,0.0,0.024539877300613498,0.007042253521126761,0.005952380952380952,0.011363636363636364,0.027210884353741496,0.01282051282051282,0.023121387283236993,0.0,0.0,0.0
jscastelblancoh,0.007563694267515924,0.16666666666666666,0.10256410256410256,0.004800768122899664,0.004807692307692308,0.06923076923076923,0.10975609756097561,0.0,0.08256880733944955,0.12941176470588237,0.07894736842105263,0.0,0.023809523809523808,0.0,0.06521739130434782,0.1111111111111111,0.12727272727272726,0.12195121951219512,0.08333333333333333,0.1,0.12162162162162163,0.08620689655172414,0.15463917525773196,0.1568627450980392,0.06557377049180328,0.06923076923076923,0.14666666666666667,0.10526315789473684,0.09090909090909091,0.10465116279069768,0.044444444444444446,0.16129032258064516,0.09090909090909091,0.05714285714285714,0.10666666666666667,0.12,0.14545454545454545,0.10810810810810811,0.0,0.0,0.0
juclopezso,0.001600640256102441,0.16666666666666666,0.05454545454545454,0.001454898157129001,0.0,0.01834862385321101,0.06779661016949153,0.0,0.034482758620689655,0.046153846153846156,0.18181818181818182,0.0,0.0,0.06521739130434782,0.0,0.3,0.08695652173913043,0.0784313725490196,0.034782608695652174,0.0625,0.06976744186046512,0.13043478260869565,0.056338028169014086,0.15789473684210525,0.12,0.04081632653061224,0.06521739130434782,0.13043478260869565,0.05357142857142857,0.05454545454545454,0.25,0.09375,0.2222222222222222,0.08823529411764706,0.045454545454545456,0.11764705882352941,0.13043478260869565,0.046511627906976744,0.0,0.0,0.0
afforeroc,0.0020008003201280513,0.2222222222222222,0.09259259259259259,0.001454192922927775,0.0055248618784530384,0.037037037037037035,0.10344827586206896,0.0,0.07058823529411765,0.09523809523809523,0.2727272727272727,0.0,0.006944444444444444,0.1111111111111111,0.3,0.0,0.13043478260869565,0.09803921568627451,0.043478260869565216,0.10638297872340426,0.11904761904761904,0.22727272727272727,0.08571428571428572,0.2777777777777778,0.11538461538461539,0.04040404040404041,0.1111111111111111,0.17391304347826086,0.09090909090909091,0.09259259259259259,0.2222222222222222,0.16129032258064516,0.3333333333333333,0.08571428571428572,0.09302325581395349,0.25,0.22727272727272727,0.12195121951219512,0.0,0.0,0.0
dagofonseca,0.001991238550378335,0.21428571428571427,0.22413793103448276,0.0028957528957528956,0.0051813471502590676,0.11711711711711711,0.0410958904109589,0.0,0.061855670103092786,0.208955223880597,0.13043478260869565,0.0,0.03289473684210526,0.12727272727272726,0.08695652173913043,0.13043478260869565,0.0,0.03819444444444445,0.07079646017699115,0.020761245674740483,0.06227106227106227,0.011235955056179775,0.022435897435897436,0.015267175572519083,0.014925373134328358,0.045317220543806644,0.06934306569343066,0.022727272727272728,0.04844290657439446,0.08243727598566308,0.007936507936507936,0.025735294117647058,0.011904761904761904,0.03308823529411765,0.03942652329749104,0.02734375,0.022727272727272728,0.07434944237918216,0.0,0.0,0.0
lacardenasv,0.005529225908372828,0.16363636363636364,0.16091954022988506,0.0076481835564053535,0.009009009009009009,0.047619047619047616,0.10416666666666667,0.0,0.13675213675213677,0.07766990291262135,0.05660377358490566,0.0,0.03888888888888889,0.12195121951219512,0.0784313725490196,0.09803921568627451,0.03819444444444445,0.0,0.06622516556291391,0.12048192771084337,0.14285714285714285,0.07936507936507936,0.11428571428571428,0.12280701754385964,0.06060606060606061,0.058823529411764705,0.1518987341772152,0.11475409836065574,0.07446808510638298,0.16279069767441862,0.04,0.14925373134328357,0.08163265306122448,0.06756756756756757,0.07317073170731707,0.10909090909090909,0.11475409836065574,0.11538461538461539,0.0,0.0,0.0
oacastillol,0.013986013986013986,0.06666666666666667,0.12244897959183673,0.010702652396463471,0.006993006993006993,0.10101010101010101,0.04294478527607362,0.0,0.07650273224043716,0.12179487179487179,0.02564102564102564,0.0,0.02032520325203252,0.08333333333333333,0.034782608695652174,0.043478260869565216,0.07079646017699115,0.06622516556291391,0.0,0.062111801242236024,0.11409395973154363,0.04285714285714286,0.0427807486631016,0.07575757575757576,0.027777777777777776,0.09900990099009901,0.09740259740259741,0.050359712230215826,0.11180124223602485,0.1337579617834395,0.015625,0.10714285714285714,0.0234375,0.07534246575342465,0.12162162162162163,0.05303030303030303,0.050359712230215826,0.15384615384615385,0.0,0.0,0.0
ncampuzano,0.0047430830039525695,0.1111111111111111,0.1686746987951807,0.0033381020505484026,0.0045662100456621,0.034482758620689655,0.0625,0.0,0.11206896551724138,0.07,0.061224489795918366,0.0,0.028089887640449437,0.1,0.0625,0.10638297872340426,0.020761245674740483,0.12048192771084337,0.062111801242236024,0.0,0.05982905982905983,0.050505050505050504,0.0625,0.06382978723404255,0.0392156862745098,0.04046242774566474,0.06722689075630252,0.07216494845360824,0.06201550387596899,0.11475409836065574,0.023255813953488372,0.0970873786407767,0.03488372093023256,0.036036036036036036,0.05084745762711865,0.05434782608695652,0.07216494845360824,0.07894736842105263,0.0,0.0,0.0
