,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score
353,368,Christian7sr,1,1.0,1,255.0,Christian7sr,3.0,3.0,3.0,2.0,2.0,111.67,20.0,29.17,0.0
354,369,Zeugmax,2,0.0,1,320.83,Zeugmax,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
355,370,maikellPardo,2,0.0,1,270.83,maikellPardo,4.0,4.0,4.0,2.0,0.0,58.33,0.0,33.33,25.0
356,371,ItsNavi,2,0.0,1,320.83,ItsNavi,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
357,372,crigar,2,0.0,1,238.33,crigar,1.0,0.0,2.0,4.0,0.0,82.5,20.0,25.0,0.0
358,373,andfsanchezlem,2,0.0,1,275.83,andfsanchezlem,0.0,1.0,3.0,1.0,1.0,45.0,20.0,25.0,0.0
359,374,adamantwharf,2,0.0,1,238.33,,,,,,0.0,95.0,20.0,25.0,0.0
360,375,joahernandezca,2,0.115942028985507,1,258.33,joahernandezca,1.0,1.0,0.0,0.0,1.0,108.33,0.0,33.33,25.0
361,376,diegoaguevarar,2,0.115942028985507,1,114.16,diegoaguevarar,0.0,1.0,5.0,2.0,1.0,325.0,100.0,62.5,87.5
362,377,gcantem,2,0.15625,1,81.66,gcantem,0.0,2.0,5.0,2.0,0.0,226.67,60.0,29.17,75.0
363,378,jmhurtadoc,2,0.18,1,245.83,jmhurtadoc,6.0,6.0,6.0,2.0,0.0,120.83,0.0,33.33,25.0
364,379,Semoralesga,2,0.233379026730637,1,142.5,Semoralesga,4.0,3.0,4.0,2.0,2.0,178.33,20.0,33.33,62.5
365,380,dfhincapiem,2,0.25,1,205.0,dfhincapiem,4.0,1.0,5.0,1.0,0.0,107.5,20.0,50.0,0.0
366,381,Christian7sr,2,0.5,1,221.66,Christian7sr,3.0,3.0,3.0,2.0,1.0,124.17,20.0,29.17,0.0
367,382,dasalgadob,2,0.555555555555556,1,258.33,dasalgadob,1.0,2.0,4.0,3.0,0.0,50.0,0.0,0.0,0.0
368,383,gasierram,2,0.5625,1,192.5,gasierram,3.0,4.0,5.0,4.0,1.0,132.5,20.0,50.0,0.0
369,384,nabautistal,2,0.571428571428571,1,234.16,nabautistal,0.0,0.0,3.0,1.0,1.0,86.67,20.0,29.17,0.0
370,385,JairVillalba,2,0.651162790697675,1,270.83,JairVillalba,1.0,1.0,3.0,2.0,5.0,62.5,0.0,0.0,0.0
371,386,bdcajicam,2,0.651515151515152,1,238.33,bdcajicam,0.0,2.0,5.0,2.0,1.0,157.5,20.0,25.0,62.5
