,top1,lemartinp,nfmorenog,AFelipeGA,mballeng91,bottom3,srmedinac,bottom2,wapiravaguens,bottom1,DianaNavarrete,jdmonroyg,jorge52an,top3,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,top2,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom4,DavidQP,afceballosr,lizzyt10h,NicolasPrr,top4
DianaNavarrete,0.001558846453624318,0.06451612903225806,0.05357142857142857,0.375,0.0,0.027522935779816515,0.05,0.0,0.375,0.03225806451612903,0.0,0.0,0.006944444444444444,0.06382978723404255,0.18181818181818182,0.2727272727272727,0.011811023622047244,0.07894736842105263,0.021897810218978103,0.06666666666666667,0.06818181818181818,0.045454545454545456,0.15789473684210525,0.15,0.07407407407407407,0.026785714285714284,0.047619047619047616,0.06666666666666667,0.21428571428571427,0.05172413793103448,0.2222222222222222,0.09090909090909091,0.3333333333333333,0.14285714285714285,0.02,0.2,0.125,0.030303030303030304
jdmonroyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jorge52an,0.0029706646862235424,0.025,0.03260869565217391,0.0070921985815602835,0.009554140127388535,0.02100840336134454,0.0051813471502590676,0.0,0.0070921985815602835,0.02252252252252252,0.006944444444444444,0.0,0.0,0.015527950310559006,0.0,0.0034482758620689655,0.03488372093023256,0.022508038585209004,0.022058823529411766,0.018808777429467086,0.018867924528301886,0.02064896755162242,0.013559322033898305,0.006711409395973154,0.0,0.02349869451697128,0.017804154302670624,0.025236593059936908,0.00684931506849315,0.018072289156626505,0.0,0.016233766233766232,0.003472222222222222,0.013468013468013467,0.009230769230769232,0.003401360544217687,0.006622516556291391,0.0440771349862259
top3,0.007733952049497293,0.13114754098360656,0.10465116279069768,0.09302325581395349,0.004524886877828055,0.05714285714285714,0.13793103448275862,0.0,0.06818181818181818,0.1,0.06382978723404255,0.0,0.015527950310559006,0.0,0.016666666666666666,0.033707865168539325,0.0675,0.04975124378109453,0.06529209621993128,0.05314009661835749,0.05853658536585366,0.05752212389380531,0.03225806451612903,0.06043956043956044,0.020512820512820513,0.07142857142857142,0.06306306306306306,0.06341463414634146,0.027472527472527472,0.07441860465116279,0.0111731843575419,0.06735751295336788,0.02247191011235955,0.04864864864864865,0.07281553398058252,0.044444444444444446,0.042328042328042326,0.08366533864541832
juclopezso,0.0015594541910331384,0.10344827586206896,0.05454545454545454,0.25,0.0,0.01834862385321101,0.06896551724137931,0.0,0.25,0.03260869565217391,0.18181818181818182,0.0,0.0,0.016666666666666666,0.0,0.125,0.041044776119402986,0.10526315789473684,0.10204081632653061,0.1864406779661017,0.1896551724137931,0.1518987341772152,0.1,0.0975609756097561,0.0625,0.096,0.1282051282051282,0.09375,0.11428571428571428,0.16901408450704225,0.06451612903225806,0.11538461538461539,0.0967741935483871,0.12195121951219512,0.057971014492753624,0.1111111111111111,0.11363636363636363,0.05982905982905983
afforeroc,0.001949317738791423,0.13793103448275862,0.09259259259259259,0.5714285714285714,0.005405405405405406,0.037037037037037035,0.10526315789473684,0.1111111111111111,0.375,0.06666666666666667,0.2727272727272727,0.0,0.0034482758620689655,0.033707865168539325,0.125,0.0,0.015810276679841896,0.07894736842105263,0.037037037037037035,0.09090909090909091,0.11904761904761904,0.078125,0.15789473684210525,0.2777777777777778,0.11538461538461539,0.036036036036036036,0.08196721311475409,0.11627906976744186,0.3076923076923077,0.08928571428571429,0.2222222222222222,0.16129032258064516,0.3333333333333333,0.2631578947368421,0.0851063829787234,0.5,0.22727272727272727,0.05154639175257732
dagofonseca,0.011506652283351312,0.049429657794676805,0.055944055944055944,0.01195219123505976,0.009411764705882352,0.05341246290801187,0.016611295681063124,0.003968253968253968,0.01195219123505976,0.0761904761904762,0.011811023622047244,0.0,0.03488372093023256,0.0675,0.041044776119402986,0.015810276679841896,0.0,0.07380073800738007,0.06557377049180328,0.07581227436823104,0.060714285714285714,0.0777027027027027,0.034220532319391636,0.01486988847583643,0.014545454545454545,0.0641399416909621,0.06756756756756757,0.04929577464788732,0.011363636363636364,0.08741258741258741,0.007722007722007722,0.02877697841726619,0.011583011583011582,0.033962264150943396,0.03793103448275862,0.019011406844106463,0.02214022140221402,0.07975460122699386
lacardenasv,0.0034775888717156105,0.1320754716981132,0.19444444444444445,0.08571428571428572,0.009478672985781991,0.09448818897637795,0.034482758620689655,0.027777777777777776,0.08571428571428572,0.14953271028037382,0.07894736842105263,0.0,0.022508038585209004,0.04975124378109453,0.10526315789473684,0.07894736842105263,0.07380073800738007,0.0,0.09313725490196079,0.24761904761904763,0.3,0.29914529914529914,0.06060606060606061,0.06,0.01818181818181818,0.10614525139664804,0.11194029850746269,0.09166666666666666,0.030927835051546393,0.14285714285714285,0.021739130434782608,0.09174311926605505,0.03260869565217391,0.09183673469387756,0.072,0.052083333333333336,0.047619047619047616,0.2251655629139073
oacastillol,0.007097497198356369,0.07432432432432433,0.14906832298136646,0.03007518796992481,0.0064516129032258064,0.07692307692307693,0.03278688524590164,0.007407407407407408,0.022388059701492536,0.11,0.021897810218978103,0.0,0.022058823529411766,0.06529209621993128,0.10204081632653061,0.037037037037037035,0.06557377049180328,0.09313725490196079,0.0,0.12578616352201258,0.09876543209876543,0.11731843575418995,0.06993006993006994,0.04054054054054054,0.02564102564102564,0.11818181818181818,0.10674157303370786,0.05917159763313609,0.027777777777777776,0.21518987341772153,0.014285714285714285,0.07051282051282051,0.02142857142857143,0.05442176870748299,0.06432748538011696,0.04195804195804196,0.046357615894039736,0.08878504672897196
ncampuzano,0.0038550501156515036,0.17543859649122806,0.19230769230769232,0.0975609756097561,0.0,0.09774436090225563,0.05434782608695652,0.0,0.07142857142857142,0.21495327102803738,0.06666666666666667,0.0,0.018808777429467086,0.05314009661835749,0.1864406779661017,0.09090909090909091,0.07581227436823104,0.24761904761904763,0.12578616352201258,0.0,0.34177215189873417,0.3473684210526316,0.06578947368421052,0.05128205128205128,0.03529411764705882,0.0875,0.16822429906542055,0.0594059405940594,0.05555555555555555,0.17647058823529413,0.029411764705882353,0.07954545454545454,0.05970149253731343,0.10666666666666667,0.057692307692307696,0.04054054054054054,0.06172839506172839,0.11805555555555555
